Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,9975.0,9975.0,9725.0,9775.0,9775.0,1761400
2021-12-02,9775.0,9950.0,9725.0,9825.0,9825.0,979800
2021-12-03,9875.0,9900.0,9725.0,9725.0,9725.0,1100500
2021-12-06,9725.0,9875.0,9550.0,9825.0,9825.0,1223600
2021-12-07,9900.0,10000.0,9875.0,9925.0,9925.0,1133300
2021-12-08,9925.0,10025.0,9900.0,9925.0,9925.0,1010600
2021-12-09,9950.0,9975.0,9875.0,9950.0,9950.0,765400
2021-12-10,9950.0,9975.0,9800.0,9900.0,9900.0,1093200
2021-12-13,9925.0,9975.0,9875.0,9875.0,9875.0,849700
2021-12-14,9800.0,9975.0,9800.0,9850.0,9850.0,614900
2021-12-15,9850.0,9925.0,9675.0,9700.0,9700.0,1204700
2021-12-16,9700.0,9775.0,9700.0,9750.0,9750.0,1058300
2021-12-17,9775.0,9825.0,9600.0,9825.0,9825.0,1531000
2021-12-20,9775.0,9825.0,9525.0,9550.0,9550.0,974800
2021-12-21,9575.0,9725.0,9550.0,9650.0,9650.0,765100
2021-12-22,9750.0,9750.0,9600.0,9600.0,9600.0,935600
2021-12-23,9600.0,9650.0,9575.0,9600.0,9600.0,317300
2021-12-24,9575.0,9625.0,9550.0,9550.0,9550.0,688500
2021-12-27,9600.0,9625.0,9500.0,9600.0,9600.0,427000
2021-12-28,9650.0,9700.0,9575.0,9600.0,9600.0,947200
2021-12-29,9650.0,9725.0,9550.0,9575.0,9575.0,566800
2021-12-30,9575.0,9600.0,9500.0,9500.0,9500.0,1192000
2022-01-03,9500.0,9700.0,9500.0,9575.0,9575.0,839600
2022-01-04,9625.0,9725.0,9525.0,9575.0,9575.0,1172900
2022-01-05,9575.0,9700.0,9550.0,9575.0,9575.0,1065700
2022-01-06,9575.0,9725.0,9575.0,9675.0,9675.0,1447700
2022-01-07,9700.0,10000.0,9675.0,9950.0,9950.0,2664600
