Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,7700.0,7725.0,7675.0,7700.0,7700.0,82800
2021-12-02,7700.0,7725.0,7675.0,7700.0,7700.0,89300
2021-12-03,7700.0,7750.0,7700.0,7725.0,7725.0,31200
2021-12-06,7725.0,7750.0,7700.0,7750.0,7750.0,89400
2021-12-07,7750.0,7800.0,7725.0,7775.0,7775.0,77600
2021-12-08,7800.0,7850.0,7775.0,7800.0,7800.0,44700
2021-12-09,7825.0,7825.0,7800.0,7800.0,7800.0,31500
2021-12-10,7800.0,7800.0,7750.0,7750.0,7750.0,37100
2021-12-13,7750.0,7775.0,7725.0,7750.0,7750.0,48200
2021-12-14,7750.0,7750.0,7725.0,7750.0,7750.0,53700
2021-12-15,7750.0,7750.0,7725.0,7750.0,7750.0,97900
2021-12-16,7750.0,7750.0,7700.0,7700.0,7700.0,360000
2021-12-17,7700.0,7725.0,7675.0,7700.0,7700.0,56400
2021-12-20,7700.0,7725.0,7650.0,7650.0,7650.0,155400
2021-12-21,7650.0,7700.0,7625.0,7675.0,7675.0,88000
2021-12-22,7700.0,7725.0,7550.0,7575.0,7575.0,323400
2021-12-23,7600.0,7650.0,7600.0,7600.0,7600.0,132300
2021-12-24,7625.0,7650.0,7600.0,7650.0,7650.0,32000
2021-12-27,7650.0,7675.0,7575.0,7575.0,7575.0,111800
2021-12-28,7575.0,7700.0,7575.0,7675.0,7675.0,59600
2021-12-29,7650.0,7700.0,7650.0,7675.0,7675.0,26900
2021-12-30,7700.0,7750.0,7700.0,7700.0,7700.0,53800
2022-01-03,7700.0,7750.0,7700.0,7725.0,7725.0,70500
2022-01-04,7725.0,7750.0,7675.0,7725.0,7725.0,42200
2022-01-05,7725.0,7725.0,7675.0,7675.0,7675.0,125300
2022-01-06,7675.0,7725.0,7625.0,7650.0,7650.0,67800
2022-01-07,7650.0,7725.0,7625.0,7650.0,7650.0,69500
