Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,178.0,179.0,172.0,173.0,173.0,6880300
2021-12-02,173.0,177.0,172.0,176.0,176.0,4344700
2021-12-03,174.0,178.0,174.0,176.0,176.0,3329700
2021-12-06,176.0,181.0,176.0,179.0,179.0,5336400
2021-12-07,179.0,197.0,178.0,185.0,185.0,75348400
2021-12-08,179.0,196.0,185.0,187.0,187.0,29135000
2021-12-09,189.0,189.0,184.0,186.0,186.0,17070200
2021-12-10,186.0,192.0,185.0,185.0,185.0,55129400
2021-12-13,190.0,200.0,184.0,190.0,190.0,565067800
2021-12-14,194.0,195.0,177.0,185.0,185.0,302918800
2021-12-15,185.0,197.0,183.0,187.0,187.0,387765900
2021-12-16,189.0,193.0,178.0,179.0,179.0,187951100
2021-12-17,179.0,187.0,176.0,180.0,180.0,117448000
2021-12-20,180.0,183.0,176.0,176.0,176.0,51865000
2021-12-21,177.0,180.0,172.0,174.0,174.0,42545900
2021-12-22,176.0,177.0,170.0,171.0,171.0,37586400
2021-12-23,171.0,172.0,163.0,163.0,163.0,62087200
2021-12-24,164.0,168.0,160.0,165.0,165.0,47239500
2021-12-27,165.0,168.0,162.0,164.0,164.0,16909800
2021-12-28,167.0,183.0,166.0,173.0,173.0,158631100
2021-12-29,175.0,176.0,168.0,170.0,170.0,35467300
2021-12-30,172.0,172.0,166.0,166.0,166.0,16307200
2022-01-03,166.0,167.0,162.0,166.0,166.0,27237900
2022-01-04,166.0,169.0,164.0,166.0,166.0,15996000
2022-01-05,166.0,172.0,166.0,167.0,167.0,22908900
2022-01-06,169.0,169.0,162.0,164.0,164.0,22590900
2022-01-07,165.0,166.0,159.0,160.0,160.0,26436300
