Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,50.0,50.0,50.0,50.0,50.0,4600
2021-01-05,50.0,50.0,50.0,50.0,50.0,15300
2021-01-06,50.0,50.0,50.0,50.0,50.0,2600
2021-01-07,50.0,50.0,50.0,50.0,50.0,700
2021-01-08,50.0,50.0,50.0,50.0,50.0,40600
2021-01-11,50.0,50.0,50.0,50.0,50.0,1100
2021-01-12,50.0,50.0,50.0,50.0,50.0,2300
2021-01-13,50.0,50.0,50.0,50.0,50.0,13400
2021-01-14,50.0,50.0,50.0,50.0,50.0,238900
2021-01-15,50.0,50.0,50.0,50.0,50.0,14900
2021-01-18,50.0,50.0,50.0,50.0,50.0,900
2021-01-20,50.0,50.0,50.0,50.0,50.0,5000
2021-01-21,50.0,50.0,50.0,50.0,50.0,3900
2021-01-22,50.0,50.0,50.0,50.0,50.0,1300
2021-01-25,50.0,50.0,50.0,50.0,50.0,1800
2021-01-26,50.0,50.0,50.0,50.0,50.0,2400
2021-01-27,50.0,50.0,50.0,50.0,50.0,1400
2021-01-29,50.0,50.0,50.0,50.0,50.0,100
2021-02-02,50.0,50.0,50.0,50.0,50.0,400
2021-02-04,50.0,50.0,50.0,50.0,50.0,600
2021-02-05,50.0,50.0,50.0,50.0,50.0,1000
2021-02-10,50.0,50.0,50.0,50.0,50.0,75200
2021-02-15,50.0,50.0,50.0,50.0,50.0,6700
2021-02-16,50.0,50.0,50.0,50.0,50.0,1200
2021-02-18,50.0,50.0,50.0,50.0,50.0,1900
2021-02-19,50.0,50.0,50.0,50.0,50.0,8800
2021-02-23,50.0,50.0,50.0,50.0,50.0,16500
2021-02-24,50.0,50.0,50.0,50.0,50.0,8300
2021-02-25,50.0,50.0,50.0,50.0,50.0,5400
2021-02-26,50.0,50.0,50.0,50.0,50.0,2000
2021-03-01,50.0,50.0,50.0,50.0,50.0,12900
2021-03-03,50.0,50.0,50.0,50.0,50.0,2200
2021-03-04,50.0,50.0,50.0,50.0,50.0,12600
2021-03-05,50.0,50.0,50.0,50.0,50.0,11900
2021-03-08,50.0,50.0,50.0,50.0,50.0,1056200
2021-03-09,50.0,50.0,50.0,50.0,50.0,65800
2021-03-10,50.0,50.0,50.0,50.0,50.0,298400
2021-03-15,50.0,50.0,50.0,50.0,50.0,800
2021-03-16,50.0,50.0,50.0,50.0,50.0,18700
2021-03-17,50.0,50.0,50.0,50.0,50.0,9200
2021-03-18,50.0,50.0,50.0,50.0,50.0,6800
2021-03-19,50.0,50.0,50.0,50.0,50.0,5900
