Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,414.0,446.0,412.0,446.0,446.0,1651200
2021-01-05,448.0,470.0,436.0,450.0,450.0,364300
2021-01-06,450.0,456.0,434.0,456.0,456.0,260700
2021-01-07,456.0,500.0,450.0,500.0,500.0,524400
2021-01-08,500.0,620.0,500.0,600.0,600.0,367200
2021-01-11,610.0,630.0,560.0,600.0,600.0,178100
2021-01-12,600.0,600.0,560.0,590.0,590.0,6800
2021-01-13,580.0,580.0,550.0,560.0,560.0,64700
2021-01-14,555.0,560.0,525.0,525.0,525.0,120700
2021-01-15,492.0,550.0,490.0,550.0,550.0,39500
2021-01-18,550.0,685.0,550.0,570.0,570.0,428300
2021-01-19,535.0,570.0,535.0,570.0,570.0,486100
2021-01-20,570.0,610.0,540.0,590.0,590.0,266200
2021-01-21,555.0,630.0,555.0,620.0,620.0,457700
2021-01-22,620.0,620.0,590.0,610.0,610.0,3500
2021-01-25,610.0,610.0,610.0,610.0,610.0,100
2021-01-26,605.0,610.0,600.0,610.0,610.0,35600
2021-01-27,610.0,610.0,610.0,610.0,610.0,1000
2021-01-28,610.0,630.0,600.0,615.0,615.0,714000
2021-01-29,630.0,630.0,575.0,595.0,595.0,20900
2021-02-01,565.0,585.0,555.0,555.0,555.0,6200
2021-02-02,555.0,690.0,550.0,610.0,610.0,1967000
2021-02-03,615.0,700.0,570.0,700.0,700.0,1146000
2021-02-04,705.0,715.0,655.0,670.0,670.0,513500
2021-02-05,670.0,715.0,670.0,690.0,690.0,1027300
2021-02-08,690.0,690.0,655.0,690.0,690.0,24700
2021-02-09,690.0,690.0,645.0,690.0,690.0,37600
2021-02-10,650.0,700.0,650.0,700.0,700.0,149300
2021-02-11,700.0,705.0,700.0,700.0,700.0,146800
2021-02-15,670.0,875.0,670.0,875.0,875.0,827500
2021-02-16,895.0,1020.0,835.0,1015.0,1015.0,1116600
2021-02-17,1015.0,1015.0,945.0,945.0,945.0,318000
2021-02-18,945.0,945.0,880.0,900.0,900.0,48600
2021-02-19,900.0,900.0,880.0,900.0,900.0,2700
2021-02-22,910.0,910.0,890.0,900.0,900.0,6900
2021-02-23,845.0,895.0,840.0,850.0,850.0,7700
2021-02-24,850.0,850.0,795.0,795.0,795.0,3400
2021-02-25,795.0,800.0,740.0,785.0,785.0,18300
2021-02-26,780.0,780.0,735.0,735.0,735.0,40500
2021-03-01,735.0,780.0,685.0,750.0,750.0,21000
2021-03-02,750.0,750.0,700.0,750.0,750.0,100000
2021-03-03,745.0,770.0,710.0,750.0,750.0,8200
2021-03-04,750.0,780.0,720.0,760.0,760.0,437600
2021-03-05,770.0,770.0,760.0,765.0,765.0,12900
2021-03-08,770.0,770.0,760.0,760.0,760.0,3900
2021-03-09,760.0,795.0,760.0,795.0,795.0,12600
2021-03-10,795.0,795.0,770.0,770.0,770.0,2800
2021-03-12,770.0,780.0,720.0,780.0,780.0,17700
2021-03-15,780.0,780.0,745.0,775.0,775.0,5600
