Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,978.3853759765625,1093.489501953125,920.833251953125,997.5693969726562,997.5693969726562,4821302
2021-12-02,1007.161376953125,1050.325439453125,987.9773559570312,1031.1414794921875,1031.1414794921875,2680876
2021-12-03,1031.1414794921875,1035.9373779296875,959.2013549804688,992.7733764648438,992.7733764648438,1681920
2021-12-06,1007.161376953125,1007.161376953125,925.6292724609375,925.6292724609375,925.6292724609375,1617908
2021-12-07,868.0772094726562,901.6492309570312,863.2811889648438,863.2811889648438,863.2811889648438,3928372
2021-12-08,863.2811889648438,935.2213134765625,815.3211059570312,920.833251953125,920.833251953125,5564629
2021-12-09,935.0,935.0,860.0,860.0,860.0,3519200
2021-12-10,860.0,865.0,820.0,845.0,845.0,1836900
2021-12-13,850.0,865.0,835.0,835.0,835.0,1881600
2021-12-14,850.0,910.0,820.0,910.0,910.0,6425100
2021-12-15,925.0,1100.0,910.0,1075.0,1075.0,15464500
2021-12-16,1090.0,1160.0,1000.0,1010.0,1010.0,8694900
2021-12-17,1010.0,1030.0,985.0,995.0,995.0,2617300
2021-12-20,995.0,1050.0,945.0,1045.0,1045.0,4582800
2021-12-21,1045.0,1230.0,1045.0,1210.0,1210.0,19107600
2021-12-22,1210.0,1225.0,1140.0,1140.0,1140.0,3859500
2021-12-23,1145.0,1165.0,1105.0,1115.0,1115.0,2624600
2021-12-24,1115.0,1130.0,1075.0,1130.0,1130.0,2332500
2021-12-27,1130.0,1180.0,1055.0,1095.0,1095.0,7199900
2021-12-28,1095.0,1100.0,1020.0,1060.0,1060.0,8149800
2021-12-29,1045.0,1070.0,995.0,1000.0,1000.0,6170400
2021-12-30,1000.0,1050.0,955.0,1000.0,1000.0,5483000
2022-01-03,995.0,1065.0,980.0,1055.0,1055.0,12164300
2022-01-04,1065.0,1125.0,1055.0,1125.0,1125.0,5941200
2022-01-05,1135.0,1160.0,1105.0,1120.0,1120.0,2987600
2022-01-06,1135.0,1165.0,1100.0,1155.0,1155.0,6792100
2022-01-07,1160.0,1195.0,1135.0,1145.0,1145.0,3256800
