Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,244.0,246.0,240.0,244.0,244.0,30400
2021-12-02,244.0,244.0,228.0,242.0,242.0,40600
2021-12-03,250.0,250.0,244.0,244.0,244.0,2600
2021-12-06,228.0,244.0,228.0,244.0,244.0,8500
2021-12-07,242.0,242.0,232.0,242.0,242.0,3900
2021-12-08,230.0,240.0,230.0,240.0,240.0,21900
2021-12-09,230.0,240.0,228.0,238.0,238.0,7300
2021-12-10,224.0,238.0,224.0,236.0,236.0,13800
2021-12-13,236.0,278.0,222.0,254.0,254.0,171700
2021-12-14,256.0,266.0,244.0,250.0,250.0,125900
2021-12-15,250.0,250.0,244.0,244.0,244.0,2300
2021-12-16,258.0,258.0,238.0,240.0,240.0,72900
2021-12-17,246.0,256.0,240.0,244.0,244.0,160900
2021-12-20,244.0,258.0,244.0,258.0,258.0,180600
2021-12-21,258.0,278.0,248.0,276.0,276.0,133100
2021-12-22,266.0,266.0,258.0,258.0,258.0,106300
2021-12-23,256.0,256.0,248.0,248.0,248.0,84700
2021-12-24,268.0,268.0,248.0,258.0,258.0,56600
2021-12-27,258.0,320.0,250.0,288.0,288.0,394000
2021-12-28,308.0,308.0,268.0,268.0,268.0,114900
2021-12-29,268.0,286.0,254.0,254.0,254.0,192900
2021-12-30,256.0,264.0,246.0,256.0,256.0,77200
2022-01-03,256.0,290.0,254.0,278.0,278.0,821900
2022-01-04,278.0,346.0,278.0,346.0,346.0,809200
2022-01-05,378.0,432.0,354.0,402.0,402.0,2928400
2022-01-06,402.0,500.0,402.0,496.0,496.0,2554400
2022-01-07,498.0,510.0,462.0,462.0,462.0,306800
