Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,312.0,314.0,312.0,314.0,313.6495361328125,251100
2021-01-05,314.0,314.0,314.0,314.0,313.6495361328125,164800
2021-01-06,314.0,316.0,314.0,316.0,315.6473083496094,210400
2021-01-07,316.0,318.0,316.0,318.0,317.64508056640625,177300
2021-01-08,318.0,320.0,318.0,320.0,319.6428527832031,247200
2021-01-11,320.0,322.0,320.0,322.0,321.640625,193300
2021-01-12,322.0,324.0,322.0,322.0,321.640625,181700
2021-01-13,322.0,322.0,322.0,322.0,321.640625,173400
2021-01-14,322.0,324.0,322.0,322.0,321.640625,162900
2021-01-15,322.0,324.0,322.0,322.0,321.640625,175100
2021-01-18,322.0,322.0,322.0,322.0,321.640625,156600
2021-01-19,322.0,324.0,322.0,324.0,323.6383972167969,177900
2021-01-20,324.0,324.0,324.0,324.0,323.6383972167969,171000
2021-01-21,324.0,324.0,324.0,324.0,323.6383972167969,156800
2021-01-22,324.0,324.0,324.0,324.0,323.6383972167969,170200
2021-01-25,324.0,324.0,324.0,324.0,323.6383972167969,157500
2021-01-26,324.0,326.0,324.0,324.0,323.6383972167969,136700
2021-01-27,324.0,324.0,324.0,324.0,323.6383972167969,128800
2021-01-28,324.0,326.0,324.0,326.0,325.6361389160156,129800
2021-01-29,324.0,326.0,322.0,322.0,321.640625,304800
2021-02-01,322.0,322.0,322.0,322.0,321.640625,118200
2021-02-02,322.0,324.0,322.0,324.0,323.6383972167969,127200
2021-02-03,324.0,324.0,324.0,324.0,323.6383972167969,116000
2021-02-04,324.0,324.0,324.0,324.0,323.6383972167969,115900
2021-02-05,324.0,326.0,324.0,324.0,323.6383972167969,165800
2021-02-08,324.0,324.0,324.0,324.0,323.6383972167969,115400
2021-02-09,324.0,326.0,324.0,324.0,323.6383972167969,118000
2021-02-10,324.0,324.0,302.0,302.0,301.6629333496094,1027600
2021-02-11,302.0,302.0,298.0,298.0,297.6673889160156,158000
2021-02-15,298.0,298.0,288.0,298.0,297.6673889160156,1041400
2021-02-16,298.0,298.0,296.0,296.0,295.6696472167969,98900
2021-02-17,296.0,296.0,296.0,296.0,295.6696472167969,115500
2021-02-18,296.0,296.0,296.0,296.0,295.6696472167969,128400
2021-02-19,296.0,296.0,296.0,296.0,295.6696472167969,124700
2021-02-22,296.0,298.0,296.0,298.0,297.6673889160156,116700
2021-02-23,298.0,298.0,296.0,296.0,295.6696472167969,88800
2021-02-24,296.0,296.0,296.0,296.0,295.6696472167969,128200
2021-02-25,296.0,296.0,296.0,296.0,295.6696472167969,79500
2021-02-26,296.0,296.0,294.0,294.0,293.671875,85700
2021-03-01,294.0,294.0,294.0,294.0,293.671875,79800
2021-03-02,294.0,294.0,294.0,294.0,293.671875,80200
2021-03-03,294.0,294.0,292.0,292.0,291.6741027832031,88500
2021-03-04,292.0,292.0,292.0,292.0,291.6741027832031,89500
2021-03-05,292.0,292.0,292.0,292.0,291.6741027832031,83200
2021-03-08,292.0,294.0,292.0,292.0,291.6741027832031,85600
2021-03-09,292.0,292.0,292.0,292.0,291.6741027832031,82600
2021-03-10,292.0,292.0,292.0,292.0,291.6741027832031,87000
2021-03-16,292.0,294.0,292.0,294.0,293.671875,84600
2021-03-17,294.0,294.0,292.0,292.0,291.6741027832031,100900
2021-03-18,292.0,294.0,292.0,294.0,293.671875,94100
2021-03-19,294.0,294.0,294.0,294.0,293.671875,97000
2021-03-22,294.0,294.0,292.0,292.0,291.6741027832031,98700
2021-03-23,292.0,292.0,292.0,292.0,291.6741027832031,99500
2021-03-24,292.0,292.0,292.0,292.0,291.6741027832031,100600
2021-03-25,292.0,292.0,292.0,292.0,291.6741027832031,98600
2021-03-26,292.0,292.0,292.0,292.0,291.6741027832031,98700
2021-03-29,292.0,292.0,292.0,292.0,291.6741027832031,98500
2021-04-05,292.0,292.0,290.0,292.0,291.6741027832031,91100
2021-04-06,292.0,292.0,290.0,290.0,289.67633056640625,90200
2021-04-07,290.0,290.0,290.0,290.0,289.67633056640625,89700
2021-04-09,290.0,290.0,290.0,290.0,289.67633056640625,89800
2021-04-12,290.0,290.0,288.0,290.0,289.67633056640625,89900
2021-04-14,290.0,290.0,288.0,290.0,289.67633056640625,90400
2021-04-15,290.0,290.0,290.0,290.0,289.67633056640625,90500
2021-04-16,290.0,290.0,290.0,290.0,289.67633056640625,94800
2021-04-19,290.0,290.0,290.0,290.0,289.67633056640625,90900
2021-04-20,290.0,290.0,288.0,288.0,287.6785583496094,90200
2021-04-21,288.0,288.0,288.0,288.0,287.6785583496094,78900
2021-04-22,288.0,290.0,288.0,290.0,289.67633056640625,79300
2021-04-23,290.0,290.0,290.0,290.0,289.67633056640625,115800
2021-04-26,290.0,290.0,288.0,288.0,287.6785583496094,115900
2021-04-27,288.0,288.0,288.0,288.0,287.6785583496094,115600
2021-04-28,288.0,288.0,288.0,288.0,287.6785583496094,115500
2021-04-29,288.0,288.0,288.0,288.0,287.6785583496094,116700
2021-05-03,288.0,288.0,286.0,288.0,287.6785583496094,121100
2021-05-05,288.0,288.0,286.0,286.0,285.6807861328125,120500
2021-05-06,286.0,288.0,286.0,286.0,285.6807861328125,2472600
2021-05-07,286.0,288.0,286.0,288.0,287.6785583496094,1516000
2021-05-10,288.0,288.0,286.0,288.0,287.6785583496094,1405000
2021-05-11,288.0,288.0,286.0,286.0,285.6807861328125,1397600
2021-05-17,286.0,286.0,284.0,284.0,283.6830139160156,137500
2021-05-18,284.0,284.0,284.0,284.0,283.6830139160156,89300
2021-05-19,284.0,284.0,284.0,284.0,283.6830139160156,96300
2021-05-20,284.0,284.0,284.0,284.0,283.6830139160156,99400
2021-05-21,284.0,284.0,284.0,284.0,283.6830139160156,90300
2021-05-24,284.0,286.0,284.0,286.0,285.6807861328125,92300
2021-05-25,284.0,284.0,284.0,284.0,283.6830139160156,145900
2021-05-27,284.0,284.0,284.0,284.0,283.6830139160156,110500
2021-05-28,284.0,286.0,284.0,286.0,285.6807861328125,103700
2021-05-31,286.0,286.0,286.0,286.0,285.6807861328125,102500
2021-06-02,286.0,286.0,286.0,286.0,285.6807861328125,106700
2021-06-03,286.0,288.0,286.0,288.0,287.6785583496094,102500
2021-06-04,288.0,288.0,286.0,286.0,285.6807861328125,144500
2021-06-07,286.0,286.0,286.0,286.0,285.6807861328125,94100
2021-06-08,286.0,286.0,284.0,284.0,283.6830139160156,95200
2021-06-09,284.0,286.0,284.0,284.0,283.6830139160156,98500
2021-06-10,284.0,284.0,284.0,284.0,283.6830139160156,94900
2021-06-11,284.0,284.0,284.0,284.0,283.6830139160156,97200
2021-06-14,284.0,284.0,284.0,284.0,283.6830139160156,94800
2021-06-21,284.0,284.0,284.0,284.0,283.6830139160156,95400
2021-06-23,284.0,298.0,284.0,298.0,297.6673889160156,4448000
2021-06-24,298.0,300.0,296.0,300.0,299.6651611328125,505800
2021-06-25,300.0,304.0,296.0,304.0,303.66070556640625,516500
2021-06-28,304.0,322.0,304.0,322.0,321.640625,2379300
2021-06-29,322.0,326.0,312.0,324.0,323.6383972167969,6766600
2021-06-30,324.0,336.0,324.0,336.0,335.625,2763800
2021-07-01,336.0,354.0,334.0,354.0,353.6048889160156,5021900
2021-07-02,354.0,386.0,354.0,386.0,385.5691833496094,10214300
2021-07-05,386.0,392.0,368.0,368.0,367.5892639160156,5470000
2021-07-06,368.0,380.0,364.0,380.0,379.5758972167969,2284000
2021-07-07,380.0,380.0,378.0,378.0,377.578125,2065300
2021-07-08,378.0,378.0,374.0,378.0,377.578125,436700
2021-07-09,378.0,378.0,376.0,378.0,377.578125,232100
2021-07-12,378.0,378.0,376.0,376.0,375.5803527832031,226000
2021-07-13,376.0,378.0,376.0,376.0,375.5803527832031,173900
2021-07-14,376.0,376.0,374.0,374.0,373.58258056640625,208800
2021-07-15,374.0,374.0,374.0,374.0,373.58258056640625,209600
2021-07-16,374.0,374.0,374.0,374.0,373.58258056640625,211600
2021-07-19,374.0,382.0,374.0,380.0,379.5758972167969,1974800
2021-07-21,380.0,384.0,380.0,384.0,383.5714111328125,1782600
2021-07-22,384.0,390.0,382.0,390.0,389.5647277832031,2600600
2021-07-23,390.0,390.0,384.0,386.0,385.5691833496094,1325800
2021-07-26,386.0,412.0,386.0,412.0,411.5401611328125,5551900
2021-07-27,412.0,424.0,412.0,416.0,415.53570556640625,4199300
2021-07-28,416.0,418.0,410.0,410.0,409.5423889160156,905000
2021-07-29,410.0,412.0,410.0,412.0,411.5401611328125,1578600
2021-07-30,412.0,434.0,412.0,432.0,431.5178527832031,3250000
2021-08-02,432.0,436.0,426.0,426.0,425.5245361328125,1381100
2021-08-03,426.0,428.0,424.0,428.0,427.5223083496094,1203500
2021-08-04,428.0,430.0,428.0,430.0,429.52008056640625,307100
2021-08-05,430.0,430.0,428.0,430.0,429.52008056640625,265400
2021-08-06,430.0,430.0,428.0,428.0,427.5223083496094,240400
2021-08-09,428.0,430.0,428.0,428.0,427.5223083496094,130800
2021-08-10,428.0,430.0,428.0,430.0,429.52008056640625,157300
2021-08-12,430.0,432.0,430.0,432.0,431.5178527832031,268700
2021-08-13,432.0,434.0,432.0,434.0,433.515625,143500
2021-08-16,434.0,434.0,432.0,434.0,433.515625,2853900
2021-08-18,434.0,446.0,434.0,446.0,445.5022277832031,3256500
2021-08-19,446.0,458.0,434.0,442.0,441.5066833496094,7593200
2021-08-20,442.0,448.0,442.0,448.0,447.5,2385100
2021-08-23,448.0,448.0,446.0,448.0,447.5,965400
2021-08-24,446.0,448.0,444.0,448.0,447.5,773300
2021-08-25,448.0,448.0,446.0,448.0,447.5,609800
2021-08-26,448.0,448.0,446.0,448.0,447.5,717600
2021-08-27,448.0,448.0,446.0,446.0,445.5022277832031,652700
2021-08-30,446.0,446.0,442.0,442.0,441.5066833496094,929000
2021-08-31,442.0,452.0,442.0,452.0,451.4955139160156,4769500
2021-09-01,452.0,452.0,448.0,448.0,447.5,1466800
2021-09-02,448.0,450.0,448.0,448.0,447.5,911500
2021-09-03,448.0,450.0,448.0,448.0,447.5,874000
