Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,400.0,408.0,382.0,382.0,382.0,173200
2021-01-05,382.0,382.0,356.0,370.0,370.0,74100
2021-01-06,372.0,462.0,372.0,462.0,462.0,374800
2021-01-07,482.0,575.0,482.0,575.0,575.0,752200
2021-01-08,640.0,715.0,640.0,715.0,715.0,1005500
2021-01-11,715.0,715.0,715.0,715.0,715.0,0
2021-02-01,665.0,665.0,665.0,665.0,665.0,21500
2021-02-02,620.0,620.0,620.0,620.0,620.0,47000
2021-02-03,580.0,580.0,580.0,580.0,580.0,47500
2021-02-04,540.0,540.0,540.0,540.0,540.0,30500
2021-02-05,550.0,670.0,505.0,575.0,575.0,2468400
2021-02-08,575.0,630.0,575.0,610.0,610.0,528100
2021-02-09,610.0,710.0,610.0,610.0,610.0,618200
2021-02-10,630.0,630.0,570.0,600.0,600.0,427300
2021-02-11,600.0,625.0,570.0,595.0,595.0,102200
2021-02-15,595.0,595.0,555.0,575.0,575.0,211000
2021-02-16,580.0,580.0,550.0,570.0,570.0,89000
2021-02-17,575.0,575.0,535.0,540.0,540.0,127000
2021-02-18,540.0,540.0,505.0,505.0,505.0,240800
2021-02-19,505.0,600.0,500.0,520.0,520.0,251500
2021-02-22,520.0,520.0,486.0,505.0,505.0,184600
2021-02-23,505.0,515.0,498.0,510.0,510.0,85800
2021-02-24,510.0,595.0,510.0,545.0,545.0,367700
2021-02-25,545.0,555.0,515.0,530.0,530.0,113200
2021-02-26,560.0,560.0,500.0,525.0,525.0,69100
2021-03-01,525.0,530.0,500.0,505.0,505.0,118400
2021-03-02,505.0,515.0,500.0,500.0,500.0,163800
2021-03-03,500.0,530.0,498.0,500.0,500.0,194900
2021-03-04,500.0,510.0,486.0,500.0,500.0,112300
2021-03-05,500.0,525.0,490.0,500.0,500.0,104500
2021-03-08,500.0,505.0,488.0,488.0,488.0,130500
2021-03-09,490.0,500.0,486.0,486.0,486.0,61700
2021-03-10,476.0,500.0,460.0,490.0,490.0,147100
2021-03-12,490.0,490.0,464.0,480.0,480.0,76900
2021-03-15,480.0,480.0,472.0,472.0,472.0,26100
2021-03-16,472.0,480.0,460.0,478.0,478.0,50400
2021-03-17,468.0,478.0,446.0,460.0,460.0,40000
2021-03-18,460.0,478.0,430.0,458.0,458.0,68800
2021-03-19,466.0,466.0,430.0,454.0,454.0,72900
2021-03-22,454.0,460.0,430.0,458.0,458.0,88700
2021-03-23,458.0,458.0,434.0,438.0,438.0,84800
2021-03-24,438.0,442.0,430.0,434.0,434.0,47800
2021-03-25,434.0,446.0,404.0,404.0,404.0,92800
2021-03-26,404.0,404.0,376.0,382.0,382.0,116800
2021-03-29,390.0,420.0,370.0,394.0,394.0,168900
2021-03-30,394.0,492.0,394.0,492.0,492.0,1297000
2021-03-31,500.0,615.0,498.0,615.0,615.0,3465100
2021-04-01,620.0,715.0,575.0,575.0,575.0,3338100
2021-04-05,550.0,550.0,535.0,535.0,535.0,98900
2021-04-06,498.0,500.0,498.0,498.0,498.0,51700
2021-04-07,490.0,498.0,464.0,464.0,464.0,130400
2021-04-08,456.0,500.0,434.0,458.0,458.0,450200
2021-04-09,464.0,480.0,434.0,448.0,448.0,289500
2021-04-12,448.0,472.0,448.0,460.0,460.0,167100
2021-04-13,462.0,462.0,438.0,452.0,452.0,73300
2021-04-14,452.0,452.0,446.0,448.0,448.0,64600
2021-04-15,452.0,472.0,450.0,452.0,452.0,108600
2021-04-16,450.0,450.0,444.0,446.0,446.0,65100
2021-04-19,446.0,450.0,440.0,440.0,440.0,37300
2021-04-20,440.0,496.0,434.0,472.0,472.0,170200
2021-04-21,474.0,480.0,440.0,442.0,442.0,98500
2021-04-22,442.0,460.0,442.0,452.0,452.0,59000
2021-04-23,458.0,472.0,454.0,454.0,454.0,233600
2021-04-26,460.0,565.0,460.0,565.0,565.0,2283600
2021-04-27,600.0,705.0,595.0,705.0,705.0,5384600
2021-04-28,710.0,880.0,710.0,880.0,880.0,6854400
2021-04-29,910.0,1100.0,910.0,1100.0,1100.0,6831900
2021-04-30,1150.0,1350.0,1025.0,1025.0,1025.0,4414200
2021-05-03,1015.0,1015.0,955.0,955.0,955.0,58500
2021-05-04,890.0,890.0,890.0,890.0,890.0,110000
2021-05-05,890.0,890.0,830.0,830.0,830.0,95200
2021-05-06,775.0,775.0,775.0,775.0,775.0,85000
2021-05-07,725.0,965.0,725.0,965.0,965.0,2663100
2021-05-10,980.0,1170.0,900.0,910.0,910.0,4124900
2021-05-11,920.0,975.0,850.0,850.0,850.0,427400
2021-05-17,850.0,980.0,795.0,855.0,855.0,1973200
2021-05-18,870.0,915.0,815.0,860.0,860.0,404000
2021-05-19,860.0,865.0,800.0,800.0,800.0,236200
2021-05-20,800.0,935.0,800.0,825.0,825.0,868500
2021-05-21,825.0,1025.0,800.0,860.0,860.0,2425400
2021-05-24,880.0,920.0,825.0,845.0,845.0,893900
2021-05-25,870.0,875.0,820.0,835.0,835.0,288600
2021-05-27,835.0,840.0,800.0,800.0,800.0,360000
2021-05-28,800.0,865.0,800.0,820.0,820.0,254400
2021-05-31,825.0,825.0,765.0,780.0,780.0,453000
2021-06-02,780.0,780.0,750.0,765.0,765.0,178300
2021-06-03,765.0,830.0,765.0,780.0,780.0,378800
2021-06-04,780.0,815.0,760.0,765.0,765.0,198200
2021-06-07,770.0,785.0,755.0,755.0,755.0,240500
2021-06-08,755.0,775.0,715.0,750.0,750.0,144800
2021-06-09,750.0,800.0,750.0,770.0,770.0,308100
2021-06-10,770.0,795.0,765.0,765.0,765.0,136000
2021-06-11,765.0,935.0,760.0,840.0,840.0,2705200
2021-06-14,840.0,870.0,795.0,795.0,795.0,231600
2021-06-15,800.0,820.0,775.0,775.0,775.0,146200
2021-06-16,780.0,800.0,770.0,775.0,775.0,79200
2021-06-17,775.0,775.0,725.0,750.0,750.0,141500
2021-06-18,750.0,750.0,725.0,730.0,730.0,88900
2021-06-21,730.0,780.0,710.0,715.0,715.0,34800
2021-06-22,715.0,750.0,715.0,715.0,715.0,107500
2021-06-23,715.0,740.0,715.0,735.0,735.0,86500
2021-06-24,735.0,740.0,700.0,710.0,710.0,62700
2021-06-25,710.0,730.0,690.0,720.0,720.0,74300
2021-06-28,725.0,725.0,685.0,685.0,685.0,107200
2021-06-29,685.0,700.0,660.0,670.0,670.0,34200
2021-06-30,670.0,670.0,630.0,635.0,635.0,185500
2021-07-01,645.0,710.0,640.0,665.0,665.0,42700
2021-07-02,690.0,715.0,635.0,655.0,655.0,96700
2021-07-05,660.0,685.0,640.0,650.0,650.0,45400
2021-07-06,640.0,640.0,620.0,630.0,630.0,87900
2021-07-07,620.0,625.0,620.0,625.0,625.0,34300
2021-07-08,625.0,655.0,625.0,635.0,635.0,55600
2021-07-09,645.0,645.0,635.0,635.0,635.0,42600
2021-07-12,610.0,645.0,610.0,645.0,645.0,21200
2021-07-13,645.0,670.0,640.0,640.0,640.0,60700
2021-07-14,640.0,640.0,630.0,630.0,630.0,9400
2021-07-15,630.0,630.0,600.0,630.0,630.0,29500
2021-07-16,630.0,650.0,625.0,635.0,635.0,26800
2021-07-19,635.0,635.0,625.0,635.0,635.0,14400
2021-07-21,635.0,635.0,620.0,620.0,620.0,33200
2021-07-22,630.0,650.0,610.0,610.0,610.0,91300
2021-07-23,615.0,635.0,610.0,615.0,615.0,50200
2021-07-26,615.0,635.0,610.0,620.0,620.0,56500
2021-07-27,620.0,630.0,610.0,625.0,625.0,19500
2021-07-28,625.0,635.0,615.0,615.0,615.0,34000
2021-07-29,615.0,630.0,580.0,600.0,600.0,143100
2021-07-30,635.0,750.0,625.0,630.0,630.0,751900
2021-08-02,630.0,630.0,610.0,610.0,610.0,106600
2021-08-03,610.0,650.0,590.0,595.0,595.0,144400
2021-08-04,595.0,625.0,595.0,605.0,605.0,93700
2021-08-05,605.0,615.0,590.0,600.0,600.0,46600
2021-08-06,600.0,600.0,580.0,585.0,585.0,84300
2021-08-09,585.0,595.0,550.0,555.0,555.0,159800
2021-08-10,555.0,560.0,530.0,535.0,535.0,35700
2021-08-12,540.0,550.0,535.0,550.0,550.0,68900
2021-08-13,550.0,600.0,550.0,575.0,575.0,76000
2021-08-16,575.0,575.0,535.0,560.0,560.0,32800
2021-08-18,535.0,590.0,525.0,525.0,525.0,55300
2021-08-19,535.0,565.0,525.0,530.0,530.0,9700
2021-08-20,530.0,565.0,530.0,535.0,535.0,29800
2021-08-23,550.0,600.0,550.0,565.0,565.0,29300
2021-08-24,565.0,575.0,555.0,565.0,565.0,14600
2021-08-25,565.0,595.0,555.0,555.0,555.0,17000
2021-08-26,555.0,590.0,555.0,560.0,560.0,29300
2021-08-27,560.0,575.0,535.0,535.0,535.0,51700
2021-08-30,535.0,550.0,520.0,550.0,550.0,43800
2021-08-31,560.0,560.0,525.0,530.0,530.0,30200
2021-09-01,530.0,555.0,530.0,555.0,555.0,42900
2021-09-02,535.0,550.0,535.0,550.0,550.0,18300
2021-09-03,550.0,550.0,540.0,550.0,550.0,17500
2021-09-06,550.0,560.0,540.0,550.0,550.0,22800
2021-09-07,550.0,630.0,540.0,560.0,560.0,89500
2021-09-08,565.0,565.0,545.0,550.0,550.0,14800
2021-09-09,550.0,560.0,540.0,540.0,540.0,18600
2021-09-10,540.0,540.0,535.0,540.0,540.0,30300
2021-09-13,535.0,560.0,535.0,540.0,540.0,8400
2021-09-14,540.0,550.0,535.0,535.0,535.0,40000
2021-09-15,540.0,545.0,535.0,540.0,540.0,28700
2021-09-16,545.0,545.0,535.0,545.0,545.0,29000
2021-09-17,545.0,550.0,535.0,545.0,545.0,60800
2021-09-20,545.0,545.0,525.0,540.0,540.0,26900
2021-09-21,530.0,540.0,530.0,530.0,530.0,31600
2021-09-22,530.0,540.0,530.0,530.0,530.0,17300
2021-09-23,545.0,545.0,525.0,540.0,540.0,41800
2021-09-24,530.0,540.0,530.0,530.0,530.0,11700
2021-09-27,540.0,610.0,535.0,550.0,550.0,227100
2021-09-28,545.0,570.0,540.0,545.0,545.0,66800
2021-09-29,545.0,610.0,535.0,555.0,555.0,30800
2021-09-30,560.0,565.0,530.0,540.0,540.0,77400
2021-10-01,545.0,585.0,535.0,540.0,540.0,10000
2021-10-04,560.0,565.0,535.0,540.0,540.0,23600
2021-10-05,540.0,550.0,540.0,540.0,540.0,25500
2021-10-06,560.0,565.0,530.0,545.0,545.0,68600
2021-10-07,550.0,560.0,545.0,545.0,545.0,10800
2021-10-08,560.0,560.0,535.0,535.0,535.0,40500
2021-10-11,545.0,555.0,535.0,545.0,545.0,28200
2021-10-12,550.0,560.0,535.0,550.0,550.0,47700
2021-10-13,550.0,550.0,535.0,540.0,540.0,7100
2021-10-14,545.0,550.0,545.0,550.0,550.0,37400
2021-10-15,600.0,600.0,540.0,545.0,545.0,26800
2021-10-18,545.0,560.0,545.0,550.0,550.0,24000
2021-10-19,555.0,595.0,530.0,550.0,550.0,57200
2021-10-21,555.0,560.0,550.0,560.0,560.0,19800
2021-10-22,560.0,600.0,540.0,570.0,570.0,87100
2021-10-25,575.0,600.0,570.0,590.0,590.0,106900
2021-10-26,590.0,595.0,570.0,590.0,590.0,33500
2021-10-27,590.0,590.0,575.0,580.0,580.0,10800
2021-10-28,580.0,580.0,550.0,550.0,550.0,15800
2021-10-29,540.0,555.0,540.0,555.0,555.0,21000
2021-11-01,555.0,575.0,530.0,560.0,560.0,22500
2021-11-02,570.0,570.0,545.0,550.0,550.0,16300
2021-11-03,545.0,550.0,530.0,535.0,535.0,31200
2021-11-04,535.0,555.0,535.0,550.0,550.0,25000
2021-11-05,550.0,560.0,540.0,550.0,550.0,18200
2021-11-08,540.0,555.0,535.0,555.0,555.0,8300
2021-11-09,550.0,550.0,530.0,535.0,535.0,43100
2021-11-10,540.0,560.0,540.0,555.0,555.0,20200
2021-11-11,550.0,595.0,540.0,565.0,565.0,46200
2021-11-12,555.0,580.0,555.0,575.0,575.0,6300
2021-11-15,575.0,575.0,540.0,565.0,565.0,70400
2021-11-16,555.0,575.0,555.0,570.0,570.0,15300
2021-11-17,565.0,570.0,550.0,565.0,565.0,27300
2021-11-18,565.0,565.0,545.0,550.0,550.0,24800
2021-11-19,550.0,560.0,550.0,550.0,550.0,16500
2021-11-22,550.0,560.0,540.0,550.0,550.0,3400
2021-11-23,555.0,555.0,540.0,540.0,540.0,35900
2021-11-24,540.0,560.0,540.0,555.0,555.0,18300
2021-11-25,550.0,555.0,535.0,550.0,550.0,42200
2021-11-26,550.0,550.0,535.0,535.0,535.0,17400
2021-11-29,540.0,540.0,530.0,530.0,530.0,26400
2021-11-30,530.0,545.0,530.0,535.0,535.0,17700
2021-12-01,530.0,555.0,525.0,555.0,555.0,34200
2021-12-02,555.0,555.0,530.0,530.0,530.0,27700
2021-12-03,530.0,545.0,520.0,530.0,530.0,44300
2021-12-06,525.0,525.0,520.0,520.0,520.0,21500
2021-12-07,520.0,520.0,515.0,520.0,520.0,12200
2021-12-08,520.0,520.0,515.0,520.0,520.0,12000
2021-12-09,520.0,540.0,515.0,525.0,525.0,71600
2021-12-10,535.0,585.0,525.0,530.0,530.0,152700
2021-12-13,540.0,545.0,530.0,535.0,535.0,19100
2021-12-14,530.0,540.0,520.0,520.0,520.0,27900
2021-12-15,520.0,525.0,515.0,520.0,520.0,8800
