Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,196.0,199.0,188.0,199.0,199.0,443700
2021-01-05,188.0,200.0,188.0,200.0,200.0,639200
2021-01-06,200.0,200.0,188.0,188.0,188.0,378600
2021-01-07,198.0,200.0,175.0,197.0,197.0,1402900
2021-01-08,188.0,204.0,186.0,202.0,202.0,462100
2021-01-11,191.0,195.0,191.0,193.0,193.0,396700
2021-01-12,193.0,208.0,193.0,208.0,208.0,495200
2021-01-13,200.0,206.0,200.0,206.0,206.0,386300
2021-01-14,206.0,216.0,196.0,206.0,206.0,866000
2021-01-15,206.0,212.0,194.0,204.0,204.0,1476900
2021-01-18,204.0,204.0,198.0,200.0,200.0,132000
2021-01-19,195.0,195.0,190.0,190.0,190.0,128300
2021-01-20,190.0,199.0,185.0,199.0,199.0,423800
2021-01-21,199.0,199.0,190.0,190.0,190.0,6000
2021-01-22,190.0,190.0,189.0,189.0,189.0,600
2021-01-25,189.0,189.0,189.0,189.0,189.0,700
2021-01-26,193.0,193.0,176.0,176.0,176.0,16700
2021-01-27,176.0,195.0,176.0,195.0,195.0,118200
2021-01-28,195.0,195.0,190.0,190.0,190.0,1800
2021-01-29,190.0,190.0,190.0,190.0,190.0,5100
2021-02-01,188.0,210.0,178.0,210.0,210.0,83800
2021-02-02,208.0,208.0,196.0,196.0,196.0,315200
2021-02-03,196.0,196.0,183.0,193.0,193.0,1000
2021-02-04,193.0,216.0,186.0,199.0,199.0,281300
2021-02-05,199.0,210.0,186.0,210.0,210.0,392700
2021-02-08,210.0,216.0,198.0,199.0,199.0,348100
2021-02-09,206.0,220.0,206.0,206.0,206.0,563600
2021-02-10,206.0,214.0,196.0,210.0,210.0,103300
2021-02-11,208.0,208.0,196.0,196.0,196.0,446900
2021-02-15,197.0,197.0,183.0,186.0,186.0,67800
2021-02-16,197.0,208.0,187.0,189.0,189.0,399700
2021-02-17,190.0,204.0,189.0,191.0,191.0,44300
2021-02-18,191.0,191.0,191.0,191.0,191.0,0
2021-02-19,191.0,200.0,191.0,198.0,198.0,7500
2021-02-22,198.0,218.0,193.0,206.0,206.0,376200
2021-02-23,206.0,206.0,194.0,195.0,195.0,57700
2021-02-24,196.0,200.0,196.0,199.0,199.0,4700
2021-02-25,200.0,208.0,197.0,208.0,208.0,478800
2021-02-26,204.0,204.0,194.0,194.0,194.0,72200
2021-03-01,194.0,210.0,190.0,210.0,210.0,178900
2021-03-02,202.0,214.0,198.0,210.0,210.0,536500
2021-03-03,206.0,220.0,202.0,220.0,220.0,472100
2021-03-04,220.0,222.0,208.0,218.0,218.0,733600
2021-03-05,218.0,218.0,210.0,210.0,210.0,81300
2021-03-08,210.0,210.0,196.0,198.0,198.0,14900
2021-03-09,210.0,218.0,200.0,204.0,204.0,67200
2021-03-10,204.0,204.0,194.0,195.0,195.0,106300
2021-03-12,195.0,210.0,192.0,200.0,200.0,279100
2021-03-15,200.0,204.0,195.0,195.0,195.0,76900
2021-03-16,195.0,206.0,193.0,200.0,200.0,197000
2021-03-17,204.0,204.0,195.0,195.0,195.0,34900
2021-03-18,195.0,200.0,193.0,200.0,200.0,117400
2021-03-19,200.0,202.0,198.0,202.0,202.0,150900
2021-03-22,202.0,202.0,202.0,202.0,202.0,500
2021-03-23,202.0,202.0,200.0,200.0,200.0,134100
2021-03-24,195.0,202.0,195.0,199.0,199.0,4500
2021-03-25,204.0,204.0,193.0,193.0,193.0,2200
2021-03-26,193.0,202.0,193.0,202.0,202.0,78700
2021-03-29,202.0,202.0,202.0,202.0,202.0,5600
2021-03-30,202.0,202.0,195.0,202.0,202.0,87600
2021-03-31,202.0,202.0,195.0,202.0,202.0,346000
2021-04-01,195.0,195.0,195.0,195.0,195.0,2000
2021-04-05,195.0,200.0,195.0,200.0,200.0,50400
2021-04-06,200.0,200.0,195.0,195.0,195.0,51500
2021-04-07,195.0,202.0,193.0,202.0,202.0,101300
2021-04-08,202.0,202.0,199.0,199.0,199.0,22900
2021-04-09,199.0,212.0,196.0,197.0,197.0,449000
2021-04-12,196.0,199.0,190.0,190.0,190.0,104400
2021-04-13,191.0,195.0,190.0,190.0,190.0,88900
2021-04-14,190.0,202.0,190.0,200.0,200.0,535500
2021-04-15,200.0,200.0,200.0,200.0,200.0,200
2021-04-16,200.0,202.0,200.0,200.0,200.0,129000
2021-04-19,200.0,200.0,195.0,195.0,195.0,3300
2021-04-20,195.0,195.0,195.0,195.0,195.0,2700
2021-04-21,192.0,195.0,192.0,193.0,193.0,5600
2021-04-22,193.0,193.0,193.0,193.0,193.0,109800
2021-04-23,195.0,208.0,194.0,206.0,206.0,147800
2021-04-26,210.0,214.0,197.0,197.0,197.0,22700
2021-04-27,197.0,198.0,194.0,194.0,194.0,2000
2021-04-28,194.0,194.0,194.0,194.0,194.0,30100
2021-04-29,202.0,204.0,202.0,204.0,204.0,82400
2021-04-30,204.0,210.0,196.0,196.0,196.0,14400
2021-05-03,196.0,196.0,196.0,196.0,196.0,82300
2021-05-04,196.0,198.0,196.0,198.0,198.0,36500
2021-05-05,198.0,200.0,197.0,197.0,197.0,1500
2021-05-06,197.0,197.0,197.0,197.0,197.0,9300
2021-05-07,197.0,210.0,197.0,210.0,210.0,266600
2021-05-10,210.0,214.0,198.0,198.0,198.0,257300
2021-05-11,202.0,208.0,202.0,208.0,208.0,416600
2021-05-17,202.0,208.0,197.0,198.0,198.0,239700
2021-05-18,204.0,206.0,198.0,200.0,200.0,382200
2021-05-19,199.0,204.0,197.0,200.0,200.0,123900
2021-05-20,200.0,200.0,198.0,198.0,198.0,17000
2021-05-21,199.0,199.0,191.0,193.0,193.0,156200
2021-05-24,190.0,202.0,190.0,200.0,200.0,24300
2021-05-25,200.0,202.0,190.0,202.0,202.0,716500
2021-05-27,200.0,202.0,197.0,202.0,202.0,278300
2021-05-28,202.0,204.0,199.0,202.0,202.0,721400
2021-05-31,202.0,202.0,199.0,202.0,202.0,330400
2021-06-02,202.0,202.0,200.0,202.0,202.0,152600
2021-06-03,202.0,202.0,202.0,202.0,202.0,0
2021-06-04,200.0,202.0,200.0,200.0,200.0,2800
2021-06-07,202.0,204.0,187.0,190.0,190.0,122500
2021-06-08,190.0,200.0,190.0,195.0,195.0,108900
2021-06-09,196.0,196.0,195.0,196.0,196.0,7000
2021-06-10,194.0,200.0,190.0,200.0,200.0,372300
2021-06-11,200.0,202.0,193.0,200.0,200.0,620000
2021-06-14,202.0,202.0,200.0,200.0,200.0,6200
2021-06-15,190.0,190.0,190.0,190.0,190.0,1000
2021-06-16,190.0,198.0,190.0,198.0,198.0,25500
2021-06-17,198.0,198.0,197.0,198.0,198.0,26300
2021-06-18,197.0,197.0,197.0,197.0,197.0,600
2021-06-21,197.0,202.0,196.0,202.0,202.0,125600
2021-06-22,204.0,204.0,191.0,202.0,202.0,212100
2021-06-23,200.0,202.0,200.0,202.0,202.0,101300
2021-06-24,202.0,204.0,202.0,204.0,204.0,221800
2021-06-25,193.0,193.0,193.0,193.0,193.0,1000
2021-06-28,204.0,204.0,197.0,197.0,197.0,310600
2021-06-29,197.0,202.0,197.0,202.0,202.0,253000
2021-06-30,202.0,212.0,198.0,198.0,198.0,895800
2021-07-01,198.0,206.0,198.0,204.0,204.0,407700
2021-07-02,204.0,206.0,204.0,206.0,206.0,2100
2021-07-05,210.0,210.0,202.0,202.0,202.0,2700
2021-07-06,202.0,204.0,202.0,204.0,204.0,3100
2021-07-07,204.0,204.0,204.0,204.0,204.0,200
2021-07-08,204.0,204.0,204.0,204.0,204.0,0
2021-07-09,208.0,210.0,200.0,200.0,200.0,19700
2021-07-12,199.0,200.0,199.0,200.0,200.0,5600
2021-07-13,200.0,202.0,192.0,202.0,202.0,14000
2021-07-14,200.0,202.0,200.0,202.0,202.0,200
2021-07-15,202.0,212.0,202.0,202.0,202.0,17600
2021-07-16,198.0,204.0,198.0,204.0,204.0,10300
2021-07-19,204.0,204.0,194.0,196.0,196.0,16900
2021-07-21,202.0,202.0,196.0,196.0,196.0,3700
2021-07-22,195.0,202.0,195.0,196.0,196.0,72100
2021-07-23,196.0,196.0,195.0,195.0,195.0,2000
2021-07-26,195.0,206.0,195.0,204.0,204.0,318100
2021-07-27,204.0,204.0,202.0,202.0,202.0,3900
2021-07-28,202.0,202.0,202.0,202.0,202.0,5200
2021-07-29,202.0,220.0,202.0,206.0,206.0,610400
