Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,382.0,398.0,374.0,398.0,398.0,53300
2021-01-05,398.0,400.0,372.0,378.0,378.0,499800
2021-01-06,398.0,398.0,352.0,352.0,352.0,497400
2021-01-07,352.0,362.0,328.0,348.0,348.0,91900
2021-01-08,368.0,368.0,324.0,328.0,328.0,399000
2021-01-11,348.0,348.0,306.0,306.0,306.0,233800
2021-01-12,326.0,326.0,286.0,286.0,286.0,342200
2021-01-13,306.0,306.0,266.0,266.0,266.0,121900
2021-01-14,286.0,286.0,248.0,248.0,248.0,425800
2021-01-15,248.0,248.0,232.0,234.0,234.0,115700
2021-01-18,254.0,262.0,218.0,254.0,254.0,515800
2021-01-19,270.0,270.0,240.0,248.0,248.0,418300
2021-01-20,268.0,268.0,234.0,248.0,248.0,312400
2021-01-21,260.0,260.0,240.0,248.0,248.0,56000
2021-01-22,248.0,248.0,238.0,246.0,246.0,59500
2021-01-25,246.0,246.0,238.0,246.0,246.0,40700
2021-01-26,246.0,248.0,230.0,234.0,234.0,246700
2021-01-27,254.0,254.0,218.0,220.0,220.0,517100
2021-01-28,240.0,240.0,206.0,218.0,218.0,231600
2021-01-29,230.0,230.0,204.0,218.0,218.0,217800
2021-02-01,218.0,218.0,204.0,216.0,216.0,29200
2021-02-02,236.0,236.0,204.0,218.0,218.0,64800
2021-02-03,238.0,238.0,210.0,214.0,214.0,21900
2021-02-04,214.0,216.0,204.0,214.0,214.0,43000
2021-02-05,234.0,234.0,200.0,210.0,210.0,369900
2021-02-08,230.0,230.0,196.0,196.0,196.0,379700
2021-02-09,206.0,206.0,183.0,183.0,183.0,466900
2021-02-10,193.0,193.0,171.0,180.0,180.0,521900
2021-02-11,190.0,190.0,173.0,180.0,180.0,154800
2021-02-15,190.0,190.0,168.0,169.0,169.0,345100
2021-02-16,179.0,179.0,158.0,169.0,169.0,1603100
2021-02-17,171.0,171.0,166.0,166.0,166.0,185500
2021-02-18,176.0,176.0,166.0,167.0,167.0,36400
2021-02-19,175.0,175.0,169.0,169.0,169.0,96000
2021-02-22,179.0,179.0,165.0,166.0,166.0,131300
2021-02-23,176.0,176.0,158.0,170.0,170.0,57600
2021-02-24,180.0,180.0,165.0,170.0,170.0,14800
2021-02-25,170.0,170.0,163.0,170.0,170.0,74600
2021-02-26,170.0,170.0,162.0,168.0,168.0,41200
2021-03-01,178.0,178.0,162.0,168.0,168.0,53000
2021-03-02,178.0,178.0,167.0,167.0,167.0,71900
2021-03-03,177.0,177.0,159.0,169.0,169.0,69100
2021-03-04,179.0,179.0,168.0,169.0,169.0,66800
2021-03-05,179.0,179.0,168.0,168.0,168.0,24200
2021-03-08,178.0,178.0,157.0,170.0,170.0,78900
2021-03-09,180.0,180.0,168.0,173.0,173.0,199900
2021-03-10,173.0,173.0,170.0,172.0,172.0,55700
2021-03-12,182.0,182.0,167.0,171.0,171.0,79700
2021-03-15,181.0,181.0,168.0,173.0,173.0,49200
2021-03-16,173.0,173.0,170.0,170.0,170.0,56900
2021-03-17,180.0,180.0,170.0,171.0,171.0,41200
2021-03-18,181.0,181.0,168.0,170.0,170.0,94300
2021-03-19,180.0,180.0,168.0,169.0,169.0,102500
2021-03-22,179.0,179.0,168.0,170.0,170.0,141300
2021-03-23,170.0,170.0,168.0,168.0,168.0,54800
2021-03-24,178.0,178.0,167.0,167.0,167.0,29100
2021-03-25,177.0,177.0,165.0,167.0,167.0,27000
2021-03-26,170.0,170.0,156.0,168.0,168.0,89000
2021-03-29,178.0,178.0,168.0,168.0,168.0,29100
2021-03-30,170.0,170.0,168.0,170.0,170.0,23400
2021-03-31,168.0,170.0,166.0,170.0,170.0,67300
2021-04-01,170.0,170.0,166.0,170.0,170.0,15500
2021-04-05,170.0,170.0,168.0,169.0,169.0,38300
2021-04-06,169.0,169.0,166.0,169.0,169.0,9600
2021-04-07,168.0,170.0,168.0,170.0,170.0,33900
2021-04-08,169.0,169.0,166.0,168.0,168.0,14100
2021-04-09,168.0,169.0,167.0,169.0,169.0,18800
2021-04-12,168.0,168.0,158.0,168.0,168.0,28900
2021-04-13,168.0,168.0,164.0,166.0,166.0,5700
2021-04-14,166.0,166.0,166.0,166.0,166.0,500
2021-04-15,169.0,170.0,166.0,170.0,170.0,96700
2021-04-16,170.0,170.0,169.0,169.0,169.0,18100
2021-04-19,169.0,169.0,168.0,169.0,169.0,25100
2021-04-20,168.0,168.0,161.0,161.0,161.0,21500
2021-04-21,161.0,170.0,161.0,161.0,161.0,117700
2021-04-22,171.0,175.0,161.0,174.0,174.0,311500
2021-04-23,174.0,174.0,164.0,174.0,174.0,53800
2021-04-26,168.0,173.0,168.0,173.0,173.0,4800
2021-04-27,173.0,173.0,169.0,173.0,173.0,41700
2021-04-28,173.0,173.0,168.0,173.0,173.0,1700
2021-04-29,173.0,174.0,168.0,168.0,168.0,59500
2021-04-30,173.0,173.0,168.0,170.0,170.0,52100
2021-05-03,170.0,170.0,168.0,170.0,170.0,12800
2021-05-04,168.0,170.0,164.0,170.0,170.0,17600
2021-05-05,170.0,170.0,168.0,170.0,170.0,25400
2021-05-06,170.0,171.0,161.0,170.0,170.0,31000
2021-05-07,170.0,170.0,167.0,170.0,170.0,31300
2021-05-10,170.0,177.0,168.0,170.0,170.0,34700
2021-05-11,170.0,176.0,167.0,170.0,170.0,38300
2021-05-17,170.0,170.0,162.0,170.0,170.0,33100
2021-05-18,170.0,170.0,166.0,166.0,166.0,22600
2021-05-19,166.0,224.0,166.0,224.0,224.0,1588800
2021-05-20,244.0,280.0,244.0,280.0,280.0,3182700
2021-05-21,350.0,350.0,350.0,350.0,350.0,1396200
2021-05-24,380.0,436.0,350.0,436.0,436.0,13900700
2021-05-25,446.0,525.0,406.0,406.0,406.0,13410100
2021-05-27,400.0,400.0,378.0,378.0,378.0,242200
2021-05-28,378.0,380.0,352.0,352.0,352.0,483000
2021-05-31,338.0,440.0,328.0,380.0,380.0,8156500
2021-06-02,378.0,382.0,354.0,360.0,360.0,1940800
2021-06-03,340.0,362.0,336.0,336.0,336.0,1270900
2021-06-04,356.0,356.0,314.0,338.0,338.0,1026900
2021-06-07,318.0,338.0,316.0,320.0,320.0,626900
2021-06-08,300.0,320.0,298.0,308.0,308.0,1241700
2021-06-09,328.0,350.0,292.0,308.0,308.0,728200
2021-06-10,328.0,328.0,288.0,294.0,294.0,450400
2021-06-11,276.0,366.0,276.0,366.0,366.0,5128200
2021-06-14,372.0,438.0,342.0,342.0,342.0,2556000
2021-06-15,362.0,362.0,320.0,320.0,320.0,1261400
