Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,56.0,59.0,54.0,55.0,55.0,20077000
2021-12-02,56.0,58.0,55.0,56.0,56.0,17113100
2021-12-03,56.0,57.0,55.0,56.0,56.0,11476000
2021-12-06,56.0,58.0,54.0,55.0,55.0,14450600
2021-12-07,55.0,59.0,55.0,56.0,56.0,21160500
2021-12-08,57.0,57.0,54.0,55.0,55.0,12822600
2021-12-09,55.0,56.0,54.0,55.0,55.0,10352200
2021-12-10,55.0,58.0,54.0,56.0,56.0,37279700
2021-12-13,56.0,57.0,55.0,55.0,55.0,10618700
2021-12-14,56.0,56.0,55.0,55.0,55.0,8406700
2021-12-15,56.0,57.0,55.0,55.0,55.0,13668300
2021-12-16,56.0,57.0,54.0,56.0,56.0,12412700
2021-12-17,56.0,56.0,55.0,55.0,55.0,10964100
2021-12-20,55.0,56.0,54.0,55.0,55.0,6059000
2021-12-21,55.0,55.0,54.0,54.0,54.0,7083500
2021-12-22,55.0,64.0,54.0,57.0,57.0,130851300
2021-12-23,57.0,62.0,55.0,58.0,58.0,87561600
2021-12-24,59.0,61.0,58.0,60.0,60.0,25172700
2021-12-27,60.0,66.0,59.0,66.0,66.0,100172800
2021-12-28,67.0,69.0,62.0,62.0,62.0,80841100
2021-12-29,63.0,64.0,58.0,58.0,58.0,49758600
2021-12-30,58.0,59.0,54.0,54.0,54.0,54676900
2022-01-03,54.0,56.0,54.0,55.0,55.0,13199500
2022-01-04,55.0,55.0,53.0,53.0,53.0,28992200
2022-01-05,54.0,58.0,52.0,54.0,54.0,84383700
2022-01-06,54.0,55.0,52.0,53.0,53.0,15634300
2022-01-07,54.0,54.0,52.0,52.0,52.0,9814000
