Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,840.0,850.0,825.0,850.0,850.0,1284700
2021-12-02,855.0,855.0,835.0,850.0,850.0,219900
2021-12-03,845.0,850.0,840.0,850.0,850.0,116300
2021-12-06,850.0,855.0,830.0,850.0,850.0,984200
2021-12-07,850.0,860.0,840.0,845.0,845.0,1056000
2021-12-08,845.0,845.0,825.0,835.0,835.0,3111900
2021-12-09,835.0,840.0,820.0,825.0,825.0,2194500
2021-12-10,825.0,840.0,825.0,840.0,840.0,625600
2021-12-13,840.0,845.0,830.0,840.0,840.0,785400
2021-12-14,840.0,845.0,830.0,845.0,845.0,377100
2021-12-15,845.0,845.0,835.0,840.0,840.0,808600
2021-12-16,840.0,845.0,835.0,845.0,845.0,449700
2021-12-17,845.0,845.0,830.0,830.0,830.0,647600
2021-12-20,830.0,840.0,820.0,830.0,830.0,380400
2021-12-21,830.0,845.0,820.0,820.0,820.0,321600
2021-12-22,820.0,830.0,820.0,820.0,820.0,376700
2021-12-23,825.0,835.0,815.0,815.0,815.0,517500
2021-12-24,815.0,830.0,805.0,805.0,805.0,1044100
2021-12-27,805.0,820.0,760.0,800.0,800.0,2820600
2021-12-28,800.0,810.0,785.0,800.0,800.0,1265400
2021-12-29,805.0,815.0,795.0,805.0,805.0,2107900
2021-12-30,805.0,815.0,795.0,800.0,800.0,1792300
2022-01-03,805.0,810.0,790.0,800.0,800.0,915500
2022-01-04,805.0,815.0,795.0,815.0,815.0,1159400
2022-01-05,815.0,845.0,810.0,830.0,830.0,1703800
2022-01-06,830.0,840.0,805.0,830.0,830.0,953900
2022-01-07,830.0,845.0,815.0,840.0,840.0,15390600
