Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,256.0,256.0,256.0,256.0,256.0,0
2021-01-06,260.0,260.0,260.0,260.0,260.0,600
2021-01-07,260.0,260.0,260.0,260.0,260.0,0
2021-01-08,260.0,260.0,260.0,260.0,260.0,100
2021-01-11,300.0,300.0,300.0,300.0,300.0,400
2021-01-12,308.0,308.0,300.0,300.0,300.0,7900
2021-01-13,280.0,282.0,280.0,282.0,282.0,1100
2021-01-14,280.0,284.0,280.0,284.0,284.0,1300
2021-01-15,280.0,280.0,280.0,280.0,280.0,100
2021-01-18,284.0,302.0,280.0,302.0,302.0,15400
2021-01-19,302.0,302.0,300.0,300.0,300.0,9400
2021-01-20,280.0,280.0,280.0,280.0,280.0,1600
2021-01-21,264.0,298.0,264.0,298.0,298.0,9600
2021-01-22,302.0,302.0,278.0,278.0,278.0,3400
2021-01-25,264.0,278.0,264.0,278.0,278.0,3100
2021-01-26,278.0,278.0,278.0,278.0,278.0,100
2021-01-27,278.0,278.0,278.0,278.0,278.0,0
2021-01-28,278.0,278.0,262.0,262.0,262.0,400
2021-01-29,246.0,296.0,244.0,250.0,250.0,12000
2021-02-01,250.0,250.0,236.0,250.0,250.0,15300
2021-02-02,250.0,250.0,250.0,250.0,250.0,100
2021-02-03,252.0,290.0,252.0,290.0,290.0,800
2021-02-04,288.0,290.0,272.0,276.0,276.0,2600
2021-02-05,260.0,260.0,260.0,260.0,260.0,200
2021-02-08,244.0,262.0,244.0,262.0,262.0,300
2021-02-09,246.0,262.0,246.0,262.0,262.0,2000
2021-02-10,246.0,276.0,246.0,276.0,276.0,500
2021-02-11,276.0,276.0,276.0,276.0,276.0,100
2021-02-15,280.0,280.0,264.0,264.0,264.0,4500
2021-02-16,260.0,280.0,260.0,272.0,272.0,6900
2021-02-17,268.0,284.0,268.0,268.0,268.0,4100
2021-02-18,268.0,328.0,260.0,270.0,270.0,72800
2021-02-19,270.0,270.0,258.0,260.0,260.0,12500
2021-02-22,260.0,296.0,260.0,290.0,290.0,23900
2021-02-23,270.0,288.0,270.0,270.0,270.0,28000
2021-02-24,270.0,280.0,266.0,266.0,266.0,4200
2021-02-25,266.0,266.0,266.0,266.0,266.0,2300
2021-02-26,266.0,266.0,266.0,266.0,266.0,4800
2021-03-01,278.0,278.0,266.0,266.0,266.0,1800
2021-03-02,266.0,268.0,266.0,268.0,268.0,3600
2021-03-03,278.0,330.0,268.0,268.0,268.0,29200
2021-03-04,268.0,268.0,260.0,260.0,260.0,5100
2021-03-05,260.0,310.0,260.0,272.0,272.0,151400
2021-03-08,280.0,340.0,270.0,340.0,340.0,243400
2021-03-09,342.0,424.0,318.0,318.0,318.0,555600
2021-03-10,310.0,318.0,296.0,296.0,296.0,116500
2021-03-12,296.0,296.0,278.0,284.0,284.0,19300
2021-03-15,284.0,286.0,284.0,286.0,286.0,3600
2021-03-16,296.0,320.0,276.0,280.0,280.0,189100
2021-03-17,268.0,278.0,268.0,276.0,276.0,4000
2021-03-18,276.0,334.0,276.0,276.0,276.0,227900
2021-03-19,276.0,328.0,276.0,278.0,278.0,140700
2021-03-22,274.0,278.0,274.0,278.0,278.0,13300
2021-03-23,278.0,298.0,270.0,298.0,298.0,19100
2021-03-24,298.0,298.0,278.0,280.0,280.0,20800
2021-03-25,264.0,272.0,264.0,270.0,270.0,20800
2021-03-26,264.0,298.0,264.0,282.0,282.0,12100
2021-03-29,272.0,296.0,272.0,286.0,286.0,12000
2021-03-30,278.0,278.0,278.0,278.0,278.0,2700
2021-03-31,278.0,284.0,270.0,270.0,270.0,17700
2021-04-01,266.0,270.0,266.0,270.0,270.0,11000
2021-04-05,270.0,270.0,262.0,270.0,270.0,6000
2021-04-06,270.0,270.0,264.0,266.0,266.0,1000
2021-04-07,252.0,278.0,252.0,278.0,278.0,2700
2021-04-08,268.0,278.0,268.0,278.0,278.0,1700
2021-04-09,272.0,280.0,272.0,272.0,272.0,8100
2021-04-12,272.0,276.0,270.0,270.0,270.0,1800
2021-04-13,260.0,264.0,254.0,264.0,264.0,2500
2021-04-14,264.0,270.0,264.0,270.0,270.0,2800
2021-04-15,276.0,276.0,266.0,270.0,270.0,22600
2021-04-16,270.0,274.0,252.0,264.0,264.0,13000
2021-04-19,264.0,264.0,260.0,262.0,262.0,1500
2021-04-20,248.0,296.0,246.0,288.0,288.0,63000
2021-04-21,280.0,284.0,268.0,280.0,280.0,5900
2021-04-26,280.0,280.0,280.0,280.0,280.0,0
2021-04-28,262.0,264.0,262.0,264.0,264.0,10500
2021-04-29,264.0,278.0,264.0,274.0,274.0,2100
2021-04-30,272.0,272.0,258.0,272.0,272.0,1100
2021-05-03,272.0,272.0,272.0,272.0,272.0,0
2021-05-04,272.0,272.0,256.0,262.0,262.0,3300
2021-05-05,262.0,262.0,262.0,262.0,262.0,8300
2021-05-06,262.0,262.0,262.0,262.0,262.0,800
2021-05-07,262.0,262.0,262.0,262.0,262.0,0
2021-05-10,284.0,284.0,276.0,276.0,276.0,700
2021-05-11,262.0,262.0,262.0,262.0,262.0,300
2021-05-17,262.0,264.0,262.0,264.0,264.0,900
2021-05-18,264.0,264.0,260.0,260.0,260.0,300
2021-05-19,260.0,260.0,258.0,258.0,258.0,300
2021-05-20,258.0,260.0,258.0,260.0,260.0,400
2021-05-21,250.0,260.0,250.0,260.0,260.0,1900
2021-05-24,260.0,260.0,252.0,260.0,260.0,400
2021-05-25,260.0,260.0,252.0,258.0,258.0,600
2021-05-27,256.0,258.0,256.0,258.0,258.0,5400
2021-05-28,258.0,274.0,258.0,258.0,258.0,600
2021-05-31,274.0,274.0,254.0,254.0,254.0,2900
2021-06-02,252.0,258.0,252.0,258.0,258.0,1400
2021-06-03,258.0,258.0,254.0,256.0,256.0,1300
2021-06-04,258.0,258.0,256.0,256.0,256.0,500
2021-06-07,260.0,320.0,260.0,320.0,320.0,598200
2021-06-08,330.0,400.0,330.0,400.0,400.0,293700
2021-06-09,460.0,500.0,460.0,500.0,500.0,337000
2021-06-10,550.0,625.0,510.0,625.0,625.0,286500
2021-06-11,670.0,780.0,585.0,585.0,585.0,994600
2021-06-14,585.0,730.0,545.0,580.0,580.0,585000
2021-06-15,580.0,580.0,540.0,540.0,540.0,20100
2021-06-16,540.0,540.0,505.0,505.0,505.0,21600
2021-06-17,505.0,575.0,470.0,470.0,470.0,749600
2021-06-18,470.0,472.0,438.0,438.0,438.0,100600
2021-06-21,438.0,438.0,408.0,408.0,408.0,181100
2021-06-22,408.0,510.0,380.0,510.0,510.0,334300
2021-06-23,560.0,635.0,535.0,635.0,635.0,558400
2021-06-24,705.0,790.0,595.0,595.0,595.0,1659700
2021-06-25,595.0,595.0,555.0,555.0,555.0,21500
2021-06-28,555.0,555.0,520.0,520.0,520.0,41800
2021-06-29,520.0,560.0,484.0,488.0,488.0,314300
2021-06-30,488.0,550.0,460.0,486.0,486.0,98400
2021-07-01,466.0,505.0,452.0,452.0,452.0,98100
2021-07-02,456.0,498.0,454.0,470.0,470.0,68300
2021-07-05,476.0,500.0,450.0,456.0,456.0,93000
2021-07-06,460.0,490.0,448.0,450.0,450.0,24900
2021-07-07,440.0,462.0,420.0,458.0,458.0,23100
2021-07-08,458.0,458.0,430.0,448.0,448.0,137400
2021-07-09,448.0,488.0,440.0,444.0,444.0,37300
2021-07-12,446.0,550.0,446.0,468.0,468.0,335300
2021-07-13,454.0,585.0,454.0,585.0,585.0,452200
2021-07-14,600.0,730.0,545.0,545.0,545.0,4407300
2021-07-15,510.0,510.0,510.0,510.0,510.0,68500
2021-07-16,476.0,520.0,476.0,498.0,498.0,569600
2021-07-19,498.0,520.0,466.0,480.0,480.0,133300
2021-07-21,484.0,490.0,450.0,476.0,476.0,85700
2021-07-22,466.0,500.0,454.0,490.0,490.0,81300
2021-07-23,472.0,540.0,470.0,470.0,470.0,88300
2021-07-26,470.0,500.0,452.0,482.0,482.0,29900
2021-07-27,482.0,500.0,470.0,498.0,498.0,111500
2021-07-28,500.0,505.0,474.0,482.0,482.0,98000
2021-07-29,484.0,530.0,478.0,480.0,480.0,78100
2021-07-30,480.0,488.0,470.0,470.0,470.0,19900
2021-08-02,470.0,500.0,440.0,452.0,452.0,22700
2021-08-03,450.0,468.0,450.0,460.0,460.0,49700
2021-08-04,460.0,480.0,428.0,478.0,478.0,170200
