Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,157.0,167.0,155.0,158.0,158.0,19123500
2021-12-02,158.0,161.0,147.0,148.0,148.0,6306700
2021-12-03,147.0,149.0,142.0,148.0,148.0,3938300
2021-12-06,148.0,148.0,138.0,140.0,140.0,3538700
2021-12-07,143.0,143.0,138.0,139.0,139.0,743300
2021-12-08,140.0,143.0,136.0,138.0,138.0,854900
2021-12-09,139.0,140.0,137.0,139.0,139.0,727500
2021-12-10,139.0,143.0,137.0,141.0,141.0,619300
2021-12-13,141.0,147.0,135.0,140.0,140.0,2496100
2021-12-14,141.0,142.0,140.0,140.0,140.0,448200
2021-12-15,140.0,142.0,139.0,140.0,140.0,420500
2021-12-16,141.0,141.0,135.0,140.0,140.0,332200
2021-12-17,140.0,141.0,138.0,139.0,139.0,411700
2021-12-20,140.0,141.0,138.0,140.0,140.0,186000
2021-12-21,140.0,141.0,137.0,139.0,139.0,657000
2021-12-22,139.0,139.0,136.0,138.0,138.0,302500
2021-12-23,137.0,140.0,135.0,140.0,140.0,599500
2021-12-24,140.0,140.0,137.0,137.0,137.0,435700
2021-12-27,137.0,139.0,136.0,139.0,139.0,327600
2021-12-28,139.0,140.0,136.0,139.0,139.0,195000
2021-12-29,138.0,140.0,136.0,138.0,138.0,465700
2021-12-30,139.0,146.0,137.0,139.0,139.0,650200
2022-01-03,141.0,141.0,138.0,139.0,139.0,518000
2022-01-04,139.0,141.0,138.0,140.0,140.0,497100
2022-01-05,141.0,141.0,138.0,139.0,139.0,260600
2022-01-06,138.0,140.0,137.0,137.0,137.0,589100
2022-01-07,138.0,140.0,137.0,138.0,138.0,253500
