Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,635.0,680.0,635.0,670.0,670.0,33141800
2021-01-05,665.0,675.0,655.0,670.0,670.0,15393000
2021-01-06,680.0,690.0,635.0,655.0,655.0,16385900
2021-01-07,660.0,670.0,650.0,660.0,660.0,11146400
2021-01-08,665.0,680.0,640.0,655.0,655.0,16310600
2021-01-11,660.0,730.0,660.0,730.0,730.0,42556600
2021-01-12,730.0,750.0,700.0,720.0,720.0,36283300
2021-01-13,720.0,735.0,710.0,710.0,710.0,10026800
2021-01-14,725.0,785.0,710.0,745.0,745.0,43824300
2021-01-15,750.0,780.0,745.0,760.0,760.0,19607700
2021-01-18,770.0,845.0,760.0,810.0,810.0,27704200
2021-01-19,810.0,825.0,760.0,795.0,795.0,21355900
2021-01-20,795.0,850.0,785.0,835.0,835.0,19558900
2021-01-21,835.0,845.0,820.0,830.0,830.0,13283100
2021-01-22,830.0,845.0,810.0,815.0,815.0,13176100
2021-01-25,800.0,815.0,765.0,790.0,790.0,14002800
2021-01-26,790.0,810.0,765.0,780.0,780.0,15447100
2021-01-27,780.0,825.0,735.0,800.0,800.0,32416600
2021-01-28,805.0,885.0,775.0,810.0,810.0,39619600
2021-01-29,815.0,820.0,780.0,805.0,805.0,15394300
2021-02-01,800.0,880.0,780.0,870.0,870.0,25626200
2021-02-02,870.0,920.0,840.0,840.0,840.0,34565400
2021-02-03,850.0,865.0,810.0,840.0,840.0,10488300
2021-02-04,845.0,1050.0,830.0,1000.0,1000.0,87621100
2021-02-05,995.0,1085.0,970.0,1010.0,1010.0,53490800
2021-02-08,1045.0,1045.0,1000.0,1015.0,1015.0,10742300
2021-02-09,1010.0,1070.0,1010.0,1040.0,1040.0,15037400
2021-02-10,1055.0,1055.0,1025.0,1040.0,1040.0,11871700
2021-02-11,1045.0,1200.0,1025.0,1160.0,1160.0,61318800
2021-02-15,1160.0,1350.0,1110.0,1180.0,1180.0,61278500
2021-02-16,1165.0,1245.0,1150.0,1160.0,1160.0,23888900
2021-02-17,1155.0,1315.0,1120.0,1300.0,1300.0,67975500
2021-02-18,1320.0,1460.0,1305.0,1365.0,1365.0,55450800
2021-02-19,1360.0,1410.0,1300.0,1325.0,1325.0,25657800
2021-02-22,1340.0,1370.0,1280.0,1305.0,1305.0,16838100
2021-02-23,1305.0,1335.0,1290.0,1330.0,1330.0,14487700
2021-02-24,1340.0,1355.0,1245.0,1290.0,1290.0,30618600
2021-02-25,1290.0,1310.0,1255.0,1290.0,1290.0,12753300
2021-02-26,1270.0,1270.0,1200.0,1255.0,1255.0,23466100
2021-03-01,1250.0,1260.0,1205.0,1220.0,1220.0,22289300
2021-03-02,1220.0,1255.0,1160.0,1185.0,1185.0,27890500
2021-03-03,1180.0,1235.0,1175.0,1205.0,1205.0,31420300
2021-03-04,1205.0,1370.0,1175.0,1345.0,1345.0,61990400
2021-03-05,1350.0,1615.0,1300.0,1440.0,1440.0,100143500
2021-03-08,1455.0,1800.0,1450.0,1800.0,1800.0,96234100
2021-03-09,1810.0,1810.0,1675.0,1675.0,1675.0,10008900
2021-03-10,1575.0,1870.0,1560.0,1715.0,1715.0,97854200
2021-03-12,1715.0,1785.0,1700.0,1715.0,1715.0,28788900
2021-03-15,1730.0,1970.0,1715.0,1845.0,1845.0,91528800
2021-03-16,1860.0,1990.0,1845.0,1915.0,1915.0,69783300
2021-03-17,1915.0,1960.0,1880.0,1910.0,1910.0,23249400
2021-03-18,1910.0,1955.0,1885.0,1900.0,1900.0,18792100
2021-03-19,1900.0,1910.0,1770.0,1770.0,1770.0,40047600
2021-03-22,1760.0,1770.0,1660.0,1690.0,1690.0,27444400
2021-03-23,1685.0,1755.0,1575.0,1575.0,1575.0,36135300
2021-03-24,1550.0,1705.0,1530.0,1640.0,1640.0,46129000
2021-03-25,1650.0,1680.0,1570.0,1605.0,1605.0,19597200
2021-03-26,1605.0,1740.0,1595.0,1740.0,1740.0,35802500
2021-03-29,1745.0,1780.0,1710.0,1730.0,1730.0,22116900
2021-03-30,1740.0,1815.0,1665.0,1720.0,1720.0,37280100
2021-03-31,1715.0,1735.0,1620.0,1675.0,1675.0,29398000
2021-04-01,1680.0,1710.0,1640.0,1695.0,1695.0,14253200
2021-04-05,1700.0,1790.0,1675.0,1790.0,1790.0,31602700
2021-04-06,1800.0,2080.0,1795.0,1980.0,1980.0,89574700
2021-04-07,1990.0,2000.0,1910.0,1920.0,1920.0,20665800
