Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,50.0,51.0,50.0,50.0,50.0,2209100
2021-01-05,50.0,51.0,50.0,50.0,50.0,9238400
2021-01-06,50.0,53.0,50.0,50.0,50.0,34096800
2021-01-07,50.0,51.0,50.0,50.0,50.0,7664200
2021-01-08,50.0,51.0,50.0,51.0,51.0,20335300
2021-01-11,51.0,51.0,50.0,50.0,50.0,20443300
2021-01-12,50.0,53.0,50.0,51.0,51.0,31894200
2021-01-13,51.0,51.0,50.0,50.0,50.0,10103600
2021-01-14,50.0,52.0,50.0,50.0,50.0,11806300
2021-01-15,50.0,52.0,50.0,50.0,50.0,10113300
2021-01-18,50.0,52.0,50.0,50.0,50.0,16098600
2021-01-19,50.0,51.0,50.0,50.0,50.0,12149200
2021-01-20,50.0,51.0,50.0,50.0,50.0,17128000
2021-01-21,50.0,51.0,50.0,50.0,50.0,4768600
2021-01-22,50.0,51.0,50.0,50.0,50.0,3111900
2021-01-25,50.0,51.0,50.0,50.0,50.0,1656500
2021-01-26,50.0,50.0,50.0,50.0,50.0,7868500
2021-01-27,50.0,50.0,50.0,50.0,50.0,308900
2021-01-28,50.0,50.0,50.0,50.0,50.0,45300
2021-01-29,50.0,50.0,50.0,50.0,50.0,146700
2021-02-01,50.0,50.0,50.0,50.0,50.0,2696600
2021-02-02,50.0,50.0,50.0,50.0,50.0,568900
2021-02-03,50.0,50.0,50.0,50.0,50.0,2133200
2021-02-04,50.0,50.0,50.0,50.0,50.0,88900
2021-02-05,50.0,50.0,50.0,50.0,50.0,2426000
2021-02-08,50.0,50.0,50.0,50.0,50.0,206100
2021-02-09,50.0,50.0,50.0,50.0,50.0,609700
2021-02-10,50.0,50.0,50.0,50.0,50.0,226400
2021-02-11,50.0,50.0,50.0,50.0,50.0,1282500
2021-02-15,50.0,50.0,50.0,50.0,50.0,92000
2021-02-16,50.0,50.0,50.0,50.0,50.0,362400
2021-02-17,50.0,67.0,50.0,67.0,67.0,557354500
2021-02-18,69.0,87.0,64.0,66.0,66.0,1225321800
2021-02-19,66.0,68.0,62.0,62.0,62.0,138244500
2021-02-22,62.0,66.0,58.0,59.0,59.0,159461300
2021-02-23,55.0,61.0,55.0,55.0,55.0,149681700
2021-02-24,55.0,69.0,52.0,62.0,62.0,587693800
2021-02-25,70.0,75.0,62.0,72.0,72.0,690265400
2021-02-26,72.0,80.0,67.0,70.0,70.0,682801300
2021-03-01,70.0,76.0,70.0,72.0,72.0,267480200
2021-03-02,73.0,74.0,68.0,69.0,69.0,225125200
