Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,610.0,630.0,610.0,625.0,625.0,30200
2021-01-05,625.0,630.0,620.0,630.0,630.0,29700
2021-01-06,630.0,630.0,615.0,625.0,625.0,4500
2021-01-07,625.0,625.0,620.0,620.0,620.0,18200
2021-01-08,620.0,620.0,620.0,620.0,620.0,400
2021-01-11,620.0,625.0,610.0,620.0,620.0,46000
2021-01-12,620.0,625.0,615.0,625.0,625.0,3000
2021-01-13,625.0,630.0,625.0,625.0,625.0,1700
2021-01-14,625.0,630.0,620.0,630.0,630.0,46900
2021-01-15,620.0,625.0,620.0,625.0,625.0,22100
2021-01-18,625.0,630.0,625.0,630.0,630.0,1000
2021-01-19,630.0,780.0,615.0,615.0,615.0,59200
2021-01-20,630.0,645.0,620.0,645.0,645.0,2300
2021-01-21,645.0,645.0,645.0,645.0,645.0,500
2021-01-22,645.0,650.0,645.0,645.0,645.0,12400
2021-01-25,645.0,645.0,620.0,640.0,640.0,33800
2021-01-26,640.0,640.0,640.0,640.0,640.0,100
2021-01-27,640.0,640.0,620.0,620.0,620.0,17900
2021-01-28,620.0,620.0,620.0,620.0,620.0,1100
2021-01-29,620.0,620.0,605.0,615.0,615.0,5600
2021-02-01,615.0,615.0,615.0,615.0,615.0,200
2021-02-02,615.0,615.0,615.0,615.0,615.0,0
2021-02-03,610.0,615.0,610.0,615.0,615.0,600
2021-02-08,615.0,615.0,615.0,615.0,615.0,300
2021-02-09,640.0,640.0,610.0,615.0,615.0,2100
2021-02-10,615.0,615.0,610.0,615.0,615.0,30800
2021-02-11,615.0,620.0,615.0,620.0,620.0,1700
2021-02-15,620.0,620.0,620.0,620.0,620.0,500
2021-02-16,620.0,620.0,620.0,620.0,620.0,100
2021-02-17,620.0,630.0,620.0,630.0,630.0,13600
2021-02-18,630.0,650.0,630.0,640.0,640.0,3900
2021-02-19,640.0,640.0,620.0,640.0,640.0,7500
2021-02-22,640.0,650.0,635.0,650.0,650.0,1800
2021-02-23,650.0,700.0,650.0,670.0,670.0,17100
2021-02-24,675.0,715.0,675.0,685.0,685.0,33600
2021-02-25,685.0,700.0,685.0,690.0,690.0,26500
2021-02-26,690.0,690.0,690.0,690.0,690.0,500
2021-03-01,700.0,700.0,670.0,690.0,690.0,2700
2021-03-02,690.0,710.0,690.0,710.0,710.0,2800
2021-03-03,715.0,715.0,680.0,710.0,710.0,21700
2021-03-04,710.0,710.0,705.0,710.0,710.0,6200
2021-03-05,710.0,710.0,710.0,710.0,710.0,31100
2021-03-08,710.0,710.0,710.0,710.0,710.0,21400
2021-03-09,710.0,710.0,710.0,710.0,710.0,100
2021-03-10,670.0,695.0,665.0,695.0,695.0,49300
2021-03-12,695.0,695.0,665.0,695.0,695.0,5300
2021-03-15,695.0,695.0,670.0,695.0,695.0,2900
2021-03-16,705.0,705.0,670.0,670.0,670.0,22500
2021-03-17,640.0,670.0,640.0,670.0,670.0,6500
2021-03-18,670.0,670.0,670.0,670.0,670.0,500
2021-03-19,670.0,700.0,670.0,700.0,700.0,22100
2021-03-22,700.0,700.0,700.0,700.0,700.0,29800
2021-03-23,695.0,700.0,695.0,700.0,700.0,20500
2021-03-24,670.0,700.0,670.0,700.0,700.0,200
2021-03-25,700.0,700.0,700.0,700.0,700.0,7100
2021-03-26,750.0,750.0,730.0,730.0,730.0,2300
2021-03-29,725.0,725.0,725.0,725.0,725.0,800
2021-03-30,720.0,720.0,720.0,720.0,720.0,100
2021-03-31,720.0,750.0,720.0,730.0,730.0,4000
2021-04-01,750.0,750.0,680.0,700.0,700.0,1400
2021-04-05,700.0,700.0,700.0,700.0,700.0,700
2021-04-06,700.0,700.0,670.0,700.0,700.0,35100
2021-04-07,700.0,845.0,700.0,830.0,830.0,10300
2021-04-08,830.0,830.0,775.0,775.0,775.0,42600
2021-04-09,775.0,775.0,725.0,725.0,725.0,34900
2021-04-12,725.0,725.0,690.0,700.0,700.0,85800
2021-04-13,700.0,725.0,690.0,690.0,690.0,27000
2021-04-14,700.0,700.0,690.0,690.0,690.0,19500
2021-04-15,700.0,725.0,690.0,690.0,690.0,2000
