Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,294.0,302.0,284.0,286.0,286.0,446727300
2021-12-02,282.0,304.0,278.0,296.0,296.0,536827300
2021-12-03,298.0,300.0,294.0,296.0,296.0,155465500
2021-12-06,296.0,308.0,290.0,304.0,304.0,441552500
2021-12-07,306.0,310.0,298.0,300.0,300.0,415801300
2021-12-08,302.0,306.0,296.0,298.0,298.0,266018300
2021-12-09,298.0,312.0,296.0,312.0,312.0,411440400
2021-12-10,312.0,316.0,306.0,306.0,306.0,236006100
2021-12-13,306.0,316.0,306.0,310.0,310.0,258943000
2021-12-14,310.0,312.0,300.0,304.0,304.0,220441900
2021-12-15,304.0,308.0,302.0,302.0,302.0,98087900
2021-12-16,304.0,306.0,298.0,302.0,302.0,186824900
2021-12-17,302.0,304.0,298.0,298.0,298.0,171277600
2021-12-20,300.0,300.0,288.0,292.0,292.0,225682500
2021-12-21,292.0,298.0,292.0,292.0,292.0,97393100
2021-12-22,292.0,298.0,286.0,288.0,288.0,144843100
2021-12-23,288.0,292.0,284.0,288.0,288.0,80133900
2021-12-24,288.0,290.0,286.0,290.0,290.0,61568700
2021-12-27,290.0,290.0,286.0,286.0,286.0,77126600
2021-12-28,286.0,296.0,280.0,282.0,282.0,246611500
2021-12-29,284.0,286.0,270.0,272.0,272.0,268338800
2021-12-30,272.0,276.0,268.0,270.0,270.0,147596500
2022-01-03,270.0,276.0,268.0,274.0,274.0,122348900
2022-01-04,274.0,292.0,274.0,282.0,282.0,209403800
2022-01-05,286.0,286.0,276.0,276.0,276.0,100668900
2022-01-06,276.0,278.0,272.0,274.0,274.0,83373300
2022-01-07,274.0,276.0,268.0,272.0,272.0,124666700
