Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,102.0,102.0,98.0,101.0,101.0,8441900
2021-01-05,101.0,101.0,98.0,99.0,99.0,8020600
2021-01-06,99.0,102.0,97.0,97.0,97.0,11902700
2021-01-07,97.0,102.0,97.0,102.0,102.0,14395800
2021-01-08,102.0,104.0,98.0,99.0,99.0,11223900
2021-01-11,100.0,102.0,94.0,96.0,96.0,12393300
2021-01-12,96.0,98.0,95.0,97.0,97.0,13592100
2021-01-13,97.0,99.0,95.0,97.0,97.0,12489400
2021-01-14,97.0,100.0,94.0,99.0,99.0,20126200
2021-01-15,99.0,100.0,95.0,95.0,95.0,12562700
2021-01-18,96.0,98.0,92.0,98.0,98.0,13469900
2021-01-19,98.0,98.0,93.0,93.0,93.0,12952100
2021-01-20,94.0,95.0,90.0,91.0,91.0,9880100
2021-01-21,91.0,97.0,90.0,92.0,92.0,8188200
2021-01-22,92.0,94.0,87.0,93.0,93.0,8925900
2021-01-25,93.0,93.0,87.0,87.0,87.0,13715500
2021-01-26,87.0,96.0,81.0,96.0,96.0,15039700
2021-01-27,96.0,97.0,90.0,90.0,90.0,10311800
2021-01-28,88.0,89.0,84.0,84.0,84.0,1668400
2021-01-29,81.0,88.0,81.0,86.0,86.0,620100
2021-02-01,86.0,90.0,83.0,85.0,85.0,778500
2021-02-02,85.0,87.0,84.0,85.0,85.0,431100
2021-02-03,86.0,88.0,83.0,85.0,85.0,431700
2021-02-04,85.0,87.0,84.0,86.0,86.0,600600
2021-02-05,86.0,88.0,85.0,85.0,85.0,255500
2021-02-08,86.0,88.0,84.0,86.0,86.0,119700
2021-02-09,86.0,89.0,85.0,85.0,85.0,164600
2021-02-10,85.0,87.0,84.0,85.0,85.0,284400
2021-02-11,85.0,88.0,85.0,87.0,87.0,112000
2021-02-15,87.0,88.0,84.0,85.0,85.0,354500
2021-02-16,84.0,87.0,84.0,86.0,86.0,100800
2021-02-17,86.0,87.0,83.0,84.0,84.0,290500
2021-02-18,85.0,86.0,83.0,84.0,84.0,134400
2021-02-19,85.0,85.0,80.0,83.0,83.0,582100
2021-02-22,86.0,90.0,81.0,82.0,82.0,241600
2021-02-23,82.0,103.0,81.0,86.0,86.0,3866600
2021-02-24,86.0,98.0,85.0,86.0,86.0,1620000
2021-02-25,86.0,94.0,82.0,84.0,84.0,5668300
2021-02-26,84.0,90.0,84.0,87.0,87.0,3369400
2021-03-01,87.0,91.0,83.0,86.0,86.0,1995600
2021-03-02,86.0,87.0,82.0,83.0,83.0,1803800
