Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,92.0,92.0,92.0,92.0,92.0,10876800
2021-01-05,86.0,86.0,86.0,86.0,86.0,10723100
2021-01-06,80.0,80.0,80.0,80.0,80.0,8498600
2021-01-07,75.0,75.0,75.0,75.0,75.0,10266700
2021-01-08,70.0,70.0,70.0,70.0,70.0,37763600
2021-01-11,66.0,94.0,66.0,94.0,94.0,8786185800
2021-01-12,100.0,125.0,99.0,121.0,121.0,5863028400
2021-01-13,125.0,126.0,113.0,115.0,115.0,1927186200
2021-01-14,116.0,134.0,115.0,119.0,119.0,1921501800
2021-01-15,121.0,126.0,115.0,119.0,119.0,401552100
2021-01-18,120.0,126.0,115.0,117.0,117.0,693726600
2021-01-19,118.0,120.0,109.0,109.0,109.0,790141200
2021-01-20,107.0,107.0,102.0,102.0,102.0,590576000
2021-01-21,102.0,103.0,95.0,95.0,95.0,449492700
2021-01-22,95.0,97.0,89.0,89.0,89.0,403162100
2021-01-25,89.0,89.0,83.0,83.0,83.0,265293900
2021-01-26,82.0,82.0,78.0,78.0,78.0,263408300
2021-01-27,73.0,94.0,73.0,84.0,84.0,977509100
2021-01-28,84.0,89.0,79.0,79.0,79.0,488568200
2021-01-29,77.0,79.0,74.0,74.0,74.0,161129700
2021-02-01,70.0,78.0,69.0,77.0,77.0,387465400
2021-02-02,77.0,83.0,74.0,74.0,74.0,278953800
2021-02-03,70.0,78.0,70.0,74.0,74.0,139066000
2021-02-04,74.0,79.0,73.0,74.0,74.0,117542700
2021-02-05,74.0,80.0,73.0,77.0,77.0,187973800
2021-02-08,80.0,92.0,77.0,88.0,88.0,796985300
2021-02-09,89.0,93.0,82.0,84.0,84.0,510050000
2021-02-10,81.0,86.0,81.0,84.0,84.0,153042100
2021-02-11,84.0,86.0,83.0,83.0,83.0,59549800
2021-02-15,84.0,88.0,83.0,84.0,84.0,168730600
2021-02-16,84.0,87.0,83.0,84.0,84.0,178420000
2021-02-17,85.0,96.0,83.0,88.0,88.0,1030089700
2021-02-18,87.0,92.0,87.0,87.0,87.0,257130000
2021-02-19,88.0,88.0,85.0,86.0,86.0,151400700
2021-02-22,87.0,88.0,80.0,83.0,83.0,475840000
2021-02-23,83.0,91.0,82.0,86.0,86.0,689701500
2021-02-24,87.0,92.0,85.0,92.0,92.0,699396800
2021-02-25,93.0,106.0,92.0,101.0,101.0,1282749200
2021-02-26,99.0,102.0,94.0,96.0,96.0,849064100
2021-03-01,96.0,101.0,95.0,96.0,96.0,388629600
2021-03-02,97.0,100.0,94.0,95.0,95.0,274907700
2021-03-03,95.0,123.0,94.0,114.0,114.0,3664617400
2021-03-04,115.0,124.0,111.0,111.0,111.0,2307404000
2021-03-05,112.0,116.0,107.0,112.0,112.0,605719600
2021-03-08,111.0,116.0,109.0,110.0,110.0,425199700
2021-03-09,111.0,113.0,103.0,106.0,106.0,395672800
2021-03-10,106.0,108.0,99.0,99.0,99.0,401782700
2021-03-12,99.0,104.0,97.0,99.0,99.0,304463000
2021-03-15,102.0,103.0,99.0,100.0,100.0,121999400
2021-03-16,99.0,103.0,97.0,99.0,99.0,143629800
2021-03-17,100.0,100.0,94.0,95.0,95.0,205978600
2021-03-18,95.0,97.0,92.0,93.0,93.0,152012500
2021-03-19,94.0,94.0,88.0,93.0,93.0,284846500
2021-03-22,95.0,95.0,87.0,87.0,87.0,281775300
2021-03-23,89.0,89.0,84.0,84.0,84.0,102243800
2021-03-24,84.0,92.0,81.0,87.0,87.0,247256100
2021-03-25,88.0,89.0,82.0,85.0,85.0,117014500
2021-03-26,85.0,88.0,84.0,85.0,85.0,115583700
2021-03-29,86.0,86.0,83.0,84.0,84.0,88316900
2021-03-30,84.0,85.0,81.0,83.0,83.0,105893100
2021-03-31,83.0,84.0,80.0,81.0,81.0,97975500
2021-04-01,82.0,83.0,79.0,81.0,81.0,65827700
2021-04-05,81.0,85.0,80.0,83.0,83.0,106691500
2021-04-06,82.0,84.0,80.0,81.0,81.0,102404500
2021-04-07,81.0,86.0,80.0,85.0,85.0,227661800
2021-04-08,85.0,89.0,84.0,86.0,86.0,243900200
2021-04-09,87.0,87.0,84.0,85.0,85.0,92140600
2021-04-12,85.0,89.0,83.0,85.0,85.0,156834500
2021-04-13,85.0,86.0,84.0,84.0,84.0,69219800
2021-04-14,84.0,86.0,80.0,83.0,83.0,190470500
2021-04-15,83.0,84.0,80.0,81.0,81.0,114629500
2021-04-16,81.0,83.0,81.0,82.0,82.0,56418000
2021-04-19,82.0,83.0,80.0,81.0,81.0,56241600
2021-04-20,82.0,82.0,80.0,80.0,80.0,49927600
2021-04-21,80.0,81.0,78.0,80.0,80.0,67869200
2021-04-22,81.0,81.0,78.0,79.0,79.0,57933400
2021-04-23,79.0,79.0,77.0,79.0,79.0,78257800
2021-04-26,79.0,82.0,79.0,79.0,79.0,55278400
2021-04-27,82.0,84.0,79.0,82.0,82.0,180228700
2021-04-28,82.0,83.0,81.0,82.0,82.0,61126900
2021-04-29,82.0,82.0,81.0,81.0,81.0,56009100
2021-04-30,81.0,81.0,79.0,80.0,80.0,60339000
2021-05-03,81.0,81.0,77.0,79.0,79.0,114502800
2021-05-04,80.0,82.0,79.0,81.0,81.0,152701600
2021-05-05,81.0,81.0,79.0,79.0,79.0,79847600
2021-05-06,80.0,82.0,79.0,81.0,81.0,170457600
2021-05-07,82.0,92.0,81.0,87.0,87.0,953404400
2021-05-10,88.0,89.0,85.0,85.0,85.0,174937100
2021-05-11,85.0,85.0,81.0,83.0,83.0,111763200
2021-05-17,84.0,84.0,78.0,79.0,79.0,142041200
2021-05-18,79.0,83.0,79.0,82.0,82.0,98902100
2021-05-19,81.0,85.0,80.0,80.0,80.0,119553500
2021-05-20,80.0,86.0,80.0,84.0,84.0,195802800
2021-05-21,84.0,88.0,82.0,84.0,84.0,222660600
2021-05-24,84.0,85.0,82.0,83.0,83.0,109425100
2021-05-25,84.0,84.0,81.0,83.0,83.0,84930800
2021-05-27,83.0,85.0,82.0,85.0,85.0,134501300
2021-05-28,85.0,86.0,83.0,84.0,84.0,120461600
2021-05-31,85.0,102.0,84.0,97.0,97.0,1719203400
2021-06-02,99.0,99.0,91.0,91.0,91.0,674289500
2021-06-03,90.0,96.0,89.0,95.0,95.0,534902800
2021-06-04,96.0,99.0,93.0,95.0,95.0,485872300
2021-06-07,97.0,97.0,93.0,94.0,94.0,189868700
2021-06-08,94.0,94.0,89.0,90.0,90.0,248972500
2021-06-09,91.0,100.0,90.0,97.0,97.0,612326400
2021-06-10,97.0,113.0,95.0,102.0,102.0,2234605300
2021-06-11,103.0,105.0,98.0,99.0,99.0,401096100
2021-06-14,99.0,103.0,96.0,97.0,97.0,325232600
2021-06-15,98.0,98.0,92.0,93.0,93.0,238751200
2021-06-16,94.0,97.0,92.0,94.0,94.0,309593500
