Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,580.0,620.0,560.0,615.0,598.154296875,130041400
2021-01-05,600.0,650.0,595.0,630.0,612.7433471679688,125158200
2021-01-06,635.0,640.0,605.0,620.0,603.017333984375,92786700
2021-01-07,620.0,665.0,620.0,645.0,627.33251953125,88532300
2021-01-08,655.0,655.0,625.0,630.0,612.7433471679688,29985700
2021-01-11,640.0,640.0,610.0,620.0,603.017333984375,32744800
2021-01-12,670.0,670.0,600.0,610.0,593.2911987304688,32125300
2021-01-13,630.0,630.0,585.0,600.0,583.5651245117188,37465100
2021-01-14,600.0,610.0,580.0,585.0,568.9760131835938,43259700
2021-01-15,580.0,660.0,580.0,655.0,637.05859375,190975500
2021-01-18,660.0,665.0,610.0,620.0,603.017333984375,55811200
2021-01-19,620.0,675.0,600.0,645.0,627.33251953125,90857800
2021-01-20,635.0,715.0,635.0,700.0,680.8259887695312,148661100
2021-01-21,710.0,795.0,710.0,765.0,744.0455322265625,221194700
2021-01-22,760.0,780.0,725.0,760.0,739.1824951171875,163169400
2021-01-25,760.0,765.0,710.0,755.0,734.3194580078125,99287800
2021-01-26,755.0,760.0,705.0,705.0,685.6890258789062,67026700
2021-01-27,665.0,700.0,660.0,695.0,675.9629516601562,53354300
2021-01-28,680.0,690.0,650.0,650.0,632.195556640625,55295200
2021-01-29,655.0,680.0,630.0,675.0,656.5108032226562,130085000
2021-02-01,675.0,710.0,650.0,700.0,680.8259887695312,60638200
2021-02-02,700.0,715.0,675.0,680.0,661.373779296875,46596700
2021-02-03,695.0,705.0,675.0,680.0,661.373779296875,31501400
2021-02-04,685.0,685.0,660.0,670.0,651.6477661132812,46705600
2021-02-05,675.0,685.0,665.0,685.0,666.23681640625,16049000
2021-02-08,685.0,710.0,685.0,685.0,666.23681640625,34158700
2021-02-09,685.0,700.0,675.0,680.0,661.373779296875,29286400
2021-02-10,730.0,730.0,675.0,690.0,671.0999145507812,17515800
2021-02-11,695.0,695.0,665.0,675.0,656.5108032226562,33450300
2021-02-15,675.0,730.0,675.0,730.0,710.0042724609375,73165800
2021-02-16,720.0,735.0,705.0,720.0,700.2781372070312,52365700
2021-02-17,725.0,765.0,710.0,735.0,714.8672485351562,115666900
2021-02-18,735.0,750.0,715.0,725.0,705.1412353515625,22484700
2021-02-19,725.0,730.0,705.0,710.0,690.5520629882812,35605400
2021-02-22,715.0,740.0,710.0,710.0,690.5520629882812,58387100
2021-02-23,725.0,785.0,715.0,725.0,705.1412353515625,173707300
2021-02-24,740.0,740.0,700.0,710.0,690.5520629882812,77637000
2021-02-25,700.0,730.0,700.0,705.0,685.6890258789062,58643500
2021-02-26,680.0,705.0,670.0,685.0,666.23681640625,76860500
2021-03-01,690.0,700.0,680.0,690.0,671.0999145507812,29956100
2021-03-02,700.0,700.0,680.0,685.0,666.23681640625,22622100
2021-03-03,685.0,695.0,675.0,680.0,661.373779296875,22184400
2021-03-04,680.0,685.0,655.0,680.0,661.373779296875,29095200
2021-03-05,675.0,680.0,655.0,665.0,646.78466796875,36163000
2021-03-08,680.0,705.0,660.0,685.0,666.23681640625,70428600
2021-03-09,680.0,715.0,680.0,705.0,685.6890258789062,74987600
2021-03-10,715.0,810.0,705.0,780.0,758.6347045898438,381536200
2021-03-12,790.0,825.0,770.0,815.0,792.6759643554688,175415000
2021-03-15,815.0,830.0,775.0,785.0,763.4977416992188,98435400
2021-03-16,835.0,835.0,765.0,770.0,748.9085693359375,107837800
2021-03-17,770.0,785.0,750.0,770.0,748.9085693359375,45940400
2021-03-18,770.0,795.0,765.0,775.0,753.7716064453125,68305700
2021-03-19,775.0,800.0,765.0,770.0,748.9085693359375,78584100
2021-03-22,775.0,775.0,740.0,745.0,724.5933837890625,65646000
2021-03-23,750.0,755.0,695.0,710.0,690.5520629882812,180577200
2021-03-24,710.0,720.0,690.0,705.0,685.6890258789062,60856900
2021-03-25,710.0,710.0,670.0,685.0,666.23681640625,68355500
2021-03-26,695.0,705.0,680.0,690.0,671.0999145507812,50169100
2021-03-29,690.0,700.0,680.0,680.0,661.373779296875,24786500
2021-03-30,680.0,690.0,655.0,655.0,637.05859375,51976600
2021-03-31,660.0,665.0,630.0,655.0,637.05859375,43945700
2021-04-01,655.0,680.0,650.0,680.0,661.373779296875,40949200
2021-04-05,690.0,690.0,670.0,675.0,656.5108032226562,32669300
2021-04-06,675.0,685.0,670.0,675.0,656.5108032226562,12330800
2021-04-07,680.0,705.0,670.0,700.0,680.8259887695312,44528400
2021-04-08,710.0,725.0,705.0,715.0,695.4151000976562,59380100
2021-04-09,720.0,725.0,695.0,700.0,680.8259887695312,44288000
2021-04-12,705.0,710.0,680.0,685.0,666.23681640625,24210800
2021-04-13,685.0,720.0,675.0,720.0,700.2781372070312,36133100
2021-04-14,725.0,750.0,720.0,740.0,719.7302856445312,122921200
2021-04-15,745.0,815.0,740.0,770.0,748.9085693359375,343890500
2021-04-16,770.0,795.0,760.0,770.0,748.9085693359375,147246500
2021-04-19,750.0,765.0,720.0,720.0,700.2781372070312,197478400
2021-04-20,770.0,770.0,700.0,715.0,695.4151000976562,42840800
2021-04-21,705.0,720.0,700.0,705.0,685.6890258789062,31226700
2021-04-22,710.0,720.0,685.0,695.0,675.9629516601562,40984000
2021-04-23,695.0,705.0,685.0,690.0,671.0999145507812,25236000
2021-04-26,700.0,715.0,690.0,690.0,671.0999145507812,30229300
2021-04-27,695.0,700.0,680.0,690.0,671.0999145507812,25511900
2021-04-28,695.0,700.0,680.0,685.0,666.23681640625,28390700
2021-04-29,690.0,695.0,685.0,685.0,666.23681640625,14110300
2021-04-30,690.0,695.0,675.0,675.0,656.5108032226562,31287500
2021-05-03,700.0,700.0,660.0,665.0,646.78466796875,24258500
2021-05-04,665.0,665.0,650.0,660.0,641.921630859375,38632700
2021-05-05,660.0,680.0,650.0,675.0,656.5108032226562,40933700
2021-05-06,710.0,710.0,655.0,660.0,641.921630859375,21378100
2021-05-07,665.0,670.0,655.0,655.0,637.05859375,14525000
2021-05-10,655.0,670.0,650.0,665.0,646.78466796875,17078900
2021-05-11,665.0,670.0,650.0,655.0,637.05859375,25748000
2021-05-17,660.0,665.0,610.0,610.0,593.2911987304688,67941100
2021-05-18,610.0,630.0,600.0,630.0,612.7433471679688,33509100
2021-05-19,630.0,650.0,615.0,635.0,617.6064453125,33037000
2021-05-20,635.0,655.0,635.0,640.0,622.469482421875,24654900
2021-05-21,645.0,650.0,625.0,640.0,622.469482421875,23239200
2021-05-24,645.0,670.0,640.0,670.0,651.6477661132812,60714700
2021-05-25,680.0,730.0,675.0,720.0,700.2781372070312,304457700
2021-05-27,720.0,745.0,705.0,735.0,714.8672485351562,113126400
2021-05-28,745.0,760.0,735.0,755.0,734.3194580078125,116261900
2021-05-31,760.0,835.0,755.0,815.0,792.6759643554688,336635700
2021-06-02,815.0,825.0,795.0,800.0,778.0868530273438,74343000
2021-06-03,800.0,855.0,795.0,830.0,807.2650756835938,198320900
2021-06-04,830.0,850.0,820.0,845.0,821.8541870117188,120999500
2021-06-07,840.0,845.0,830.0,830.0,824.8355102539062,38620900
2021-06-08,865.0,865.0,805.0,825.0,819.8666381835938,46038400
2021-06-09,825.0,845.0,810.0,840.0,834.7733154296875,53170000
2021-06-10,850.0,890.0,840.0,865.0,859.6177368164062,234096300
2021-06-11,870.0,885.0,840.0,855.0,849.6799926757812,104909500
2021-06-14,860.0,870.0,835.0,840.0,834.7733154296875,40309400
2021-06-15,840.0,875.0,825.0,875.0,869.5555419921875,68672700
2021-06-16,870.0,890.0,850.0,855.0,849.6799926757812,62641400
2021-06-17,865.0,895.0,845.0,895.0,889.4310913085938,96556500
2021-06-18,905.0,945.0,875.0,925.0,919.2444458007812,188843700
2021-06-21,940.0,945.0,900.0,940.0,934.1510620117188,139116000
2021-06-22,940.0,970.0,925.0,925.0,919.2444458007812,116755700
2021-06-23,925.0,1015.0,920.0,1000.0,993.7777709960938,201600800
2021-06-24,1010.0,1010.0,950.0,960.0,954.026611328125,97139700
2021-06-25,975.0,990.0,935.0,945.0,939.1199951171875,76760400
2021-06-28,960.0,965.0,915.0,920.0,914.2755126953125,93103700
2021-06-29,915.0,930.0,885.0,895.0,889.4310913085938,103955600
2021-06-30,895.0,930.0,885.0,890.0,884.4622192382812,89095900
2021-07-01,895.0,920.0,880.0,890.0,884.4622192382812,65511200
2021-07-02,900.0,900.0,850.0,865.0,859.6177368164062,81495200
2021-07-05,865.0,895.0,850.0,860.0,854.6488647460938,117030900
2021-07-06,855.0,905.0,855.0,895.0,889.4310913085938,159347600
2021-07-07,900.0,905.0,855.0,880.0,874.5244140625,151471000
2021-07-08,885.0,920.0,870.0,875.0,869.5555419921875,100889500
2021-07-09,875.0,885.0,860.0,865.0,859.6177368164062,65241700
2021-07-12,880.0,880.0,825.0,825.0,819.8666381835938,134199500
2021-07-13,825.0,845.0,800.0,805.0,799.9910888671875,76302100
2021-07-14,805.0,845.0,790.0,820.0,814.8977661132812,62753300
2021-07-15,825.0,845.0,820.0,830.0,824.8355102539062,42246100
2021-07-16,830.0,835.0,810.0,825.0,819.8666381835938,32711800
2021-07-19,825.0,825.0,805.0,805.0,799.9910888671875,33343700
2021-07-21,855.0,855.0,805.0,805.0,799.9910888671875,42430800
2021-07-22,820.0,860.0,805.0,845.0,839.7421875,183472000
2021-07-23,895.0,895.0,830.0,850.0,844.7110595703125,65916500
2021-07-26,900.0,900.0,850.0,860.0,854.6488647460938,83811500
2021-07-27,870.0,930.0,860.0,930.0,924.2133178710938,153099200
2021-07-28,945.0,995.0,910.0,975.0,968.9332885742188,244530000
2021-07-29,975.0,985.0,960.0,965.0,958.9955444335938,108390400
2021-07-30,970.0,980.0,925.0,935.0,929.1821899414062,93427800
2021-08-02,940.0,985.0,925.0,940.0,934.1510620117188,84487600
2021-08-03,940.0,960.0,940.0,955.0,949.0577392578125,69539800
2021-08-04,965.0,1075.0,940.0,1025.0,1018.6221923828125,282258500
2021-08-05,1030.0,1045.0,965.0,1020.0,1013.6533203125,205261000
2021-08-06,1020.0,1200.0,1005.0,1185.0,1177.6265869140625,256034900
2021-08-09,1185.0,1230.0,1130.0,1140.0,1132.9066162109375,167400600
2021-08-10,1190.0,1195.0,1070.0,1140.0,1132.9066162109375,160642100
2021-08-12,1140.0,1170.0,1100.0,1100.0,1093.155517578125,70078600
2021-08-13,1100.0,1130.0,1070.0,1090.0,1083.2177734375,54824800
2021-08-16,1075.0,1120.0,1050.0,1050.0,1043.4666748046875,64376300
2021-08-18,1100.0,1100.0,980.0,980.0,973.9022216796875,135307700
2021-08-19,970.0,1005.0,915.0,945.0,939.1199951171875,140223600
2021-08-20,995.0,995.0,935.0,970.0,963.9644165039062,112715200
2021-08-23,1020.0,1070.0,980.0,1065.0,1058.373291015625,142813100
2021-08-24,1115.0,1115.0,1035.0,1055.0,1048.435546875,73868000
2021-08-25,1020.0,1085.0,1020.0,1060.0,1053.4044189453125,54386000
2021-08-26,1015.0,1080.0,1015.0,1050.0,1043.4666748046875,107499500
2021-08-27,1050.0,1090.0,1035.0,1070.0,1063.3421630859375,75278800
2021-08-30,1120.0,1120.0,1075.0,1090.0,1083.2177734375,75273000
2021-08-31,1100.0,1150.0,1080.0,1120.0,1113.0311279296875,93793500
2021-09-01,1170.0,1170.0,1105.0,1115.0,1108.0621337890625,39034300
2021-09-02,1150.0,1150.0,1070.0,1075.0,1068.31103515625,61691600
2021-09-03,1125.0,1125.0,1065.0,1100.0,1093.155517578125,37849700
2021-09-06,1150.0,1150.0,1085.0,1100.0,1093.155517578125,34022900
2021-09-07,1120.0,1140.0,1075.0,1120.0,1113.0311279296875,54946200
2021-09-08,1145.0,1145.0,1070.0,1070.0,1063.3421630859375,61070900
2021-09-09,1070.0,1095.0,1000.0,1035.0,1028.5599365234375,122510400
2021-09-10,1035.0,1045.0,1005.0,1025.0,1018.6221923828125,58432000
2021-09-13,1075.0,1075.0,1020.0,1070.0,1063.3421630859375,59826400
2021-09-14,1120.0,1120.0,1070.0,1080.0,1073.280029296875,64050500
2021-09-15,1100.0,1115.0,1075.0,1100.0,1093.155517578125,66843900
2021-09-16,1115.0,1120.0,1075.0,1100.0,1093.155517578125,122111800
2021-09-17,1150.0,1150.0,1065.0,1085.0,1078.2489013671875,313255900
2021-09-20,1120.0,1120.0,1030.0,1030.0,1023.591064453125,59607300
2021-09-21,1030.0,1050.0,1020.0,1035.0,1028.5599365234375,40259300
2021-09-22,1040.0,1050.0,1030.0,1030.0,1023.591064453125,32257200
2021-09-23,1035.0,1055.0,1025.0,1030.0,1023.591064453125,38737800
2021-09-24,1040.0,1065.0,1015.0,1065.0,1058.373291015625,84386400
2021-09-27,1070.0,1075.0,1025.0,1025.0,1018.6221923828125,48707900
2021-09-28,1025.0,1055.0,1020.0,1025.0,1018.6221923828125,42219900
2021-09-29,1025.0,1025.0,980.0,1020.0,1013.6533203125,99262500
2021-09-30,1025.0,1025.0,1000.0,1005.0,998.7466430664062,31949800
2021-10-01,1005.0,1005.0,945.0,965.0,958.9955444335938,98765500
2021-10-04,970.0,1005.0,945.0,1005.0,998.7466430664062,74074700
2021-10-05,1005.0,1005.0,965.0,970.0,963.9644165039062,25748600
2021-10-06,970.0,980.0,950.0,955.0,949.0577392578125,35866600
2021-10-07,955.0,975.0,955.0,970.0,963.9644165039062,14944700
2021-10-08,970.0,1015.0,970.0,1005.0,998.7466430664062,58137200
2021-10-11,1010.0,1015.0,965.0,970.0,963.9644165039062,35129400
2021-10-12,975.0,985.0,955.0,955.0,949.0577392578125,30908800
2021-10-13,970.0,1010.0,955.0,955.0,949.0577392578125,102308800
2021-10-14,955.0,985.0,955.0,980.0,973.9022216796875,33735400
2021-10-15,980.0,990.0,960.0,970.0,963.9644165039062,34187300
2021-10-18,960.0,975.0,940.0,955.0,949.0577392578125,53544600
2021-10-19,955.0,980.0,945.0,970.0,963.9644165039062,25986700
2021-10-21,970.0,985.0,950.0,985.0,978.87109375,50880100
2021-10-22,975.0,980.0,960.0,970.0,963.9644165039062,12813200
2021-10-25,980.0,1005.0,975.0,1005.0,998.7466430664062,95172500
2021-10-26,1005.0,1020.0,990.0,1000.0,993.7777709960938,37377300
2021-10-27,1000.0,1000.0,980.0,985.0,978.87109375,25319200
2021-10-28,980.0,1000.0,975.0,995.0,988.808837890625,25704500
2021-10-29,990.0,1060.0,990.0,1050.0,1043.4666748046875,97225500
2021-11-01,1050.0,1065.0,1035.0,1050.0,1043.4666748046875,57420300
2021-11-02,1050.0,1055.0,1015.0,1020.0,1013.6533203125,37514300
2021-11-03,1020.0,1040.0,1015.0,1030.0,1023.591064453125,18824500
