Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,74.0,78.0,71.0,76.0,76.0,25605200
2021-01-05,76.0,77.0,74.0,75.0,75.0,12703700
2021-01-06,75.0,77.0,74.0,76.0,76.0,7943100
2021-01-07,77.0,85.0,75.0,79.0,79.0,67381200
2021-01-08,80.0,81.0,76.0,77.0,77.0,10190800
2021-01-11,77.0,81.0,76.0,77.0,77.0,8917000
2021-01-12,77.0,82.0,76.0,79.0,79.0,42229800
2021-01-13,79.0,80.0,77.0,79.0,79.0,12089900
2021-01-14,79.0,83.0,77.0,80.0,80.0,23067800
2021-01-15,81.0,81.0,77.0,78.0,78.0,12792600
2021-01-18,78.0,79.0,74.0,75.0,75.0,9656600
2021-01-19,76.0,76.0,71.0,72.0,72.0,14827800
2021-01-20,73.0,81.0,71.0,73.0,73.0,60776100
2021-01-21,74.0,78.0,73.0,75.0,75.0,15524900
2021-01-22,75.0,84.0,72.0,75.0,75.0,123281700
2021-01-25,76.0,77.0,72.0,73.0,73.0,18113700
2021-01-26,72.0,74.0,70.0,72.0,72.0,8371200
2021-01-27,72.0,72.0,68.0,71.0,71.0,11341700
2021-01-28,71.0,73.0,68.0,69.0,69.0,7195700
2021-01-29,70.0,70.0,67.0,69.0,69.0,4390700
2021-02-01,68.0,70.0,65.0,70.0,70.0,6839200
2021-02-02,70.0,71.0,68.0,68.0,68.0,1745400
2021-02-03,68.0,72.0,68.0,71.0,71.0,3116500
2021-02-04,71.0,72.0,69.0,69.0,69.0,2270600
2021-02-05,70.0,71.0,70.0,70.0,70.0,665000
2021-02-08,70.0,74.0,70.0,73.0,73.0,6195300
2021-02-09,74.0,76.0,71.0,73.0,73.0,7344800
2021-02-10,73.0,73.0,71.0,73.0,73.0,1584300
2021-02-11,73.0,74.0,71.0,72.0,72.0,3633700
2021-02-15,72.0,75.0,72.0,75.0,75.0,8162000
2021-02-16,75.0,81.0,73.0,80.0,80.0,36383600
2021-02-17,83.0,108.0,82.0,108.0,108.0,142648100
2021-02-18,121.0,143.0,101.0,101.0,101.0,459864100
2021-02-19,94.0,107.0,94.0,95.0,95.0,180278600
2021-02-22,89.0,113.0,89.0,108.0,108.0,202525200
2021-02-23,110.0,121.0,109.0,112.0,112.0,160236700
2021-02-24,113.0,138.0,106.0,130.0,130.0,446001700
2021-02-25,132.0,175.0,131.0,175.0,175.0,588144500
2021-02-26,185.0,228.0,163.0,197.0,197.0,981027900
2021-03-01,197.0,197.0,197.0,197.0,197.0,0
2021-03-02,212.0,264.0,212.0,264.0,264.0,770694200
2021-03-03,264.0,264.0,264.0,264.0,264.0,0
2021-03-10,264.0,264.0,246.0,246.0,246.0,41824400
2021-03-12,230.0,230.0,230.0,230.0,230.0,8297000
2021-03-15,214.0,214.0,214.0,214.0,214.0,9177800
2021-03-16,200.0,218.0,200.0,200.0,200.0,276627500
2021-03-17,186.0,186.0,186.0,186.0,186.0,5071600
2021-03-18,173.0,192.0,173.0,178.0,178.0,455834100
2021-03-19,168.0,180.0,166.0,166.0,166.0,69263700
2021-03-22,156.0,166.0,155.0,155.0,155.0,128626000
2021-03-23,155.0,183.0,145.0,183.0,183.0,650261000
2021-03-24,184.0,186.0,171.0,171.0,171.0,314424300
2021-03-25,160.0,173.0,160.0,160.0,160.0,72215700
2021-03-26,150.0,162.0,150.0,156.0,156.0,106180400
2021-03-29,156.0,157.0,146.0,146.0,146.0,103180900
2021-03-30,146.0,152.0,136.0,136.0,136.0,158283400
2021-03-31,131.0,133.0,127.0,127.0,127.0,64875200
2021-04-01,126.0,127.0,119.0,119.0,119.0,50106700
2021-04-05,111.0,133.0,111.0,115.0,115.0,354515000
2021-04-06,108.0,125.0,108.0,118.0,118.0,160082400
2021-04-07,113.0,142.0,113.0,137.0,137.0,338041600
2021-04-08,138.0,145.0,128.0,133.0,133.0,350429100
2021-04-09,134.0,139.0,126.0,127.0,127.0,89019300
2021-04-12,123.0,133.0,123.0,125.0,125.0,50332400
2021-04-13,125.0,130.0,120.0,121.0,121.0,24742300
2021-04-14,121.0,126.0,119.0,121.0,121.0,20467300
2021-04-15,121.0,123.0,115.0,116.0,116.0,71104700
2021-04-16,116.0,121.0,115.0,116.0,116.0,50048000
2021-04-19,115.0,117.0,112.0,115.0,115.0,23539100
2021-04-20,115.0,133.0,112.0,128.0,128.0,193176600
2021-04-21,128.0,129.0,120.0,120.0,120.0,80342100
2021-04-22,118.0,124.0,115.0,117.0,117.0,58494500
2021-04-23,110.0,122.0,110.0,115.0,115.0,34830700
2021-04-26,113.0,119.0,113.0,116.0,116.0,12397900
2021-04-27,116.0,118.0,111.0,112.0,112.0,25561700
2021-04-28,112.0,117.0,112.0,113.0,113.0,22541700
2021-04-29,114.0,128.0,113.0,126.0,126.0,181790300
2021-04-30,127.0,127.0,118.0,118.0,118.0,95240600
2021-05-03,116.0,120.0,114.0,115.0,115.0,29414200
2021-05-04,111.0,128.0,111.0,118.0,118.0,193580600
2021-05-05,119.0,121.0,116.0,116.0,116.0,27913500
2021-05-06,114.0,120.0,114.0,119.0,119.0,20610000
2021-05-07,112.0,120.0,112.0,116.0,116.0,18360700
2021-05-10,112.0,125.0,112.0,120.0,120.0,91487100
2021-05-11,120.0,120.0,114.0,116.0,116.0,45511600
2021-05-17,116.0,117.0,113.0,114.0,114.0,12685600
2021-05-18,114.0,116.0,111.0,114.0,114.0,15917300
2021-05-19,111.0,119.0,108.0,115.0,115.0,46445400
