Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,175.0,182.0,166.0,169.0,169.0,6061600
2021-12-02,169.0,194.0,169.0,189.0,189.0,33245500
2021-12-03,191.0,196.0,185.0,185.0,185.0,16436800
2021-12-06,187.0,187.0,175.0,178.0,178.0,5529900
2021-12-07,180.0,190.0,179.0,189.0,189.0,15438800
2021-12-08,189.0,193.0,184.0,187.0,187.0,9282800
2021-12-09,178.0,190.0,178.0,180.0,180.0,3785900
2021-12-10,173.0,187.0,173.0,182.0,182.0,3194600
2021-12-13,184.0,186.0,180.0,184.0,184.0,1685700
2021-12-14,186.0,186.0,179.0,179.0,179.0,2461900
2021-12-15,179.0,184.0,179.0,179.0,179.0,1583700
2021-12-16,181.0,189.0,179.0,184.0,184.0,7644500
2021-12-17,184.0,185.0,180.0,182.0,182.0,1283700
2021-12-20,182.0,184.0,179.0,181.0,181.0,1710800
2021-12-21,186.0,186.0,179.0,181.0,181.0,1335600
2021-12-22,186.0,188.0,181.0,182.0,182.0,6254900
2021-12-23,186.0,186.0,181.0,183.0,183.0,1773600
2021-12-24,183.0,216.0,180.0,182.0,182.0,95052900
2021-12-27,185.0,226.0,176.0,226.0,226.0,119196000
2021-12-28,232.0,238.0,212.0,212.0,212.0,63022900
2021-12-29,198.0,264.0,198.0,264.0,264.0,185816400
2021-12-30,268.0,288.0,246.0,246.0,246.0,108182100
2022-01-03,236.0,236.0,230.0,230.0,230.0,1817900
2022-01-04,216.0,284.0,214.0,276.0,276.0,140960000
2022-01-05,280.0,306.0,258.0,258.0,258.0,131026700
2022-01-06,258.0,258.0,240.0,240.0,240.0,14689600
2022-01-07,240.0,270.0,230.0,270.0,270.0,57950000
