Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,50.0,51.0,50.0,51.0,51.0,63599900
2021-01-05,51.0,52.0,50.0,51.0,51.0,122444500
2021-01-06,51.0,51.0,50.0,50.0,50.0,46332700
2021-01-07,50.0,51.0,50.0,50.0,50.0,70696700
2021-01-08,50.0,51.0,50.0,50.0,50.0,102556900
2021-01-11,51.0,51.0,50.0,50.0,50.0,86182600
2021-01-12,50.0,51.0,50.0,50.0,50.0,95923400
2021-01-13,50.0,55.0,50.0,55.0,55.0,575951500
2021-01-14,56.0,56.0,52.0,53.0,53.0,333404100
2021-01-15,53.0,54.0,51.0,51.0,51.0,90705500
2021-01-18,51.0,53.0,50.0,52.0,52.0,122478300
2021-01-19,52.0,53.0,50.0,50.0,50.0,131784400
2021-01-20,50.0,53.0,50.0,52.0,52.0,154785800
2021-01-21,52.0,53.0,50.0,51.0,51.0,74303400
2021-01-22,51.0,52.0,50.0,51.0,51.0,133346900
2021-01-25,51.0,51.0,50.0,50.0,50.0,119456600
2021-01-26,51.0,51.0,50.0,50.0,50.0,10623900
2021-01-27,50.0,50.0,50.0,50.0,50.0,7071700
2021-01-28,50.0,50.0,50.0,50.0,50.0,8377400
2021-01-29,50.0,50.0,50.0,50.0,50.0,19580500
2021-02-01,50.0,50.0,50.0,50.0,50.0,5151100
2021-02-02,50.0,50.0,50.0,50.0,50.0,4271700
2021-02-03,50.0,51.0,50.0,50.0,50.0,92825600
2021-02-04,50.0,50.0,50.0,50.0,50.0,2624400
2021-02-05,50.0,50.0,50.0,50.0,50.0,547200
2021-02-08,50.0,50.0,50.0,50.0,50.0,6291900
2021-02-09,50.0,51.0,50.0,50.0,50.0,1840800
2021-02-10,50.0,50.0,50.0,50.0,50.0,324300
2021-02-11,50.0,50.0,50.0,50.0,50.0,450200
2021-02-15,50.0,50.0,50.0,50.0,50.0,965000
2021-02-16,50.0,50.0,50.0,50.0,50.0,1055300
2021-02-17,50.0,50.0,50.0,50.0,50.0,667600
2021-02-18,50.0,52.0,50.0,50.0,50.0,237982400
2021-02-19,50.0,51.0,50.0,50.0,50.0,50084200
2021-02-22,51.0,51.0,50.0,50.0,50.0,34943100
2021-02-23,50.0,51.0,50.0,50.0,50.0,48140900
2021-02-24,50.0,51.0,50.0,50.0,50.0,64422300
2021-02-25,51.0,51.0,50.0,50.0,50.0,47273000
2021-02-26,50.0,50.0,50.0,50.0,50.0,5909300
2021-03-01,51.0,52.0,50.0,50.0,50.0,181666200
2021-03-02,51.0,53.0,50.0,53.0,53.0,262968700
2021-03-03,53.0,57.0,53.0,54.0,54.0,389690500
2021-03-04,54.0,55.0,51.0,52.0,52.0,125994500
2021-03-05,51.0,52.0,50.0,50.0,50.0,372776500
2021-03-08,50.0,51.0,50.0,50.0,50.0,253823500
2021-03-09,50.0,50.0,50.0,50.0,50.0,104437300
