Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,2990.0,2990.0,2990.0,2990.0,2990.0,400
2021-01-05,2990.0,2990.0,2990.0,2990.0,2990.0,0
2021-01-06,2990.0,2990.0,2990.0,2990.0,2990.0,300
2021-01-14,2990.0,2990.0,2990.0,2990.0,2990.0,100
2021-02-01,3000.0,3000.0,3000.0,3000.0,3000.0,1300
2021-02-02,3000.0,3000.0,3000.0,3000.0,3000.0,0
2021-02-08,3000.0,3000.0,3000.0,3000.0,3000.0,200
2021-02-16,3000.0,3000.0,2790.0,2790.0,2790.0,300
2021-02-17,2790.0,2790.0,2600.0,2600.0,2600.0,400
2021-02-18,2600.0,2600.0,2600.0,2600.0,2600.0,0
2021-03-01,2600.0,2600.0,2600.0,2600.0,2600.0,200
2021-03-02,2600.0,2600.0,2600.0,2600.0,2600.0,300
2021-03-08,2500.0,2500.0,2500.0,2500.0,2500.0,400
2021-03-09,2500.0,2500.0,2500.0,2500.0,2500.0,300
2021-03-10,2500.0,2500.0,2500.0,2500.0,2500.0,0
2021-03-15,2500.0,2550.0,2500.0,2500.0,2500.0,2800
2021-03-16,2500.0,3100.0,2360.0,2960.0,2960.0,5900
2021-03-17,2770.0,3600.0,2770.0,3490.0,3490.0,5300
2021-03-18,3490.0,4350.0,3490.0,3600.0,3600.0,12500
2021-03-19,3610.0,3630.0,3610.0,3630.0,3630.0,600
2021-03-22,3650.0,4520.0,3390.0,4380.0,4380.0,2300
2021-03-23,4390.0,4680.0,4080.0,4680.0,4680.0,6100
2021-03-24,4600.0,4600.0,4500.0,4500.0,4500.0,600
2021-03-25,4500.0,4500.0,4500.0,4500.0,4500.0,0
2021-03-26,4350.0,4700.0,4350.0,4650.0,4650.0,900
2021-03-29,4600.0,4600.0,4600.0,4600.0,4600.0,100
2021-03-30,4600.0,4600.0,4600.0,4600.0,4600.0,0
2021-03-31,4350.0,4350.0,4350.0,4350.0,4350.0,100
2021-04-01,4200.0,4250.0,4050.0,4050.0,4050.0,900
2021-04-05,3980.0,3980.0,3980.0,3980.0,3980.0,100
2021-04-06,3980.0,3980.0,3980.0,3980.0,3980.0,0
2021-04-27,3910.0,4500.0,3910.0,4100.0,4100.0,600
2021-04-28,4100.0,4100.0,4100.0,4100.0,4100.0,0
2021-05-03,4100.0,4490.0,4090.0,4090.0,4090.0,3500
2021-05-04,4090.0,4090.0,4090.0,4090.0,4090.0,0
2021-05-05,4050.0,4050.0,4040.0,4040.0,4040.0,400
2021-05-06,4040.0,4040.0,4040.0,4040.0,4040.0,0
2021-05-10,3990.0,3990.0,3850.0,3850.0,3850.0,600
2021-05-11,3600.0,3600.0,3600.0,3600.0,3600.0,300
2021-05-17,3360.0,3360.0,3360.0,3360.0,3360.0,400
2021-05-18,3140.0,3140.0,3140.0,3140.0,3140.0,700
2021-05-19,2960.0,2960.0,2930.0,2930.0,2930.0,600
2021-05-20,2750.0,2750.0,2730.0,2730.0,2730.0,900
2021-05-21,2730.0,2730.0,2580.0,2580.0,2580.0,500
2021-05-24,2580.0,2580.0,2400.0,2400.0,2400.0,4600
