Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,80.0,84.0,76.0,80.0,80.0,224300
2021-01-05,78.0,81.0,77.0,80.0,80.0,78700
2021-01-06,81.0,81.0,76.0,79.0,79.0,105300
2021-01-07,80.0,82.0,77.0,79.0,79.0,1424600
2021-01-08,79.0,89.0,79.0,88.0,88.0,4517800
2021-01-11,88.0,89.0,82.0,82.0,82.0,685800
2021-01-12,81.0,84.0,77.0,80.0,80.0,1515600
2021-01-13,80.0,80.0,78.0,80.0,80.0,487700
2021-01-14,80.0,85.0,78.0,81.0,81.0,1633800
2021-01-15,82.0,83.0,80.0,83.0,83.0,883000
2021-01-18,84.0,84.0,79.0,80.0,80.0,383500
2021-01-19,78.0,80.0,76.0,80.0,80.0,521300
2021-01-20,76.0,83.0,76.0,76.0,76.0,45600
2021-01-21,83.0,83.0,77.0,77.0,77.0,80000
2021-01-22,77.0,82.0,76.0,80.0,80.0,397100
2021-01-25,80.0,80.0,76.0,80.0,80.0,91100
2021-01-26,80.0,81.0,75.0,80.0,80.0,168000
2021-01-27,76.0,79.0,75.0,75.0,75.0,77900
2021-01-28,75.0,75.0,70.0,70.0,70.0,247100
2021-01-29,70.0,76.0,66.0,74.0,74.0,239900
2021-02-01,69.0,79.0,69.0,76.0,76.0,304100
2021-02-02,76.0,76.0,71.0,76.0,76.0,180300
2021-02-03,76.0,76.0,72.0,76.0,76.0,333100
2021-02-04,78.0,78.0,71.0,75.0,75.0,195400
2021-02-05,74.0,74.0,72.0,74.0,74.0,255900
2021-02-08,72.0,77.0,71.0,77.0,77.0,131100
2021-02-09,77.0,77.0,72.0,72.0,72.0,186200
2021-02-10,72.0,78.0,70.0,75.0,75.0,273900
2021-02-11,75.0,83.0,75.0,79.0,79.0,452000
2021-02-15,79.0,82.0,79.0,79.0,79.0,415700
2021-02-16,79.0,79.0,75.0,75.0,75.0,554200
2021-02-17,75.0,80.0,73.0,73.0,73.0,23300
2021-02-18,75.0,80.0,72.0,75.0,75.0,114000
2021-02-19,75.0,80.0,75.0,76.0,76.0,10700
2021-02-22,76.0,82.0,71.0,79.0,79.0,107300
2021-02-23,79.0,79.0,75.0,76.0,76.0,5300
2021-02-24,76.0,76.0,74.0,76.0,76.0,10500
2021-02-25,73.0,80.0,73.0,80.0,80.0,50100
2021-02-26,79.0,79.0,75.0,77.0,77.0,33500
2021-03-01,77.0,79.0,77.0,79.0,79.0,81200
2021-03-02,79.0,82.0,79.0,81.0,81.0,89800
2021-03-03,81.0,81.0,76.0,80.0,80.0,48900
2021-03-04,80.0,82.0,78.0,78.0,78.0,21800
2021-03-05,78.0,81.0,78.0,79.0,79.0,20700
2021-03-08,79.0,83.0,79.0,80.0,80.0,91300
2021-03-09,81.0,83.0,77.0,81.0,81.0,273900
2021-03-10,81.0,82.0,80.0,80.0,80.0,203700
2021-03-12,80.0,80.0,77.0,80.0,80.0,8400
2021-03-15,80.0,80.0,78.0,78.0,78.0,18500
2021-03-16,78.0,78.0,78.0,78.0,78.0,32100
2021-03-17,76.0,80.0,76.0,80.0,80.0,40500
2021-03-18,78.0,80.0,75.0,79.0,79.0,23000
2021-03-19,79.0,79.0,76.0,78.0,78.0,122400
2021-03-22,79.0,94.0,78.0,87.0,87.0,5624000
2021-03-23,87.0,117.0,81.0,87.0,87.0,21137800
2021-03-24,87.0,108.0,86.0,95.0,95.0,18874000
2021-03-25,98.0,105.0,92.0,93.0,93.0,8286000
2021-03-26,94.0,99.0,93.0,95.0,95.0,5275100
2021-03-29,97.0,125.0,89.0,125.0,125.0,62309200
2021-03-30,129.0,135.0,117.0,117.0,117.0,15100200
2021-03-31,117.0,117.0,109.0,114.0,114.0,2045500
2021-04-01,115.0,128.0,107.0,115.0,115.0,16461100
2021-04-05,118.0,122.0,115.0,115.0,115.0,6923700
2021-04-06,115.0,116.0,107.0,109.0,109.0,3095100
2021-04-07,109.0,113.0,102.0,103.0,103.0,1924100
2021-04-08,102.0,110.0,99.0,100.0,100.0,1931400
2021-04-09,103.0,113.0,103.0,110.0,110.0,8735100
2021-04-12,111.0,111.0,103.0,110.0,110.0,3474200
2021-04-13,112.0,122.0,105.0,109.0,109.0,12290300
2021-04-14,110.0,115.0,106.0,110.0,110.0,2833800
2021-04-15,110.0,118.0,108.0,114.0,114.0,3100200
2021-04-16,114.0,145.0,108.0,145.0,145.0,9842100
2021-04-19,148.0,170.0,135.0,135.0,135.0,33517900
2021-04-20,135.0,138.0,126.0,130.0,130.0,4311400
2021-04-21,134.0,136.0,122.0,128.0,128.0,5311400
2021-04-22,135.0,138.0,128.0,129.0,129.0,4072600
2021-04-23,129.0,135.0,127.0,131.0,131.0,1842100
2021-04-26,131.0,135.0,128.0,128.0,128.0,503600
2021-04-27,128.0,140.0,128.0,130.0,130.0,3557400
2021-04-28,131.0,138.0,130.0,138.0,138.0,1214800
2021-04-29,141.0,155.0,131.0,132.0,132.0,17384300
2021-04-30,133.0,135.0,127.0,130.0,130.0,1942500
2021-05-03,130.0,134.0,128.0,132.0,132.0,1446200
2021-05-04,132.0,164.0,126.0,164.0,164.0,21187600
2021-05-05,163.0,197.0,153.0,155.0,155.0,43458100
2021-05-06,158.0,204.0,145.0,164.0,164.0,51503700
2021-05-07,166.0,166.0,153.0,153.0,153.0,4924700
2021-05-10,153.0,188.0,147.0,162.0,162.0,24344900
2021-05-11,175.0,183.0,164.0,166.0,166.0,12015200
2021-05-17,166.0,169.0,157.0,158.0,158.0,1546300
2021-05-18,158.0,178.0,149.0,178.0,178.0,16671400
2021-05-19,180.0,220.0,178.0,178.0,178.0,18644900
2021-05-20,178.0,180.0,166.0,166.0,166.0,2283700
2021-05-21,166.0,178.0,160.0,165.0,165.0,2265400
2021-05-24,165.0,170.0,161.0,163.0,163.0,793600
2021-05-25,163.0,214.0,162.0,177.0,177.0,20900500
2021-05-27,178.0,190.0,177.0,185.0,185.0,3223400
2021-05-28,186.0,236.0,178.0,181.0,181.0,37431600
2021-05-31,181.0,192.0,181.0,187.0,187.0,2664700
2021-06-02,188.0,240.0,184.0,204.0,204.0,31039800
2021-06-03,208.0,230.0,200.0,216.0,216.0,12817900
2021-06-04,216.0,222.0,212.0,212.0,212.0,3273400
2021-06-07,214.0,236.0,208.0,216.0,216.0,13520200
2021-06-08,216.0,220.0,210.0,212.0,212.0,2428400
2021-06-09,212.0,220.0,212.0,214.0,214.0,871000
2021-06-10,214.0,216.0,210.0,212.0,212.0,736900
2021-06-11,212.0,232.0,202.0,224.0,224.0,4169400
2021-06-14,232.0,280.0,230.0,280.0,280.0,13270400
2021-06-15,284.0,310.0,262.0,262.0,262.0,22435800
2021-06-16,250.0,284.0,244.0,284.0,284.0,7433900
2021-06-17,284.0,290.0,268.0,268.0,268.0,5848700
2021-06-18,268.0,274.0,250.0,262.0,262.0,1726900
2021-06-21,258.0,262.0,244.0,244.0,244.0,1882600
2021-06-22,244.0,244.0,228.0,230.0,230.0,2068700
2021-06-23,226.0,238.0,226.0,234.0,234.0,1118200
2021-06-24,236.0,248.0,236.0,244.0,244.0,2039700
2021-06-25,248.0,256.0,232.0,234.0,234.0,4905300
2021-06-28,234.0,234.0,218.0,218.0,218.0,1684400
2021-06-29,216.0,232.0,204.0,204.0,204.0,4087600
2021-06-30,204.0,204.0,190.0,190.0,190.0,1204600
2021-07-01,190.0,190.0,177.0,189.0,189.0,2005400
2021-07-02,189.0,206.0,185.0,200.0,200.0,1907400
2021-07-05,200.0,210.0,200.0,202.0,202.0,914900
2021-07-06,202.0,208.0,190.0,190.0,190.0,1309200
2021-07-07,189.0,197.0,180.0,192.0,192.0,913500
2021-07-08,191.0,192.0,179.0,184.0,184.0,1089100
2021-07-09,184.0,184.0,172.0,172.0,172.0,760500
2021-07-12,176.0,176.0,160.0,160.0,160.0,1780300
2021-07-13,159.0,160.0,149.0,149.0,149.0,1694300
2021-07-14,149.0,159.0,139.0,142.0,142.0,3163600
2021-07-15,144.0,158.0,133.0,158.0,158.0,6443900
2021-07-16,161.0,178.0,156.0,177.0,177.0,7099500
2021-07-19,168.0,177.0,165.0,165.0,165.0,3207500
2021-07-21,165.0,165.0,154.0,154.0,154.0,1247500
2021-07-22,154.0,164.0,150.0,155.0,155.0,618900
2021-07-23,155.0,159.0,155.0,155.0,155.0,343000
2021-07-26,156.0,158.0,150.0,152.0,152.0,667500
2021-07-27,155.0,163.0,146.0,149.0,149.0,1868600
2021-07-28,148.0,154.0,147.0,149.0,149.0,1071000
2021-07-29,152.0,156.0,149.0,153.0,153.0,1793200
2021-07-30,154.0,154.0,147.0,147.0,147.0,472400
2021-08-02,149.0,155.0,145.0,149.0,149.0,2045000
2021-08-03,149.0,155.0,148.0,150.0,150.0,2176700
2021-08-04,149.0,153.0,148.0,150.0,150.0,237500
2021-08-05,150.0,152.0,146.0,146.0,146.0,772900
2021-08-06,146.0,150.0,144.0,145.0,145.0,627900
2021-08-09,145.0,148.0,140.0,140.0,140.0,402200
2021-08-10,141.0,143.0,133.0,139.0,139.0,167200
2021-08-12,139.0,144.0,135.0,139.0,139.0,290400
2021-08-13,139.0,140.0,130.0,130.0,130.0,480100
2021-08-16,130.0,130.0,126.0,129.0,129.0,174900
2021-08-18,128.0,129.0,120.0,122.0,122.0,217600
2021-08-19,122.0,133.0,121.0,129.0,129.0,685900
2021-08-20,135.0,174.0,135.0,174.0,174.0,6970200
2021-08-23,200.0,230.0,180.0,189.0,189.0,27466300
2021-08-24,191.0,191.0,176.0,176.0,176.0,1363800
2021-08-25,176.0,185.0,164.0,164.0,164.0,5192100
2021-08-26,165.0,173.0,155.0,155.0,155.0,1651600
2021-08-27,155.0,208.0,150.0,208.0,208.0,24789900
2021-08-30,216.0,226.0,194.0,194.0,194.0,11892500
2021-08-31,188.0,190.0,181.0,181.0,181.0,3107900
2021-09-01,185.0,224.0,183.0,194.0,194.0,29542200
2021-09-02,202.0,202.0,182.0,183.0,183.0,3782800
2021-09-03,184.0,196.0,182.0,182.0,182.0,2548000
2021-09-06,181.0,182.0,171.0,176.0,176.0,2287700
2021-09-07,180.0,214.0,177.0,190.0,190.0,12567300
2021-09-08,192.0,194.0,179.0,181.0,181.0,2681600
2021-09-09,182.0,190.0,175.0,182.0,182.0,3004800
2021-09-10,194.0,214.0,184.0,186.0,186.0,8782700
2021-09-13,188.0,188.0,180.0,185.0,185.0,1544000
2021-09-14,186.0,195.0,182.0,191.0,191.0,2500300
2021-09-15,192.0,200.0,190.0,190.0,190.0,2436900
2021-09-16,192.0,193.0,185.0,190.0,190.0,865400
2021-09-17,190.0,197.0,188.0,189.0,189.0,1729900
2021-09-20,189.0,194.0,187.0,193.0,193.0,1591500
2021-09-21,199.0,204.0,194.0,194.0,194.0,4267100
2021-09-22,195.0,202.0,194.0,196.0,196.0,2119000
2021-09-23,197.0,240.0,194.0,212.0,212.0,27595800
2021-09-24,214.0,216.0,198.0,199.0,199.0,6041300
2021-09-27,199.0,204.0,190.0,192.0,192.0,2912600
2021-09-28,193.0,200.0,188.0,193.0,193.0,2363900
2021-09-29,193.0,212.0,188.0,202.0,202.0,6291400
2021-09-30,202.0,206.0,188.0,188.0,188.0,7118300
2021-10-01,188.0,191.0,175.0,177.0,177.0,1931200
2021-10-04,177.0,180.0,168.0,180.0,180.0,1621000
2021-10-05,183.0,184.0,174.0,176.0,176.0,781200
2021-10-06,178.0,180.0,178.0,178.0,178.0,524800
2021-10-07,178.0,178.0,170.0,173.0,173.0,708600
2021-10-08,173.0,177.0,171.0,173.0,173.0,298800
2021-10-11,173.0,176.0,165.0,167.0,167.0,456000
2021-10-12,170.0,176.0,167.0,169.0,169.0,443700
2021-10-13,169.0,174.0,158.0,158.0,158.0,544400
2021-10-14,158.0,168.0,154.0,156.0,156.0,680700
2021-10-15,157.0,182.0,157.0,171.0,171.0,4804700
2021-10-18,175.0,175.0,170.0,173.0,173.0,788600
2021-10-19,173.0,174.0,170.0,170.0,170.0,566600
2021-10-21,170.0,173.0,167.0,169.0,169.0,260300
2021-10-22,169.0,174.0,169.0,170.0,170.0,546500
2021-10-25,170.0,174.0,167.0,170.0,170.0,392200
2021-10-26,170.0,173.0,170.0,171.0,171.0,112600
2021-10-27,171.0,173.0,169.0,172.0,172.0,238700
2021-10-28,172.0,172.0,169.0,169.0,169.0,201200
2021-10-29,169.0,175.0,169.0,175.0,175.0,483200
2021-11-01,175.0,180.0,173.0,180.0,180.0,1060600
2021-11-02,180.0,187.0,175.0,186.0,186.0,1121700
2021-11-03,186.0,191.0,180.0,191.0,191.0,2458500
