Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,350.0,350.0,330.0,350.0,345.9842834472656,65012200
2021-11-02,342.0,436.0,326.0,348.0,344.0072326660156,296562000
2021-11-03,360.0,386.0,324.0,328.0,324.2366943359375,158743000
2021-11-04,328.0,330.0,306.0,306.0,302.4891052246094,26044200
2021-11-05,306.0,324.0,290.0,308.0,304.4661560058594,49146500
2021-11-08,308.0,308.0,290.0,294.0,290.6268005371094,13428000
2021-11-09,294.0,312.0,294.0,308.0,304.4661560058594,21643300
2021-11-10,310.0,312.0,294.0,298.0,294.5809020996094,9105800
2021-11-11,298.0,300.0,294.0,296.0,292.6038513183594,5063500
2021-11-12,300.0,300.0,286.0,290.0,286.6726989746094,5631500
2021-11-15,290.0,292.0,280.0,286.0,282.7185974121094,5168100
2021-11-16,286.0,288.0,278.0,280.0,276.78741455078125,3656700
2021-11-17,280.0,284.0,272.0,278.0,274.81036376953125,2978600
2021-11-18,276.0,280.0,270.0,274.0,270.85626220703125,2781500
2021-11-19,272.0,278.0,268.0,274.0,270.85626220703125,3300100
2021-11-22,274.0,276.0,270.0,274.0,270.85626220703125,2569700
2021-11-23,274.0,278.0,270.0,270.0,266.90216064453125,1569400
2021-11-24,272.0,274.0,264.0,268.0,264.92510986328125,2155700
2021-11-25,264.0,270.0,260.0,262.0,258.99395751953125,1666200
2021-11-26,264.0,264.0,250.0,250.0,247.1316375732422,3503300
2021-11-29,252.0,252.0,234.0,246.0,243.17752075195312,3816400
2021-11-30,248.0,260.0,246.0,248.0,245.15457153320312,4592600
2021-12-01,248.0,256.0,248.0,250.0,247.1316375732422,2321600
2021-12-02,254.0,256.0,248.0,252.0,249.1086883544922,1280600
2021-12-03,256.0,256.0,248.0,248.0,245.15457153320312,1343500
2021-12-06,248.0,302.0,248.0,270.0,266.90216064453125,30220000
2021-12-07,272.0,278.0,256.0,264.0,260.97100830078125,6172600
2021-12-08,264.0,264.0,250.0,252.0,252.0,2289800
2021-12-09,252.0,262.0,252.0,262.0,262.0,1836700
2021-12-10,266.0,266.0,258.0,262.0,262.0,1601600
2021-12-13,262.0,266.0,258.0,266.0,266.0,1749600
2021-12-14,266.0,266.0,258.0,260.0,260.0,501400
2021-12-15,258.0,262.0,252.0,258.0,258.0,751400
2021-12-16,260.0,260.0,250.0,254.0,254.0,681100
2021-12-17,254.0,258.0,240.0,248.0,248.0,466300
2021-12-20,246.0,250.0,242.0,244.0,244.0,271700
2021-12-21,242.0,250.0,238.0,242.0,242.0,495100
2021-12-22,240.0,252.0,240.0,248.0,248.0,667100
2021-12-23,250.0,250.0,238.0,244.0,244.0,434100
2021-12-24,244.0,246.0,240.0,244.0,244.0,247400
2021-12-27,244.0,244.0,238.0,244.0,244.0,534600
2021-12-28,244.0,246.0,238.0,238.0,238.0,541500
2021-12-29,244.0,244.0,228.0,232.0,232.0,1309200
2021-12-30,232.0,238.0,222.0,230.0,230.0,834700
2022-01-03,226.0,232.0,222.0,226.0,226.0,756300
2022-01-04,226.0,230.0,220.0,226.0,226.0,952700
2022-01-05,228.0,248.0,226.0,232.0,232.0,2351900
