Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,1000.0,1000.0,1000.0,1000.0,1000.0,0
2021-12-03,1000.0,1000.0,1000.0,1000.0,1000.0,15500
2021-12-08,1000.0,1000.0,1000.0,1000.0,1000.0,500
2021-12-14,1040.0,1040.0,1040.0,1040.0,1040.0,13000
2021-12-15,1040.0,1300.0,1040.0,1045.0,1045.0,265200
2021-12-16,1045.0,1050.0,1000.0,1045.0,1045.0,36700
2021-12-17,1045.0,1050.0,1020.0,1050.0,1050.0,11800
2021-12-20,1050.0,1050.0,1000.0,1010.0,1010.0,10300
2021-12-21,1010.0,1045.0,1000.0,1005.0,1005.0,8700
2021-12-22,1005.0,1045.0,1005.0,1010.0,1010.0,4100
2021-12-23,1100.0,1255.0,1050.0,1170.0,1170.0,1151300
2021-12-24,1200.0,1400.0,1170.0,1345.0,1345.0,3614800
2021-12-27,1375.0,1680.0,1375.0,1585.0,1585.0,3839200
2021-12-28,1650.0,1650.0,1475.0,1475.0,1475.0,741500
2021-12-29,1460.0,1465.0,1375.0,1385.0,1385.0,886200
2021-12-30,1410.0,1600.0,1385.0,1440.0,1440.0,1613200
2022-01-03,1480.0,1500.0,1415.0,1445.0,1445.0,382700
2022-01-04,1450.0,1450.0,1400.0,1400.0,1400.0,150200
2022-01-05,1450.0,1485.0,1350.0,1370.0,1370.0,293300
2022-01-06,1370.0,1400.0,1325.0,1325.0,1325.0,327100
2022-01-07,1325.0,1435.0,1325.0,1375.0,1375.0,370500
