Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,360.0,432.0,360.0,414.0,414.0,13848100
2021-12-02,412.0,494.0,400.0,446.0,446.0,9282600
2021-12-03,452.0,482.0,416.0,440.0,440.0,6781800
2021-12-06,442.0,500.0,440.0,450.0,450.0,5671600
2021-12-07,450.0,470.0,420.0,432.0,432.0,3802500
2021-12-08,432.0,440.0,402.0,402.0,402.0,4150600
2021-12-09,402.0,432.0,388.0,420.0,420.0,4610700
2021-12-10,420.0,430.0,406.0,412.0,412.0,1362900
2021-12-13,416.0,422.0,412.0,422.0,422.0,1530000
2021-12-14,426.0,510.0,422.0,492.0,492.0,13275700
2021-12-15,492.0,492.0,492.0,492.0,492.0,0
2021-12-16,490.0,590.0,490.0,565.0,565.0,8133000
2021-12-17,570.0,660.0,540.0,615.0,615.0,5993400
2021-12-20,615.0,615.0,615.0,615.0,615.0,0
2021-12-28,575.0,605.0,575.0,575.0,575.0,540200
2021-12-29,535.0,535.0,535.0,535.0,535.0,178600
2021-12-30,498.0,525.0,498.0,498.0,498.0,4207000
2022-01-03,498.0,530.0,474.0,484.0,484.0,3448900
2022-01-04,484.0,486.0,452.0,452.0,452.0,2474100
2022-01-05,452.0,458.0,422.0,422.0,422.0,1647800
2022-01-06,394.0,394.0,394.0,394.0,394.0,601500
2022-01-07,370.0,418.0,368.0,398.0,398.0,5461300
