Date,Open,High,Low,Close,Adj Close,Volume
2021-12-16,130.0,157.0,130.0,157.0,157.0,285218500
2021-12-17,171.0,208.0,147.0,153.0,153.0,212272300
2021-12-20,152.0,154.0,143.0,143.0,143.0,44465000
2021-12-21,142.0,143.0,133.0,140.0,140.0,24014700
2021-12-22,140.0,140.0,131.0,131.0,131.0,7602400
2021-12-23,130.0,153.0,130.0,140.0,140.0,32662900
2021-12-24,140.0,150.0,135.0,148.0,148.0,16541200
2021-12-27,149.0,153.0,142.0,151.0,151.0,13406500
2021-12-28,151.0,175.0,151.0,167.0,167.0,60809300
2021-12-29,166.0,199.0,163.0,184.0,184.0,73545100
2021-12-30,185.0,210.0,183.0,194.0,194.0,63802400
2022-01-03,195.0,196.0,181.0,182.0,182.0,18364200
2022-01-04,184.0,200.0,182.0,193.0,193.0,24438100
2022-01-05,195.0,254.0,195.0,246.0,246.0,82104600
