Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,3130.0,3160.0,3000.0,3130.0,3130.0,46400
2021-12-02,3100.0,3200.0,3020.0,3160.0,3160.0,32600
2021-12-03,3150.0,3150.0,3100.0,3150.0,3150.0,12000
2021-12-06,3150.0,3200.0,3060.0,3160.0,3160.0,26500
2021-12-07,3200.0,3200.0,3100.0,3170.0,3170.0,8300
2021-12-08,3170.0,3390.0,3100.0,3310.0,3310.0,70600
2021-12-09,3310.0,3370.0,3250.0,3250.0,3250.0,19200
2021-12-10,3250.0,3390.0,3250.0,3390.0,3390.0,50800
2021-12-13,3390.0,4000.0,3310.0,3940.0,3940.0,81300
2021-12-14,3940.0,3950.0,3670.0,3830.0,3830.0,47300
2021-12-15,3870.0,3870.0,3650.0,3740.0,3740.0,42700
2021-12-16,3750.0,3750.0,3610.0,3700.0,3700.0,23600
2021-12-17,3700.0,3700.0,3520.0,3570.0,3570.0,79600
2021-12-20,3570.0,3950.0,3570.0,3760.0,3760.0,32900
2021-12-21,3850.0,3850.0,3710.0,3830.0,3830.0,16700
2021-12-22,3830.0,3940.0,3700.0,3720.0,3720.0,37400
2021-12-23,3700.0,3890.0,3610.0,3790.0,3790.0,28900
2021-12-24,3800.0,3900.0,3790.0,3860.0,3860.0,23400
2021-12-27,3860.0,4000.0,3810.0,3850.0,3850.0,20600
2021-12-28,3900.0,3910.0,3830.0,3900.0,3900.0,14900
2021-12-29,3900.0,4000.0,3900.0,4000.0,4000.0,39200
2021-12-30,4000.0,4120.0,3960.0,4090.0,4090.0,97700
2022-01-03,4200.0,5000.0,4120.0,4430.0,4430.0,310400
2022-01-04,4430.0,4550.0,4300.0,4320.0,4320.0,282400
2022-01-05,4360.0,4700.0,4330.0,4500.0,4500.0,430800
2022-01-06,4500.0,4630.0,4350.0,4400.0,4400.0,538000
2022-01-07,4400.0,4460.0,4400.0,4430.0,4430.0,203100
