Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,50.0,50.0,50.0,50.0,50.0,11600
2021-01-05,50.0,50.0,50.0,50.0,50.0,13100
2021-01-06,50.0,50.0,50.0,50.0,50.0,100500
2021-01-07,50.0,50.0,50.0,50.0,50.0,600
2021-01-08,50.0,50.0,50.0,50.0,50.0,1200
2021-01-11,50.0,50.0,50.0,50.0,50.0,88800
2021-01-12,50.0,50.0,50.0,50.0,50.0,79900
2021-01-13,50.0,50.0,50.0,50.0,50.0,120100
2021-01-14,50.0,50.0,50.0,50.0,50.0,26100
2021-01-15,50.0,50.0,50.0,50.0,50.0,16100
2021-01-18,50.0,50.0,50.0,50.0,50.0,73700
2021-01-19,50.0,50.0,50.0,50.0,50.0,100
2021-01-20,50.0,50.0,50.0,50.0,50.0,400
2021-01-21,50.0,50.0,50.0,50.0,50.0,200
2021-01-22,50.0,50.0,50.0,50.0,50.0,500
2021-01-25,50.0,50.0,50.0,50.0,50.0,1300
2021-01-26,50.0,50.0,50.0,50.0,50.0,1900
2021-01-28,50.0,50.0,50.0,50.0,50.0,4900
2021-02-01,50.0,50.0,50.0,50.0,50.0,1400
2021-02-03,50.0,50.0,50.0,50.0,50.0,900
2021-02-04,50.0,50.0,50.0,50.0,50.0,0
2021-02-08,50.0,50.0,50.0,50.0,50.0,7800
2021-02-09,50.0,50.0,50.0,50.0,50.0,1800
2021-02-10,50.0,50.0,50.0,50.0,50.0,217200
2021-02-11,50.0,50.0,50.0,50.0,50.0,2600
2021-02-15,50.0,50.0,50.0,50.0,50.0,3400
2021-02-16,50.0,50.0,50.0,50.0,50.0,4100
2021-02-18,50.0,50.0,50.0,50.0,50.0,2900
2021-02-22,50.0,50.0,50.0,50.0,50.0,43200
2021-02-24,50.0,50.0,50.0,50.0,50.0,59700
2021-02-25,50.0,50.0,50.0,50.0,50.0,11300
2021-02-26,50.0,50.0,50.0,50.0,50.0,1600
2021-03-01,50.0,50.0,50.0,50.0,50.0,7100
2021-03-02,50.0,50.0,50.0,50.0,50.0,2200
2021-03-05,50.0,50.0,50.0,50.0,50.0,5300
2021-03-09,50.0,50.0,50.0,50.0,50.0,7000
2021-03-16,50.0,50.0,50.0,50.0,50.0,1500
2021-03-18,50.0,50.0,50.0,50.0,50.0,28200
2021-03-19,50.0,50.0,50.0,50.0,50.0,205800
2021-03-22,50.0,50.0,50.0,50.0,50.0,300
2021-03-25,50.0,50.0,50.0,50.0,50.0,6700
2021-03-26,50.0,50.0,50.0,50.0,50.0,4600
2021-03-29,50.0,50.0,50.0,50.0,50.0,5700
2021-03-30,50.0,50.0,50.0,50.0,50.0,6600
2021-03-31,50.0,50.0,50.0,50.0,50.0,11200
2021-04-05,50.0,50.0,50.0,50.0,50.0,24300
2021-04-06,50.0,50.0,50.0,50.0,50.0,1100
2021-04-08,50.0,50.0,50.0,50.0,50.0,304500
2021-04-09,50.0,50.0,50.0,50.0,50.0,3700
2021-04-15,50.0,50.0,50.0,50.0,50.0,800
