Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,300.0,300.0,282.0,296.0,296.0,86600
2021-01-05,296.0,300.0,290.0,290.0,290.0,47200
2021-01-06,290.0,298.0,278.0,296.0,296.0,71700
2021-01-07,294.0,298.0,282.0,292.0,292.0,174400
2021-01-08,282.0,298.0,282.0,296.0,296.0,344600
2021-01-11,296.0,302.0,294.0,302.0,302.0,185700
2021-01-12,302.0,302.0,290.0,302.0,302.0,194900
2021-01-13,296.0,300.0,290.0,300.0,300.0,242900
2021-01-14,300.0,300.0,294.0,294.0,294.0,18200
2021-01-15,294.0,296.0,290.0,296.0,296.0,74000
2021-01-18,300.0,310.0,296.0,296.0,296.0,521200
2021-01-19,296.0,300.0,292.0,296.0,296.0,132300
2021-01-20,296.0,320.0,276.0,320.0,320.0,920800
2021-01-21,320.0,322.0,300.0,322.0,322.0,351800
2021-01-22,322.0,330.0,300.0,316.0,316.0,126300
2021-01-25,316.0,322.0,294.0,316.0,316.0,76900
2021-01-26,314.0,316.0,296.0,316.0,316.0,466300
2021-01-27,316.0,316.0,294.0,298.0,298.0,195200
2021-01-28,296.0,310.0,278.0,310.0,310.0,157000
2021-01-29,310.0,310.0,290.0,300.0,300.0,50300
2021-02-01,300.0,306.0,294.0,306.0,306.0,119500
2021-02-02,306.0,306.0,300.0,306.0,306.0,4200
2021-02-03,306.0,306.0,304.0,306.0,306.0,20200
2021-02-04,306.0,310.0,300.0,306.0,306.0,63800
2021-02-05,306.0,310.0,290.0,308.0,308.0,164600
2021-02-08,308.0,308.0,290.0,308.0,308.0,22500
2021-02-09,308.0,308.0,290.0,290.0,290.0,21300
2021-02-10,290.0,310.0,288.0,308.0,308.0,331700
2021-02-11,308.0,308.0,302.0,308.0,308.0,25900
2021-02-15,308.0,308.0,296.0,298.0,298.0,6900
2021-02-16,290.0,304.0,288.0,288.0,288.0,21900
2021-02-17,288.0,294.0,288.0,294.0,294.0,2200
2021-02-18,294.0,294.0,290.0,290.0,290.0,11400
2021-02-19,290.0,290.0,290.0,290.0,290.0,2000
2021-02-22,300.0,300.0,290.0,290.0,290.0,4000
2021-02-23,290.0,292.0,290.0,292.0,292.0,2400
2021-02-24,292.0,292.0,292.0,292.0,292.0,1200
2021-02-25,292.0,292.0,284.0,284.0,284.0,26300
2021-02-26,284.0,284.0,284.0,284.0,284.0,700
2021-03-01,284.0,290.0,284.0,290.0,290.0,1000
2021-03-02,290.0,290.0,290.0,290.0,290.0,2600
2021-03-03,290.0,298.0,284.0,284.0,284.0,173900
2021-03-04,284.0,298.0,284.0,298.0,298.0,187500
2021-03-05,298.0,298.0,280.0,298.0,298.0,57300
2021-03-08,284.0,284.0,284.0,284.0,284.0,9900
2021-03-09,284.0,294.0,284.0,294.0,294.0,72500
2021-03-10,294.0,294.0,290.0,294.0,294.0,177100
2021-03-12,294.0,294.0,286.0,294.0,294.0,169800
2021-03-15,294.0,296.0,286.0,296.0,296.0,154200
2021-03-16,296.0,296.0,288.0,296.0,296.0,124900
2021-03-17,296.0,296.0,286.0,296.0,296.0,73500
2021-03-18,296.0,296.0,294.0,294.0,294.0,59800
2021-03-19,294.0,300.0,288.0,300.0,300.0,63400
2021-03-22,298.0,298.0,290.0,298.0,298.0,6000
2021-03-23,292.0,300.0,292.0,300.0,300.0,62200
2021-03-24,298.0,300.0,290.0,290.0,290.0,8300
2021-03-25,286.0,298.0,276.0,298.0,298.0,89700
2021-03-26,294.0,296.0,294.0,296.0,296.0,2500
2021-03-29,296.0,296.0,294.0,294.0,294.0,600
2021-03-30,294.0,296.0,286.0,296.0,296.0,7300
2021-03-31,296.0,296.0,280.0,292.0,292.0,22300
2021-04-01,282.0,298.0,282.0,298.0,298.0,100500
2021-04-05,292.0,300.0,286.0,300.0,300.0,107300
2021-04-06,300.0,300.0,296.0,298.0,298.0,24100
2021-04-07,286.0,298.0,286.0,298.0,298.0,11100
2021-04-08,300.0,300.0,284.0,300.0,300.0,41300
2021-04-09,302.0,302.0,290.0,300.0,300.0,49700
2021-04-12,300.0,306.0,296.0,306.0,306.0,49500
2021-04-13,306.0,308.0,298.0,300.0,300.0,184800
2021-04-14,300.0,300.0,300.0,300.0,300.0,3200
2021-04-15,300.0,300.0,280.0,300.0,300.0,120800
2021-04-16,298.0,300.0,294.0,300.0,300.0,32600
2021-04-19,300.0,300.0,292.0,300.0,300.0,17900
2021-04-20,300.0,300.0,286.0,298.0,298.0,31300
2021-04-21,298.0,308.0,298.0,308.0,308.0,349000
2021-04-22,308.0,320.0,302.0,316.0,316.0,37200
2021-04-23,316.0,320.0,308.0,308.0,308.0,18100
2021-04-26,308.0,314.0,304.0,314.0,314.0,19900
2021-04-27,314.0,330.0,314.0,320.0,320.0,41100
2021-04-28,320.0,326.0,312.0,326.0,326.0,318100
2021-04-29,322.0,326.0,316.0,324.0,324.0,54600
2021-04-30,320.0,326.0,320.0,324.0,324.0,6300
2021-05-03,322.0,334.0,302.0,334.0,334.0,314200
2021-05-04,340.0,352.0,330.0,334.0,334.0,680600
2021-05-05,334.0,364.0,318.0,356.0,356.0,1019100
2021-05-06,362.0,368.0,332.0,332.0,332.0,1118800
2021-05-07,316.0,378.0,316.0,370.0,370.0,1514400
2021-05-10,374.0,378.0,346.0,352.0,352.0,441000
2021-05-11,352.0,390.0,338.0,390.0,390.0,670800
2021-05-17,390.0,396.0,386.0,394.0,394.0,176800
2021-05-18,394.0,396.0,374.0,394.0,394.0,169300
2021-05-19,394.0,402.0,382.0,382.0,382.0,84200
2021-05-20,390.0,402.0,376.0,402.0,402.0,217200
2021-05-21,402.0,414.0,398.0,410.0,410.0,67100
2021-05-24,412.0,420.0,402.0,414.0,414.0,140100
2021-05-25,414.0,420.0,400.0,400.0,400.0,228400
2021-05-27,400.0,420.0,398.0,410.0,410.0,97000
2021-05-28,410.0,418.0,410.0,412.0,412.0,62400
2021-05-31,412.0,420.0,410.0,420.0,420.0,8300
2021-06-02,420.0,420.0,400.0,416.0,416.0,36500
2021-06-03,420.0,420.0,410.0,410.0,410.0,17600
2021-06-04,410.0,422.0,400.0,422.0,422.0,131700
2021-06-07,422.0,430.0,420.0,430.0,430.0,175200
2021-06-08,430.0,430.0,428.0,428.0,428.0,139600
2021-06-09,428.0,430.0,412.0,420.0,420.0,49200
2021-06-10,416.0,430.0,396.0,418.0,418.0,59000
2021-06-11,418.0,430.0,390.0,430.0,430.0,1205400
2021-06-14,430.0,430.0,418.0,428.0,428.0,8400
2021-06-15,428.0,428.0,428.0,428.0,428.0,120100
2021-06-16,428.0,438.0,420.0,436.0,436.0,83500
2021-06-17,436.0,436.0,406.0,406.0,406.0,54700
2021-06-18,406.0,438.0,394.0,438.0,438.0,243700
2021-06-21,438.0,446.0,410.0,436.0,436.0,101300
2021-06-22,434.0,436.0,408.0,432.0,432.0,97400
2021-06-23,428.0,446.0,414.0,414.0,414.0,17500
2021-06-24,410.0,440.0,400.0,408.0,408.0,125200
2021-06-25,408.0,444.0,398.0,444.0,444.0,87200
2021-06-28,444.0,444.0,418.0,420.0,420.0,19800
