Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,3110.0,3180.0,3050.0,3180.0,3180.0,129800
2021-01-05,3170.0,3200.0,3100.0,3190.0,3190.0,68800
2021-01-06,3250.0,3250.0,3100.0,3190.0,3190.0,93200
2021-01-07,3200.0,3200.0,3170.0,3190.0,3190.0,216100
2021-01-08,3190.0,3200.0,3130.0,3190.0,3190.0,150200
2021-01-11,3190.0,3230.0,3110.0,3200.0,3200.0,247200
2021-01-12,3250.0,3250.0,3190.0,3220.0,3220.0,80800
2021-01-13,3220.0,3220.0,3180.0,3200.0,3200.0,52900
2021-01-14,3180.0,3250.0,3180.0,3180.0,3180.0,64200
2021-01-15,3170.0,3170.0,3030.0,3120.0,3120.0,286100
2021-01-18,3120.0,3120.0,2930.0,2940.0,2940.0,441700
2021-01-19,2940.0,3000.0,2940.0,2980.0,2980.0,44300
2021-01-20,2980.0,3120.0,2780.0,2900.0,2900.0,560800
2021-01-21,2900.0,3030.0,2890.0,2950.0,2950.0,151200
2021-01-22,2950.0,3030.0,2890.0,2890.0,2890.0,132600
2021-01-25,2890.0,2890.0,2750.0,2800.0,2800.0,122700
2021-01-26,2800.0,2850.0,2760.0,2780.0,2780.0,221400
2021-01-27,2770.0,2770.0,2700.0,2740.0,2740.0,63400
2021-01-28,2740.0,2830.0,2680.0,2690.0,2690.0,67900
2021-01-29,2690.0,2690.0,2610.0,2630.0,2630.0,50600
2021-02-01,2630.0,2760.0,2570.0,2760.0,2760.0,106200
2021-02-02,2780.0,2800.0,2760.0,2760.0,2760.0,58300
2021-02-03,2760.0,2820.0,2700.0,2790.0,2790.0,41800
2021-02-04,2790.0,2830.0,2790.0,2820.0,2820.0,47500
2021-02-05,2840.0,2850.0,2800.0,2820.0,2820.0,18900
2021-02-08,2830.0,2880.0,2830.0,2880.0,2880.0,53100
2021-02-09,2900.0,2900.0,2850.0,2850.0,2850.0,88000
2021-02-10,2850.0,2850.0,2800.0,2820.0,2820.0,26800
2021-02-11,2820.0,2870.0,2820.0,2860.0,2860.0,27100
