Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,114.0,119.0,110.0,115.0,115.0,1123700
2021-01-05,115.0,122.0,114.0,122.0,122.0,3303100
2021-01-06,122.0,127.0,117.0,123.0,123.0,3031900
2021-01-07,123.0,149.0,123.0,140.0,140.0,18182500
2021-01-08,141.0,150.0,135.0,135.0,135.0,8183200
2021-01-11,135.0,143.0,126.0,129.0,129.0,3839000
2021-01-12,129.0,137.0,127.0,135.0,135.0,2845900
2021-01-13,136.0,138.0,132.0,135.0,135.0,2529800
2021-01-14,135.0,136.0,127.0,134.0,134.0,927700
2021-01-15,134.0,136.0,129.0,133.0,133.0,1606800
2021-01-18,132.0,135.0,127.0,128.0,128.0,1371000
2021-01-19,128.0,132.0,124.0,125.0,125.0,1507100
2021-01-20,125.0,125.0,119.0,123.0,123.0,926100
2021-01-21,124.0,129.0,123.0,124.0,124.0,1149600
2021-01-22,124.0,140.0,121.0,122.0,122.0,6566200
2021-01-25,121.0,122.0,117.0,119.0,119.0,1525200
2021-01-26,119.0,124.0,114.0,119.0,119.0,2244700
2021-01-27,119.0,120.0,113.0,117.0,117.0,395200
2021-01-28,117.0,119.0,111.0,118.0,118.0,2553700
2021-01-29,118.0,118.0,110.0,110.0,110.0,2410600
2021-02-01,109.0,114.0,103.0,112.0,112.0,2180700
2021-02-02,113.0,116.0,113.0,113.0,113.0,1447100
2021-02-03,113.0,121.0,113.0,117.0,117.0,685100
2021-02-04,120.0,121.0,117.0,119.0,119.0,952100
2021-02-05,118.0,122.0,116.0,116.0,116.0,1827700
2021-02-08,117.0,122.0,117.0,119.0,119.0,1677100
2021-02-09,121.0,121.0,117.0,118.0,118.0,483700
2021-02-10,117.0,121.0,117.0,118.0,118.0,261300
2021-02-11,118.0,130.0,116.0,127.0,127.0,3337000
2021-02-15,127.0,130.0,119.0,124.0,124.0,3156400
2021-02-16,127.0,127.0,121.0,126.0,126.0,887100
2021-02-17,127.0,170.0,127.0,170.0,170.0,27103400
2021-02-18,187.0,228.0,159.0,161.0,161.0,64426900
2021-02-19,155.0,188.0,150.0,153.0,153.0,25412800
2021-02-22,151.0,182.0,150.0,169.0,169.0,14139600
2021-02-23,171.0,185.0,166.0,175.0,175.0,15058300
2021-02-24,180.0,218.0,175.0,200.0,200.0,45375800
2021-02-25,204.0,270.0,200.0,258.0,258.0,160609800
2021-02-26,258.0,258.0,258.0,258.0,258.0,0
2021-03-01,264.0,320.0,240.0,308.0,308.0,389065500
2021-03-02,308.0,308.0,308.0,308.0,308.0,0
2021-03-12,288.0,288.0,288.0,288.0,288.0,1243200
2021-03-15,268.0,268.0,268.0,268.0,268.0,218200
2021-03-16,250.0,250.0,250.0,250.0,250.0,416800
2021-03-17,234.0,234.0,234.0,234.0,234.0,1087800
2021-03-18,218.0,218.0,218.0,218.0,218.0,8455900
2021-03-19,204.0,204.0,204.0,204.0,204.0,2795000
2021-03-22,190.0,190.0,190.0,190.0,190.0,903100
2021-03-23,177.0,195.0,177.0,189.0,189.0,214773900
2021-03-24,192.0,200.0,176.0,183.0,183.0,311513300
2021-03-25,180.0,191.0,171.0,172.0,172.0,79980000
2021-03-26,162.0,185.0,162.0,172.0,172.0,133012300
2021-03-29,172.0,176.0,160.0,160.0,160.0,46179800
2021-03-30,162.0,182.0,162.0,173.0,173.0,312948500
2021-03-31,182.0,185.0,161.0,170.0,170.0,93047600
2021-04-01,170.0,173.0,163.0,164.0,164.0,17942200
