Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,81.0,83.0,80.0,80.0,80.0,21304000
2021-12-02,83.0,83.0,78.0,80.0,80.0,24444200
2021-12-03,83.0,83.0,79.0,79.0,79.0,11542400
2021-12-06,82.0,82.0,78.0,80.0,80.0,10230800
2021-12-07,81.0,82.0,79.0,81.0,81.0,25445400
2021-12-08,83.0,83.0,80.0,80.0,80.0,9298800
2021-12-09,81.0,82.0,80.0,81.0,81.0,13843000
2021-12-10,81.0,82.0,80.0,80.0,80.0,15554300
2021-12-13,82.0,82.0,80.0,80.0,80.0,6291700
2021-12-14,82.0,82.0,78.0,79.0,79.0,15821100
2021-12-15,79.0,79.0,75.0,75.0,75.0,43361800
2021-12-16,75.0,76.0,73.0,74.0,74.0,15812600
2021-12-17,74.0,78.0,74.0,75.0,75.0,30047400
2021-12-20,75.0,77.0,74.0,76.0,76.0,11919300
2021-12-21,76.0,77.0,73.0,75.0,75.0,18124400
2021-12-22,75.0,76.0,71.0,73.0,73.0,32945800
2021-12-23,75.0,75.0,72.0,72.0,72.0,5834400
2021-12-24,74.0,74.0,71.0,72.0,72.0,23472700
2021-12-27,74.0,74.0,70.0,72.0,72.0,10638600
2021-12-28,74.0,74.0,72.0,72.0,72.0,9296100
2021-12-29,74.0,74.0,71.0,71.0,71.0,11215400
2021-12-30,72.0,83.0,71.0,74.0,74.0,335910300
2022-01-03,74.0,77.0,74.0,75.0,75.0,54464300
2022-01-04,77.0,77.0,73.0,74.0,74.0,20577400
2022-01-05,75.0,75.0,73.0,73.0,73.0,21221800
2022-01-06,74.0,74.0,72.0,73.0,73.0,21054800
2022-01-07,74.0,78.0,73.0,74.0,74.0,110957400
