Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,478.0,494.0,474.0,494.0,494.0,479519600
2021-12-02,494.0,498.0,484.0,484.0,484.0,420830600
2021-12-03,486.0,492.0,482.0,484.0,484.0,476402000
2021-12-06,484.0,486.0,476.0,486.0,486.0,425018400
2021-12-07,486.0,494.0,482.0,488.0,488.0,454770300
2021-12-08,488.0,496.0,482.0,496.0,496.0,422012400
2021-12-09,496.0,520.0,492.0,500.0,500.0,453803800
2021-12-10,500.0,515.0,498.0,500.0,500.0,407635600
2021-12-13,510.0,515.0,490.0,500.0,500.0,438615400
2021-12-14,505.0,510.0,490.0,490.0,490.0,405362600
2021-12-15,490.0,510.0,482.0,505.0,505.0,487355200
2021-12-16,505.0,520.0,500.0,505.0,505.0,391182800
2021-12-17,505.0,535.0,500.0,510.0,510.0,471044800
2021-12-20,510.0,535.0,505.0,520.0,520.0,434660900
2021-12-21,520.0,530.0,500.0,505.0,505.0,435728900
2021-12-22,505.0,510.0,496.0,505.0,505.0,413002900
2021-12-23,505.0,515.0,494.0,500.0,500.0,496897500
2021-12-24,505.0,505.0,494.0,498.0,498.0,357598500
2021-12-27,498.0,510.0,494.0,500.0,500.0,520019700
2021-12-28,505.0,530.0,500.0,500.0,500.0,423009300
2021-12-29,505.0,520.0,500.0,510.0,510.0,330072900
2021-12-30,510.0,520.0,498.0,515.0,515.0,393591400
2022-01-03,515.0,520.0,494.0,498.0,498.0,372989200
2022-01-04,498.0,505.0,490.0,500.0,500.0,427821500
2022-01-05,500.0,520.0,498.0,510.0,510.0,312740800
2022-01-06,510.0,515.0,494.0,498.0,498.0,364293700
2022-01-07,498.0,505.0,496.0,500.0,500.0,306180000
