Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,87.0,87.0,81.0,81.0,81.0,18111400
2021-12-02,76.0,87.0,76.0,80.0,80.0,44850600
2021-12-03,81.0,85.0,79.0,80.0,80.0,13123400
2021-12-06,81.0,87.0,80.0,82.0,82.0,87359400
2021-12-07,78.0,83.0,78.0,79.0,79.0,15681800
2021-12-08,77.0,85.0,77.0,82.0,82.0,53982300
2021-12-09,83.0,85.0,80.0,82.0,82.0,33300700
2021-12-10,82.0,84.0,81.0,82.0,82.0,7855200
2021-12-13,81.0,86.0,81.0,82.0,82.0,47208000
2021-12-14,82.0,82.0,80.0,81.0,81.0,7307300
2021-12-15,81.0,87.0,80.0,84.0,84.0,55419000
2021-12-16,82.0,93.0,82.0,93.0,93.0,269305200
2021-12-17,93.0,105.0,92.0,99.0,99.0,208240600
2021-12-20,100.0,102.0,93.0,93.0,93.0,43565200
2021-12-21,93.0,97.0,87.0,90.0,90.0,78150000
2021-12-22,88.0,96.0,88.0,90.0,90.0,43233100
2021-12-23,91.0,114.0,89.0,109.0,109.0,345001100
2021-12-24,110.0,118.0,102.0,102.0,102.0,184396900
2021-12-27,95.0,117.0,95.0,105.0,105.0,260769900
2021-12-28,106.0,110.0,103.0,104.0,104.0,43672800
2021-12-29,105.0,107.0,97.0,98.0,98.0,33221200
2021-12-30,98.0,106.0,94.0,98.0,98.0,81992700
2022-01-03,93.0,101.0,93.0,98.0,98.0,24300400
2022-01-04,98.0,104.0,98.0,102.0,102.0,45003000
2022-01-05,103.0,104.0,96.0,98.0,98.0,27573000
2022-01-06,97.0,101.0,93.0,94.0,94.0,45171300
2022-01-07,95.0,96.0,88.0,88.0,88.0,24737200
