Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,166.0,177.0,163.0,166.0,166.0,352500
2021-12-02,172.0,177.0,167.0,174.0,174.0,47500
2021-12-03,175.0,185.0,172.0,175.0,175.0,19100
2021-12-06,175.0,180.0,172.0,175.0,175.0,113300
2021-12-07,173.0,178.0,165.0,177.0,177.0,106000
2021-12-08,177.0,177.0,167.0,167.0,167.0,63700
2021-12-09,167.0,178.0,167.0,174.0,174.0,111700
2021-12-10,173.0,174.0,169.0,169.0,169.0,54600
2021-12-13,169.0,177.0,169.0,176.0,176.0,200400
2021-12-14,176.0,178.0,169.0,169.0,169.0,22200
2021-12-15,170.0,179.0,169.0,174.0,174.0,128100
2021-12-16,175.0,177.0,171.0,176.0,176.0,52700
2021-12-17,170.0,178.0,170.0,178.0,178.0,121300
2021-12-20,177.0,177.0,170.0,175.0,175.0,139000
2021-12-21,174.0,175.0,166.0,174.0,174.0,164500
2021-12-22,174.0,174.0,171.0,174.0,174.0,17500
2021-12-23,174.0,174.0,163.0,171.0,171.0,24300
2021-12-24,173.0,173.0,165.0,169.0,169.0,12100
2021-12-27,169.0,171.0,164.0,169.0,169.0,15700
2021-12-28,169.0,169.0,161.0,169.0,169.0,5600
2021-12-29,166.0,169.0,161.0,169.0,169.0,71300
2021-12-30,169.0,177.0,162.0,175.0,175.0,113200
2022-01-03,175.0,175.0,170.0,174.0,174.0,21700
2022-01-04,175.0,175.0,169.0,174.0,174.0,31900
2022-01-05,174.0,174.0,170.0,171.0,171.0,10500
2022-01-06,173.0,173.0,165.0,172.0,172.0,12000
2022-01-07,172.0,172.0,169.0,172.0,172.0,400
