Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,1540.0,1540.0,1440.0,1500.0,1500.0,355800
2021-01-05,1495.0,1495.0,1395.0,1395.0,1395.0,2794400
2021-01-06,1395.0,1400.0,1300.0,1305.0,1305.0,4577300
2021-01-07,1305.0,1340.0,1250.0,1305.0,1305.0,1218500
2021-01-08,1325.0,1330.0,1275.0,1295.0,1295.0,620100
2021-01-11,1295.0,1340.0,1295.0,1340.0,1340.0,804900
2021-01-12,1350.0,1380.0,1325.0,1345.0,1345.0,1719100
2021-01-13,1350.0,1380.0,1340.0,1375.0,1375.0,1138000
2021-01-14,1385.0,1385.0,1365.0,1380.0,1380.0,475300
2021-01-15,1380.0,1400.0,1340.0,1370.0,1370.0,386500
2021-01-18,1375.0,1380.0,1355.0,1375.0,1375.0,694000
2021-01-19,1375.0,1375.0,1345.0,1370.0,1370.0,801100
2021-01-20,1360.0,1375.0,1360.0,1375.0,1375.0,458900
2021-01-21,1380.0,1405.0,1370.0,1400.0,1400.0,458200
2021-01-22,1410.0,1450.0,1400.0,1415.0,1415.0,788600
2021-01-25,1430.0,1430.0,1350.0,1420.0,1420.0,465700
2021-01-26,1420.0,1420.0,1355.0,1375.0,1375.0,329800
2021-01-27,1360.0,1370.0,1280.0,1355.0,1355.0,286300
2021-01-28,1330.0,1345.0,1285.0,1315.0,1315.0,888600
2021-01-29,1315.0,1350.0,1290.0,1350.0,1350.0,240400
2021-02-01,1350.0,1395.0,1270.0,1395.0,1395.0,343700
2021-02-02,1400.0,1410.0,1350.0,1410.0,1410.0,134500
2021-02-03,1410.0,1440.0,1395.0,1425.0,1425.0,898900
2021-02-04,1400.0,1440.0,1400.0,1435.0,1435.0,206700
2021-02-05,1435.0,1450.0,1415.0,1440.0,1440.0,268100
2021-02-08,1455.0,1540.0,1430.0,1540.0,1540.0,460700
2021-02-09,1530.0,1600.0,1470.0,1600.0,1600.0,840000
2021-02-10,1600.0,1690.0,1600.0,1690.0,1690.0,417600
2021-02-11,1660.0,1700.0,1600.0,1600.0,1600.0,448900
2021-02-15,1640.0,1660.0,1545.0,1580.0,1580.0,157800
2021-02-16,1600.0,1640.0,1595.0,1635.0,1635.0,239400
2021-02-17,1600.0,1630.0,1595.0,1610.0,1610.0,498400
2021-02-18,1590.0,1630.0,1590.0,1610.0,1610.0,76300
2021-02-19,1610.0,1610.0,1580.0,1600.0,1600.0,626600
2021-02-22,1600.0,1600.0,1560.0,1570.0,1570.0,250600
2021-02-23,1570.0,1600.0,1505.0,1560.0,1560.0,246100
2021-02-24,1560.0,1600.0,1560.0,1595.0,1595.0,271200
2021-02-25,1580.0,1600.0,1580.0,1595.0,1595.0,349200
2021-02-26,1575.0,1585.0,1550.0,1575.0,1575.0,488300
2021-03-01,1575.0,1580.0,1560.0,1580.0,1580.0,151300
2021-03-02,1585.0,1605.0,1580.0,1600.0,1600.0,1686700
