Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,700.0,850.0,655.0,850.0,850.0,386100
2021-01-05,840.0,840.0,795.0,795.0,795.0,144500
2021-01-06,740.0,830.0,740.0,830.0,830.0,244800
2021-01-07,775.0,775.0,775.0,775.0,775.0,81000
2021-01-08,725.0,725.0,725.0,725.0,725.0,84800
2021-01-11,695.0,695.0,675.0,675.0,675.0,356400
2021-01-12,630.0,630.0,630.0,630.0,630.0,473700
2021-01-13,630.0,780.0,590.0,780.0,780.0,596500
2021-01-14,730.0,730.0,730.0,730.0,730.0,157400
2021-01-15,680.0,680.0,680.0,680.0,680.0,184800
2021-01-18,635.0,635.0,635.0,635.0,635.0,211500
2021-01-19,595.0,595.0,595.0,595.0,595.0,244300
2021-01-20,555.0,570.0,555.0,570.0,570.0,666900
2021-01-21,535.0,535.0,535.0,535.0,535.0,229000
2021-01-22,500.0,665.0,498.0,665.0,665.0,528200
2021-01-25,620.0,620.0,620.0,620.0,620.0,26800
2021-01-26,580.0,580.0,580.0,580.0,580.0,115000
2021-01-27,540.0,540.0,540.0,540.0,540.0,14400
2021-01-28,540.0,540.0,505.0,505.0,505.0,80000
2021-01-29,470.0,470.0,470.0,470.0,470.0,259700
2021-02-01,440.0,440.0,438.0,438.0,438.0,466400
2021-02-02,408.0,498.0,408.0,498.0,498.0,1164900
2021-02-03,464.0,464.0,464.0,464.0,464.0,388000
2021-02-04,432.0,545.0,432.0,545.0,545.0,327100
2021-02-05,510.0,510.0,510.0,510.0,510.0,31800
2021-02-08,510.0,510.0,476.0,476.0,476.0,130300
2021-02-09,444.0,444.0,444.0,444.0,444.0,361600
2021-02-10,414.0,414.0,414.0,414.0,414.0,257100
2021-02-11,414.0,414.0,386.0,386.0,386.0,678200
2021-02-15,386.0,386.0,360.0,360.0,360.0,838100
2021-02-16,336.0,338.0,336.0,336.0,336.0,1076600
2021-02-17,330.0,330.0,314.0,314.0,314.0,637900
2021-02-18,294.0,294.0,294.0,294.0,294.0,371900
2021-02-19,274.0,274.0,274.0,274.0,274.0,262600
2021-02-22,256.0,260.0,256.0,256.0,256.0,177000
2021-02-23,240.0,296.0,240.0,270.0,270.0,2248500
2021-02-24,270.0,326.0,270.0,294.0,294.0,6013200
2021-02-25,302.0,318.0,290.0,292.0,292.0,1958500
2021-02-26,292.0,292.0,276.0,282.0,282.0,1110700
2021-03-01,284.0,284.0,266.0,272.0,272.0,869800
2021-03-02,274.0,280.0,256.0,262.0,262.0,954600
2021-03-03,262.0,280.0,248.0,248.0,248.0,741600
2021-03-04,248.0,264.0,248.0,260.0,260.0,518500
2021-03-05,260.0,270.0,248.0,270.0,270.0,557700
2021-03-08,282.0,320.0,270.0,282.0,282.0,8664200
2021-03-09,282.0,288.0,268.0,270.0,270.0,2421500
