Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,110.0,116.0,105.0,105.0,105.0,674675000
2021-12-02,102.0,107.0,98.0,98.0,98.0,1056422000
2021-12-03,99.0,103.0,92.0,96.0,96.0,832709200
2021-12-06,96.0,98.0,90.0,91.0,91.0,789078500
2021-12-07,91.0,109.0,91.0,104.0,104.0,2418647100
2021-12-08,105.0,116.0,105.0,110.0,110.0,1646647100
2021-12-09,112.0,115.0,105.0,109.0,109.0,923653600
2021-12-10,109.0,118.0,105.0,114.0,114.0,1223854400
2021-12-13,116.0,120.0,112.0,115.0,115.0,742622600
2021-12-14,116.0,116.0,107.0,109.0,109.0,638980900
2021-12-15,110.0,112.0,106.0,110.0,110.0,372878500
2021-12-16,112.0,112.0,104.0,108.0,108.0,304658200
2021-12-17,108.0,108.0,104.0,104.0,104.0,162407100
2021-12-20,104.0,110.0,101.0,105.0,105.0,352289600
2021-12-21,105.0,107.0,103.0,104.0,104.0,182761600
2021-12-22,105.0,110.0,103.0,105.0,105.0,563991900
2021-12-23,106.0,108.0,103.0,104.0,104.0,252195600
2021-12-24,104.0,106.0,97.0,98.0,98.0,460149300
2021-12-27,98.0,102.0,96.0,99.0,99.0,262897100
2021-12-28,100.0,100.0,95.0,96.0,96.0,213654500
2021-12-29,96.0,97.0,93.0,96.0,96.0,193111600
2021-12-30,97.0,98.0,95.0,95.0,95.0,110971100
2022-01-03,96.0,104.0,94.0,104.0,104.0,555056300
2022-01-04,105.0,108.0,99.0,100.0,100.0,434036600
2022-01-05,100.0,103.0,97.0,100.0,100.0,116118400
2022-01-06,101.0,101.0,96.0,97.0,97.0,161566000
2022-01-07,98.0,99.0,96.0,96.0,96.0,112327800
