Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,282.0,316.0,278.0,284.0,284.0,24219300
2021-12-02,284.0,350.0,280.0,346.0,346.0,77594300
2021-12-03,346.0,386.0,322.0,322.0,322.0,49840200
2021-12-06,322.0,322.0,300.0,300.0,300.0,3315500
2021-12-07,316.0,324.0,280.0,280.0,280.0,5482000
2021-12-08,282.0,282.0,266.0,268.0,268.0,1731000
2021-12-09,268.0,282.0,266.0,276.0,276.0,900000
2021-12-10,276.0,276.0,268.0,274.0,274.0,313100
2021-12-13,274.0,276.0,268.0,272.0,272.0,619500
2021-12-14,272.0,272.0,266.0,272.0,272.0,353700
2021-12-15,272.0,286.0,268.0,276.0,276.0,1168500
2021-12-16,284.0,286.0,270.0,286.0,286.0,1169800
2021-12-17,288.0,296.0,288.0,290.0,290.0,3225000
2021-12-20,296.0,296.0,290.0,296.0,296.0,1361200
2021-12-21,294.0,296.0,292.0,296.0,296.0,623800
2021-12-22,294.0,308.0,294.0,304.0,304.0,2201300
2021-12-23,304.0,310.0,302.0,308.0,308.0,1284100
2021-12-24,308.0,308.0,304.0,304.0,304.0,470100
2021-12-27,308.0,332.0,302.0,332.0,332.0,3067200
2021-12-28,334.0,338.0,310.0,310.0,310.0,3122500
2021-12-29,290.0,290.0,290.0,290.0,290.0,717600
2021-12-30,270.0,318.0,270.0,312.0,312.0,11319900
2022-01-03,310.0,338.0,292.0,292.0,292.0,56321200
2022-01-04,272.0,286.0,272.0,272.0,272.0,4788500
2022-01-05,276.0,276.0,258.0,260.0,260.0,1763700
2022-01-06,260.0,260.0,252.0,252.0,252.0,814000
2022-01-07,256.0,262.0,242.0,246.0,246.0,871000
