Date,Open,High,Low,Close,Adj Close,Volume
2021-01-06,525.0,525.0,525.0,525.0,525.0,1100
2021-01-07,655.0,655.0,655.0,655.0,655.0,100
2021-01-08,815.0,815.0,815.0,815.0,815.0,3500
2021-01-11,1015.0,1015.0,1015.0,1015.0,1015.0,7400
2021-01-12,1265.0,1265.0,1265.0,1265.0,1265.0,6900
2021-01-13,1455.0,1580.0,1455.0,1580.0,1580.0,30700
2021-01-14,1975.0,1975.0,1970.0,1975.0,1975.0,29500
2021-01-15,2460.0,2460.0,2460.0,2460.0,2460.0,15800
2021-01-18,2820.0,3070.0,2820.0,3070.0,3070.0,994200
2021-01-19,3070.0,3070.0,3070.0,3070.0,3070.0,0
2021-01-20,3070.0,3830.0,3070.0,3830.0,3830.0,335900
2021-01-21,4300.0,4780.0,4300.0,4780.0,4780.0,98600
2021-01-22,4780.0,4780.0,4780.0,4780.0,4780.0,0
2021-01-28,4790.0,5975.0,4780.0,5975.0,5975.0,488000
2021-01-29,6550.0,7150.0,6500.0,7150.0,7150.0,109400
2021-02-01,7700.0,8575.0,7700.0,8575.0,8575.0,137900
2021-02-02,9450.0,10275.0,7975.0,7975.0,7975.0,296500
2021-02-03,7425.0,7425.0,7425.0,7425.0,7425.0,34000
2021-02-04,6925.0,8875.0,6925.0,7025.0,7025.0,838600
2021-02-05,7050.0,8425.0,7050.0,8250.0,8250.0,494500
2021-02-08,8500.0,9850.0,8350.0,9300.0,9300.0,302900
2021-02-09,9300.0,10300.0,9300.0,10200.0,10200.0,383200
2021-02-10,10300.0,12225.0,10300.0,12225.0,12225.0,286100
2021-02-11,12225.0,12225.0,12225.0,12225.0,12225.0,0
2021-03-18,12000.0,12000.0,11375.0,11375.0,11375.0,41300
2021-03-19,10600.0,10600.0,10600.0,10600.0,10600.0,3500
2021-03-22,9875.0,12200.0,9875.0,12200.0,12200.0,278200
2021-03-23,12300.0,12325.0,11350.0,11475.0,11475.0,50300
2021-03-24,10975.0,11275.0,10675.0,11275.0,11275.0,18500
2021-03-25,11275.0,11275.0,10500.0,10700.0,10700.0,9500
2021-03-26,10700.0,11950.0,10700.0,11775.0,11775.0,32700
2021-03-29,11775.0,11775.0,10975.0,11200.0,11200.0,12600
2021-03-30,11200.0,11200.0,10475.0,11200.0,11200.0,4900
2021-03-31,11100.0,11100.0,10500.0,10525.0,10525.0,11400
2021-04-01,10525.0,11275.0,10525.0,11275.0,11275.0,3000
2021-04-05,11200.0,11275.0,11200.0,11275.0,11275.0,12200
2021-04-06,11225.0,11500.0,11225.0,11350.0,11350.0,24200
2021-04-07,11350.0,11400.0,11000.0,11325.0,11325.0,19200
2021-04-08,11400.0,11750.0,11400.0,11750.0,11750.0,17300
2021-04-09,11775.0,11800.0,11775.0,11800.0,11800.0,1600
2021-04-12,11750.0,11750.0,11750.0,11750.0,11750.0,1000
2021-04-13,11500.0,11500.0,11100.0,11200.0,11200.0,6000
2021-04-14,11200.0,11825.0,11200.0,11825.0,11825.0,5300
2021-04-15,11875.0,11875.0,11625.0,11625.0,11625.0,14000
2021-04-16,11625.0,11800.0,11400.0,11800.0,11800.0,13700
2021-04-19,11775.0,12400.0,11775.0,12300.0,12300.0,13100
2021-04-20,12200.0,12300.0,11950.0,12000.0,12000.0,1900
2021-04-21,12000.0,12000.0,12000.0,12000.0,12000.0,200
2021-04-22,12000.0,12000.0,12000.0,12000.0,12000.0,500
2021-04-23,12100.0,12150.0,12050.0,12050.0,12050.0,1200
2021-04-26,12050.0,12600.0,12050.0,12500.0,12500.0,3900
2021-04-27,12500.0,12800.0,12375.0,12375.0,12375.0,4200
2021-04-28,12375.0,12375.0,11525.0,11950.0,11950.0,4000
2021-04-29,11950.0,11950.0,11875.0,11875.0,11875.0,2900
2021-04-30,11875.0,11875.0,11375.0,11375.0,11375.0,600
2021-05-03,11375.0,11375.0,11375.0,11375.0,11375.0,1400
2021-05-04,11400.0,11425.0,10700.0,10700.0,10700.0,1400
2021-05-05,10700.0,11950.0,10700.0,11925.0,11925.0,5400
2021-05-06,11900.0,11900.0,11900.0,11900.0,11900.0,700
2021-05-07,11700.0,11900.0,11150.0,11825.0,11825.0,2300
2021-05-10,11825.0,11825.0,11825.0,11825.0,11825.0,200
2021-05-11,11750.0,11750.0,11700.0,11700.0,11700.0,300
2021-05-17,11700.0,11700.0,11675.0,11675.0,11675.0,1900
2021-05-18,10875.0,11000.0,10875.0,11000.0,11000.0,10300
2021-05-19,11000.0,11975.0,11000.0,11975.0,11975.0,4600
2021-05-20,11900.0,11900.0,11225.0,11800.0,11800.0,5100
2021-05-21,11800.0,11800.0,11500.0,11500.0,11500.0,3500
2021-05-24,11650.0,11900.0,11600.0,11700.0,11700.0,6400
2021-05-25,11700.0,11700.0,11700.0,11700.0,11700.0,1100
2021-05-27,11700.0,11700.0,11700.0,11700.0,11700.0,0
2021-05-28,11325.0,11475.0,11075.0,11475.0,11475.0,900
2021-05-31,11375.0,13750.0,11375.0,13750.0,13750.0,18400
2021-06-02,13825.0,16500.0,13775.0,16500.0,16500.0,32100
2021-06-03,16575.0,19800.0,16575.0,19800.0,19800.0,54000
2021-06-04,21350.0,23750.0,21350.0,23750.0,23750.0,27700
2021-06-07,23800.0,28500.0,23800.0,28500.0,28500.0,18000
2021-06-08,30400.0,34200.0,30400.0,34200.0,34200.0,41100
2021-06-09,35000.0,41025.0,31825.0,36200.0,36200.0,204300
2021-06-10,36450.0,43250.0,36300.0,41000.0,41000.0,108800
2021-06-11,41100.0,49200.0,41100.0,43200.0,43200.0,182100
2021-06-14,43325.0,51500.0,43300.0,50250.0,50250.0,195800
2021-06-15,50250.0,50250.0,50250.0,50250.0,50250.0,0
2021-06-16,50500.0,60300.0,50250.0,59000.0,59000.0,172000
2021-06-17,59000.0,59000.0,59000.0,59000.0,59000.0,0
2021-08-12,58775.0,58775.0,54875.0,54875.0,54875.0,5300
2021-08-13,51050.0,51050.0,51050.0,51050.0,51050.0,1900
2021-08-16,47500.0,47500.0,47500.0,47500.0,47500.0,1600
2021-08-18,44175.0,44175.0,44175.0,44175.0,44175.0,4000
2021-08-19,43925.0,43925.0,41100.0,41100.0,41100.0,3600
2021-08-20,39000.0,39000.0,38225.0,38225.0,38225.0,13800
2021-08-23,35650.0,35650.0,35550.0,35550.0,35550.0,6700
2021-08-24,33075.0,39100.0,33075.0,39100.0,39100.0,102400
2021-08-25,39250.0,43000.0,39250.0,43000.0,43000.0,10100
2021-08-26,44100.0,47300.0,43000.0,47275.0,47275.0,123200
2021-08-27,47300.0,51500.0,47275.0,50675.0,50675.0,97400
2021-08-30,51000.0,53000.0,47300.0,50675.0,50675.0,58400
2021-08-31,50675.0,50800.0,49500.0,50700.0,50700.0,36300
2021-09-01,51000.0,51000.0,49250.0,49250.0,49250.0,10600
2021-09-02,49300.0,49500.0,48000.0,48000.0,48000.0,13900
2021-09-03,48000.0,48000.0,46025.0,46025.0,46025.0,8100
2021-09-06,45800.0,46025.0,42825.0,42825.0,42825.0,25100
2021-09-07,42825.0,42825.0,39850.0,40400.0,40400.0,24100
2021-09-08,40375.0,44425.0,40300.0,44425.0,44425.0,22800
2021-09-09,45000.0,48500.0,45000.0,47000.0,47000.0,23000
2021-09-10,47200.0,47400.0,44000.0,44500.0,44500.0,15000
2021-09-13,44500.0,44500.0,43725.0,43725.0,43725.0,4600
2021-09-14,43500.0,46750.0,43475.0,46000.0,46000.0,12300
2021-09-15,46000.0,47000.0,46000.0,46250.0,46250.0,18300
2021-09-16,46250.0,46300.0,44500.0,44750.0,44750.0,4900
2021-09-17,44750.0,50000.0,44750.0,48900.0,48900.0,41000
2021-09-20,48900.0,49800.0,45500.0,45525.0,45525.0,28200
2021-09-21,45550.0,46425.0,45550.0,45700.0,45700.0,10200
2021-09-22,45700.0,46900.0,45000.0,45075.0,45075.0,13400
2021-09-23,45075.0,46800.0,45050.0,46750.0,46750.0,7200
2021-09-24,46750.0,47250.0,46500.0,47250.0,47250.0,18200
2021-09-27,47250.0,47575.0,47000.0,47000.0,47000.0,3000
2021-09-28,47000.0,47600.0,46750.0,47600.0,47600.0,3700
2021-09-29,47600.0,47600.0,46500.0,46500.0,46500.0,4300
2021-09-30,46500.0,46500.0,45800.0,45800.0,45800.0,5100
2021-10-01,45800.0,46400.0,45225.0,45900.0,45900.0,5500
2021-10-04,45800.0,47500.0,45600.0,46800.0,46800.0,5500
2021-10-05,46800.0,46800.0,45500.0,45525.0,45525.0,6600
2021-10-06,45525.0,45525.0,45500.0,45525.0,45525.0,10600
2021-10-07,45500.0,46450.0,45000.0,46450.0,46450.0,3800
2021-10-08,46425.0,46425.0,46125.0,46125.0,46125.0,1000
2021-10-11,46100.0,46100.0,45000.0,45000.0,45000.0,3200
2021-10-12,45000.0,45200.0,44800.0,45000.0,45000.0,6800
2021-10-13,45000.0,47000.0,45000.0,46925.0,46925.0,11600
2021-10-14,46925.0,46925.0,46000.0,46000.0,46000.0,1200
2021-10-15,46000.0,46000.0,45975.0,46000.0,46000.0,1300
2021-10-18,46000.0,47500.0,45750.0,47200.0,47200.0,11700
2021-10-19,47200.0,47200.0,46975.0,46975.0,46975.0,700
2021-10-21,46975.0,46975.0,46100.0,46100.0,46100.0,3300
2021-10-22,47000.0,48000.0,46500.0,47550.0,47550.0,21200
2021-10-25,47550.0,47950.0,47400.0,47650.0,47650.0,4400
2021-10-26,47600.0,47625.0,47500.0,47500.0,47500.0,2000
2021-10-27,47250.0,47250.0,45725.0,46000.0,46000.0,5400
2021-10-28,46400.0,46525.0,46400.0,46525.0,46525.0,2800
2021-10-29,46600.0,47300.0,46600.0,47200.0,47200.0,1800
2021-11-01,47200.0,47200.0,47100.0,47200.0,47200.0,2700
2021-11-02,47200.0,47200.0,46975.0,46975.0,46975.0,2600
2021-11-03,46900.0,48000.0,46800.0,47800.0,47800.0,12200
2021-11-04,47725.0,47725.0,47725.0,47725.0,47725.0,500
