Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,50.0,50.0,50.0,50.0,50.0,12900
2021-01-05,50.0,50.0,50.0,50.0,50.0,0
2021-01-06,50.0,50.0,50.0,50.0,50.0,170500
2021-01-07,50.0,50.0,50.0,50.0,50.0,1100
2021-01-08,50.0,50.0,50.0,50.0,50.0,2500
2021-01-11,50.0,50.0,50.0,50.0,50.0,3500
2021-01-12,50.0,50.0,50.0,50.0,50.0,5800
2021-01-13,50.0,50.0,50.0,50.0,50.0,3900
2021-01-14,50.0,50.0,50.0,50.0,50.0,32000
2021-01-15,50.0,50.0,50.0,50.0,50.0,453200
2021-01-18,50.0,57.0,50.0,51.0,51.0,125436000
2021-01-19,52.0,53.0,50.0,50.0,50.0,28483900
2021-01-20,50.0,50.0,50.0,50.0,50.0,421300
2021-01-21,50.0,50.0,50.0,50.0,50.0,11400
2021-01-22,50.0,50.0,50.0,50.0,50.0,3800
2021-01-26,50.0,50.0,50.0,50.0,50.0,1035100
2021-01-27,50.0,50.0,50.0,50.0,50.0,100
2021-01-28,50.0,50.0,50.0,50.0,50.0,700
2021-02-01,50.0,50.0,50.0,50.0,50.0,300
2021-02-02,50.0,50.0,50.0,50.0,50.0,20500
2021-02-03,50.0,50.0,50.0,50.0,50.0,10300
2021-02-04,50.0,50.0,50.0,50.0,50.0,200
2021-02-05,50.0,50.0,50.0,50.0,50.0,18010800
2021-02-08,50.0,50.0,50.0,50.0,50.0,332900
2021-02-09,50.0,50.0,50.0,50.0,50.0,4965500
2021-02-10,50.0,50.0,50.0,50.0,50.0,1600600
2021-02-11,50.0,50.0,50.0,50.0,50.0,2243000
2021-02-15,50.0,50.0,50.0,50.0,50.0,527400
2021-02-16,50.0,50.0,50.0,50.0,50.0,1010100
2021-02-17,50.0,50.0,50.0,50.0,50.0,19019700
2021-02-18,50.0,50.0,50.0,50.0,50.0,91200
2021-02-19,50.0,50.0,50.0,50.0,50.0,13006100
2021-02-22,50.0,50.0,50.0,50.0,50.0,13413700
2021-02-23,50.0,50.0,50.0,50.0,50.0,527700
2021-02-24,50.0,50.0,50.0,50.0,50.0,1300
2021-02-25,50.0,50.0,50.0,50.0,50.0,15200
2021-02-26,50.0,50.0,50.0,50.0,50.0,57300
2021-03-01,50.0,50.0,50.0,50.0,50.0,13445600
2021-03-02,50.0,50.0,50.0,50.0,50.0,363600
2021-03-03,50.0,50.0,50.0,50.0,50.0,100400
2021-03-04,50.0,50.0,50.0,50.0,50.0,40600
2021-03-05,50.0,50.0,50.0,50.0,50.0,3431500
2021-03-08,50.0,50.0,50.0,50.0,50.0,10100
2021-03-09,50.0,50.0,50.0,50.0,50.0,14600
2021-03-10,50.0,50.0,50.0,50.0,50.0,236100
2021-03-12,50.0,50.0,50.0,50.0,50.0,157100
2021-03-15,50.0,50.0,50.0,50.0,50.0,3057300
2021-03-16,50.0,50.0,50.0,50.0,50.0,4861900
2021-03-17,50.0,50.0,50.0,50.0,50.0,4500
2021-03-18,50.0,50.0,50.0,50.0,50.0,1752200
2021-03-19,50.0,50.0,50.0,50.0,50.0,2059300
2021-03-22,50.0,50.0,50.0,50.0,50.0,78700
2021-03-23,50.0,50.0,50.0,50.0,50.0,304400
2021-03-24,50.0,50.0,50.0,50.0,50.0,1022700
2021-03-25,50.0,54.0,50.0,50.0,50.0,54376300
2021-03-26,50.0,56.0,50.0,53.0,53.0,92447200
2021-03-29,53.0,69.0,53.0,55.0,55.0,761423100
