Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,166.0,167.0,159.0,164.0,164.0,3692100
2021-12-02,164.0,166.0,163.0,166.0,166.0,970200
2021-12-03,166.0,169.0,163.0,169.0,169.0,868300
2021-12-06,169.0,169.0,163.0,165.0,165.0,1195200
2021-12-07,165.0,166.0,163.0,166.0,166.0,1167600
2021-12-08,167.0,167.0,163.0,166.0,166.0,1514400
2021-12-09,166.0,166.0,163.0,166.0,166.0,2562100
2021-12-10,166.0,166.0,163.0,164.0,164.0,841300
2021-12-13,163.0,166.0,163.0,164.0,164.0,944100
2021-12-14,164.0,166.0,164.0,164.0,164.0,1038500
2021-12-15,166.0,168.0,163.0,167.0,167.0,1934700
2021-12-16,167.0,168.0,163.0,167.0,167.0,659000
2021-12-17,167.0,167.0,164.0,166.0,166.0,589100
2021-12-20,166.0,166.0,162.0,164.0,164.0,1294500
2021-12-21,164.0,164.0,161.0,164.0,164.0,3234500
2021-12-22,163.0,163.0,159.0,159.0,159.0,1287400
2021-12-23,159.0,159.0,155.0,157.0,157.0,1714500
2021-12-24,157.0,157.0,154.0,157.0,157.0,1319400
2021-12-27,157.0,157.0,150.0,150.0,150.0,24360600
2021-12-28,151.0,152.0,149.0,152.0,152.0,23667300
2021-12-29,153.0,154.0,150.0,154.0,154.0,2553200
2021-12-30,153.0,156.0,150.0,156.0,156.0,10380400
2022-01-03,156.0,158.0,149.0,154.0,154.0,8518800
2022-01-04,152.0,153.0,149.0,150.0,150.0,6027000
2022-01-05,150.0,152.0,147.0,151.0,151.0,5040000
2022-01-06,151.0,151.0,149.0,151.0,151.0,2973100
2022-01-07,151.0,151.0,149.0,150.0,150.0,5079100
