Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,850.0,850.0,840.0,850.0,850.0,6700
2021-12-02,850.0,850.0,845.0,850.0,850.0,9600
2021-12-03,850.0,855.0,840.0,850.0,850.0,10000
2021-12-06,860.0,860.0,840.0,845.0,845.0,10500
2021-12-07,845.0,845.0,840.0,845.0,845.0,2300
2021-12-08,845.0,845.0,825.0,840.0,840.0,12300
2021-12-09,840.0,840.0,840.0,840.0,840.0,12600
2021-12-10,830.0,840.0,830.0,840.0,840.0,2300
2021-12-13,840.0,865.0,830.0,850.0,850.0,25700
2021-12-14,855.0,930.0,850.0,885.0,885.0,348300
2021-12-15,895.0,920.0,890.0,890.0,890.0,81100
2021-12-16,890.0,890.0,830.0,845.0,845.0,202100
2021-12-17,850.0,865.0,850.0,850.0,850.0,19300
2021-12-20,850.0,870.0,840.0,845.0,845.0,79300
2021-12-21,845.0,870.0,835.0,860.0,860.0,21200
2021-12-22,865.0,865.0,840.0,840.0,840.0,15600
2021-12-23,840.0,1050.0,835.0,965.0,965.0,1504200
2021-12-24,965.0,980.0,900.0,905.0,905.0,734400
2021-12-27,910.0,910.0,860.0,890.0,890.0,132900
2021-12-28,890.0,890.0,865.0,885.0,885.0,74200
2021-12-29,885.0,885.0,865.0,880.0,880.0,29200
2021-12-30,880.0,910.0,865.0,875.0,875.0,36900
2022-01-03,875.0,910.0,855.0,905.0,905.0,113300
2022-01-04,905.0,910.0,890.0,905.0,905.0,41800
2022-01-05,905.0,905.0,880.0,880.0,880.0,18900
2022-01-06,875.0,885.0,860.0,885.0,885.0,23500
2022-01-07,885.0,890.0,870.0,885.0,885.0,11200
