Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,175.0,184.0,169.0,184.0,184.0,237700
2021-01-05,185.0,185.0,175.0,180.0,180.0,173400
2021-01-06,180.0,182.0,179.0,179.0,179.0,226500
2021-01-07,179.0,184.0,179.0,184.0,184.0,255700
2021-01-08,184.0,185.0,182.0,183.0,183.0,102200
2021-01-11,183.0,183.0,181.0,181.0,181.0,31300
2021-01-12,182.0,182.0,181.0,181.0,181.0,73000
2021-01-13,182.0,184.0,179.0,183.0,183.0,34400
2021-01-14,183.0,199.0,183.0,183.0,183.0,2138200
2021-01-15,185.0,186.0,182.0,182.0,182.0,287000
2021-01-18,180.0,186.0,180.0,182.0,182.0,156500
2021-01-19,185.0,185.0,179.0,184.0,184.0,75500
2021-01-20,184.0,185.0,180.0,181.0,181.0,58300
2021-01-21,180.0,180.0,177.0,179.0,179.0,82700
2021-01-22,179.0,181.0,177.0,180.0,180.0,16400
2021-01-25,180.0,185.0,180.0,183.0,183.0,54500
2021-01-26,185.0,185.0,172.0,180.0,180.0,15000
2021-01-27,173.0,180.0,172.0,172.0,172.0,105700
2021-01-28,172.0,182.0,168.0,168.0,168.0,18300
2021-01-29,168.0,174.0,166.0,171.0,171.0,12000
2021-02-01,171.0,171.0,161.0,171.0,171.0,40900
2021-02-02,171.0,171.0,168.0,171.0,171.0,93300
2021-02-03,170.0,171.0,170.0,171.0,171.0,57400
2021-02-04,171.0,171.0,169.0,169.0,169.0,51700
2021-02-05,170.0,171.0,169.0,171.0,171.0,45100
2021-02-08,171.0,184.0,171.0,180.0,180.0,219500
2021-02-09,179.0,186.0,179.0,181.0,181.0,108200
2021-02-10,181.0,181.0,175.0,175.0,175.0,31500
2021-02-11,175.0,185.0,175.0,182.0,182.0,4400
2021-02-15,182.0,182.0,172.0,181.0,181.0,6500
2021-02-16,181.0,181.0,175.0,180.0,180.0,21700
2021-02-17,187.0,242.0,185.0,232.0,232.0,12828000
2021-02-18,240.0,276.0,216.0,216.0,216.0,6858400
2021-02-19,218.0,218.0,202.0,202.0,202.0,997600
2021-02-22,197.0,197.0,188.0,188.0,188.0,1028300
2021-02-23,188.0,196.0,176.0,181.0,181.0,1031500
2021-02-24,188.0,228.0,183.0,204.0,204.0,3157000
2021-02-25,206.0,254.0,200.0,230.0,230.0,9733000
2021-02-26,230.0,276.0,216.0,228.0,228.0,9281300
2021-03-01,238.0,284.0,226.0,284.0,284.0,8216700
2021-03-02,310.0,354.0,294.0,352.0,352.0,60400500
2021-03-03,352.0,440.0,352.0,440.0,440.0,80309200
2021-03-04,450.0,535.0,428.0,452.0,452.0,134407600
2021-03-05,460.0,460.0,422.0,422.0,422.0,3875700
2021-03-08,394.0,394.0,394.0,394.0,394.0,1315400
2021-03-09,368.0,368.0,368.0,368.0,368.0,538100
2021-03-10,344.0,344.0,344.0,344.0,344.0,562700
2021-03-12,320.0,352.0,320.0,320.0,320.0,39349800
2021-03-15,300.0,320.0,298.0,298.0,298.0,7830100
2021-03-16,278.0,278.0,278.0,278.0,278.0,1395100
2021-03-17,260.0,276.0,260.0,260.0,260.0,34691000
2021-03-18,242.0,266.0,242.0,242.0,242.0,22893500
2021-03-19,240.0,240.0,226.0,230.0,230.0,14948700
2021-03-22,240.0,252.0,226.0,234.0,234.0,11464200
2021-03-23,246.0,246.0,224.0,228.0,228.0,7789100
2021-03-24,248.0,276.0,214.0,238.0,238.0,172070100
2021-03-25,242.0,254.0,222.0,222.0,222.0,32724300
2021-03-26,208.0,220.0,208.0,210.0,210.0,11092900
2021-03-29,210.0,218.0,196.0,196.0,196.0,11100000
2021-03-30,192.0,214.0,190.0,196.0,196.0,20347300
2021-03-31,196.0,200.0,188.0,189.0,189.0,4898800
2021-04-01,189.0,193.0,186.0,188.0,188.0,2639100
2021-04-05,179.0,198.0,179.0,185.0,185.0,3825900
2021-04-06,175.0,188.0,175.0,185.0,185.0,4125200
2021-04-07,185.0,210.0,184.0,199.0,199.0,12782300
2021-04-08,199.0,256.0,199.0,228.0,228.0,84259200
2021-04-09,228.0,232.0,214.0,214.0,214.0,15404500
2021-04-12,214.0,222.0,204.0,204.0,204.0,3637100
2021-04-13,204.0,210.0,197.0,198.0,198.0,1933700
2021-04-14,195.0,226.0,195.0,204.0,204.0,7433400
2021-04-15,204.0,214.0,198.0,199.0,199.0,3392500
2021-04-16,200.0,212.0,198.0,200.0,200.0,4005800
2021-04-19,204.0,204.0,194.0,195.0,195.0,1575800
2021-04-20,196.0,199.0,191.0,197.0,197.0,1335500
2021-04-21,197.0,202.0,193.0,194.0,194.0,1265700
2021-04-22,193.0,198.0,191.0,192.0,192.0,1296300
2021-04-23,195.0,195.0,188.0,191.0,191.0,1516400
2021-04-26,193.0,195.0,187.0,188.0,188.0,1325500
2021-04-27,188.0,192.0,185.0,188.0,188.0,1030100
2021-04-28,188.0,188.0,180.0,185.0,185.0,1790100
2021-04-29,185.0,196.0,182.0,194.0,194.0,2420800
2021-04-30,184.0,199.0,184.0,191.0,191.0,1106600
2021-05-03,185.0,199.0,185.0,195.0,195.0,2372900
2021-05-04,195.0,248.0,195.0,230.0,230.0,72040500
2021-05-05,232.0,234.0,214.0,214.0,214.0,15399300
2021-05-06,200.0,214.0,200.0,202.0,202.0,11375300
2021-05-07,202.0,218.0,200.0,202.0,202.0,9230900
2021-05-10,200.0,206.0,198.0,204.0,204.0,1575500
2021-05-11,202.0,206.0,200.0,204.0,204.0,2035900
2021-05-17,204.0,204.0,198.0,198.0,198.0,1482100
2021-05-18,198.0,198.0,193.0,194.0,194.0,2694700
2021-05-19,192.0,198.0,192.0,192.0,192.0,905900
2021-05-20,190.0,197.0,190.0,192.0,192.0,669300
2021-05-21,190.0,216.0,190.0,197.0,197.0,6517000
2021-05-24,197.0,208.0,195.0,196.0,196.0,1915100
2021-05-25,196.0,198.0,194.0,195.0,195.0,1030900
2021-05-27,197.0,212.0,195.0,200.0,200.0,2823900
2021-05-28,206.0,254.0,200.0,228.0,228.0,45597200
2021-05-31,228.0,284.0,214.0,254.0,254.0,125228200
2021-06-02,240.0,262.0,238.0,242.0,242.0,19508500
2021-06-03,226.0,246.0,226.0,234.0,234.0,3967900
2021-06-04,218.0,246.0,218.0,240.0,240.0,5969000
2021-06-07,242.0,266.0,240.0,260.0,260.0,19258800
2021-06-08,264.0,272.0,246.0,252.0,252.0,13985700
2021-06-09,254.0,268.0,242.0,266.0,266.0,13325400
2021-06-10,268.0,296.0,268.0,276.0,276.0,49482300
2021-06-11,278.0,282.0,258.0,258.0,258.0,16031500
2021-06-14,240.0,258.0,240.0,240.0,240.0,8732000
2021-06-15,224.0,252.0,224.0,230.0,230.0,5193100
2021-06-16,214.0,234.0,214.0,222.0,222.0,3204200
2021-06-17,218.0,226.0,208.0,210.0,210.0,7284400
2021-06-18,208.0,220.0,200.0,206.0,206.0,5545300
2021-06-21,206.0,218.0,200.0,204.0,204.0,3803200
2021-06-22,206.0,220.0,204.0,212.0,212.0,4394900
2021-06-23,212.0,224.0,208.0,224.0,224.0,8465600
2021-06-24,226.0,234.0,212.0,218.0,218.0,4444900
2021-06-25,208.0,220.0,206.0,214.0,214.0,1683500
2021-06-28,214.0,214.0,206.0,210.0,210.0,858600
2021-06-29,210.0,210.0,202.0,204.0,204.0,2149200
2021-06-30,204.0,214.0,202.0,206.0,206.0,1784500
2021-07-01,206.0,210.0,202.0,204.0,204.0,762900
2021-07-02,204.0,208.0,202.0,204.0,204.0,792300
2021-07-05,208.0,210.0,202.0,204.0,204.0,2094900
2021-07-06,204.0,206.0,202.0,202.0,202.0,2650600
2021-07-07,204.0,220.0,202.0,216.0,216.0,15103700
2021-07-08,218.0,252.0,216.0,236.0,236.0,42165400
2021-07-09,240.0,246.0,222.0,224.0,224.0,11730100
2021-07-12,226.0,240.0,226.0,232.0,232.0,11229400
2021-07-13,242.0,290.0,238.0,290.0,290.0,187711600
2021-07-14,300.0,324.0,270.0,270.0,270.0,63716100
2021-07-15,258.0,258.0,252.0,252.0,252.0,3150800
2021-07-16,242.0,274.0,236.0,244.0,244.0,29983900
2021-07-19,242.0,252.0,232.0,236.0,236.0,9829800
2021-07-21,236.0,254.0,236.0,248.0,248.0,11115900
2021-07-22,250.0,258.0,244.0,244.0,244.0,9375300
2021-07-23,246.0,250.0,228.0,236.0,236.0,11064600
2021-07-26,236.0,246.0,222.0,238.0,238.0,7118600
2021-07-27,238.0,242.0,234.0,234.0,234.0,3078600
2021-07-28,234.0,250.0,228.0,248.0,248.0,20434100
2021-07-29,248.0,256.0,238.0,242.0,242.0,8143500
2021-07-30,242.0,256.0,238.0,248.0,248.0,14293200
2021-08-02,250.0,266.0,250.0,254.0,254.0,12546900
2021-08-03,256.0,274.0,254.0,274.0,274.0,35311100
2021-08-04,278.0,304.0,276.0,294.0,294.0,49454600
2021-08-05,298.0,316.0,276.0,284.0,284.0,46468000
2021-08-06,290.0,354.0,288.0,354.0,354.0,68662600
2021-08-09,390.0,442.0,370.0,416.0,416.0,281690900
2021-08-10,420.0,424.0,388.0,388.0,388.0,21461300
2021-08-12,388.0,388.0,362.0,362.0,362.0,2873200
2021-08-13,350.0,362.0,338.0,338.0,338.0,3000700
2021-08-16,320.0,336.0,316.0,316.0,316.0,3717700
2021-08-18,316.0,316.0,294.0,294.0,294.0,24833800
2021-08-19,274.0,284.0,274.0,274.0,274.0,21657100
2021-08-20,256.0,324.0,256.0,284.0,284.0,55306700
2021-08-23,280.0,324.0,276.0,322.0,322.0,51842400
2021-08-24,328.0,402.0,324.0,358.0,358.0,209173300
