Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,610.0,640.0,590.0,640.0,626.440673828125,16205900
2021-01-05,640.0,710.0,635.0,685.0,670.4872436523438,86798000
2021-01-06,695.0,720.0,640.0,670.0,655.8050537109375,58446000
2021-01-07,670.0,710.0,660.0,665.0,650.9110107421875,44346500
2021-01-08,665.0,680.0,640.0,650.0,636.2288208007812,21688400
2021-01-11,650.0,660.0,635.0,635.0,621.5465698242188,13913400
2021-01-12,635.0,655.0,605.0,615.0,601.9703369140625,24649400
2021-01-13,615.0,670.0,615.0,670.0,655.8050537109375,49196400
2021-01-14,670.0,675.0,645.0,660.0,646.0169067382812,24130100
2021-01-15,660.0,665.0,630.0,640.0,626.440673828125,21965600
2021-01-18,640.0,640.0,610.0,615.0,601.9703369140625,17648000
2021-01-19,615.0,650.0,590.0,600.0,587.2881469726562,39862800
2021-01-20,595.0,600.0,585.0,590.0,577.5,26598700
2021-01-21,590.0,630.0,590.0,610.0,597.0762329101562,49900700
2021-01-22,610.0,620.0,575.0,585.0,572.6058959960938,28271400
2021-01-25,580.0,585.0,550.0,555.0,543.2415161132812,16335700
2021-01-26,550.0,590.0,540.0,545.0,533.453369140625,32014200
2021-01-27,545.0,580.0,530.0,580.0,567.7118530273438,32162900
2021-01-28,590.0,610.0,545.0,555.0,543.2415161132812,27337900
2021-01-29,555.0,565.0,535.0,555.0,543.2415161132812,17925600
2021-02-01,555.0,575.0,545.0,575.0,562.8177490234375,25261100
2021-02-02,575.0,595.0,565.0,565.0,553.0296630859375,26876800
2021-02-03,565.0,585.0,560.0,580.0,567.7118530273438,22377800
2021-02-04,580.0,585.0,565.0,580.0,567.7118530273438,21575700
2021-02-05,580.0,600.0,580.0,585.0,572.6058959960938,20425900
2021-02-08,585.0,595.0,580.0,595.0,582.39404296875,22166000
2021-02-09,595.0,615.0,585.0,600.0,587.2881469726562,31445700
2021-02-10,600.0,605.0,580.0,580.0,567.7118530273438,20518700
2021-02-11,580.0,595.0,575.0,585.0,572.6058959960938,23786200
2021-02-15,580.0,600.0,580.0,590.0,577.5,19409600
2021-02-16,590.0,620.0,590.0,600.0,587.2881469726562,27158400
2021-02-17,600.0,600.0,575.0,580.0,567.7118530273438,12995900
2021-02-18,580.0,590.0,570.0,575.0,562.8177490234375,15926900
2021-02-19,570.0,590.0,555.0,585.0,572.6058959960938,21731700
2021-02-22,585.0,605.0,580.0,595.0,582.39404296875,26405900
2021-02-23,595.0,610.0,595.0,600.0,587.2881469726562,20994100
2021-02-24,600.0,615.0,585.0,595.0,582.39404296875,27762000
2021-02-25,595.0,600.0,585.0,590.0,577.5,19464700
2021-02-26,585.0,590.0,560.0,560.0,548.1355590820312,15795300
2021-03-01,560.0,580.0,560.0,570.0,557.9237060546875,20302800
2021-03-02,570.0,585.0,565.0,570.0,557.9237060546875,22206900
2021-03-03,570.0,570.0,555.0,565.0,553.0296630859375,12999600
2021-03-04,560.0,570.0,555.0,565.0,553.0296630859375,7575500
2021-03-05,560.0,575.0,560.0,570.0,557.9237060546875,19906800
2021-03-08,575.0,610.0,570.0,610.0,597.0762329101562,59626500
2021-03-09,615.0,645.0,605.0,615.0,601.9703369140625,71759200
2021-03-10,615.0,630.0,615.0,620.0,606.8643798828125,26694000
2021-03-12,620.0,655.0,620.0,650.0,636.2288208007812,47277900
