Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,73.0,82.0,73.0,81.0,81.0,12000800
2021-12-02,82.0,83.0,81.0,81.0,81.0,6964400
2021-12-03,81.0,83.0,80.0,80.0,80.0,2412800
2021-12-06,80.0,80.0,77.0,77.0,77.0,5837300
2021-12-07,75.0,80.0,75.0,78.0,78.0,3454800
2021-12-08,76.0,80.0,75.0,77.0,77.0,8207300
2021-12-09,78.0,79.0,76.0,78.0,78.0,3127100
2021-12-10,78.0,80.0,77.0,78.0,78.0,8944500
2021-12-13,79.0,79.0,77.0,77.0,77.0,5158300
2021-12-14,78.0,79.0,77.0,78.0,78.0,2989800
2021-12-15,78.0,79.0,77.0,78.0,78.0,1716100
2021-12-16,78.0,78.0,76.0,77.0,77.0,3351900
2021-12-17,79.0,83.0,76.0,77.0,77.0,21140800
2021-12-20,77.0,85.0,76.0,78.0,78.0,80214500
2021-12-21,78.0,79.0,76.0,78.0,78.0,13339000
2021-12-22,78.0,79.0,75.0,77.0,77.0,11822900
2021-12-23,77.0,78.0,75.0,75.0,75.0,4727600
2021-12-24,76.0,81.0,75.0,78.0,78.0,40931400
2021-12-27,78.0,83.0,77.0,78.0,78.0,45884500
2021-12-28,78.0,80.0,77.0,77.0,77.0,16813000
2021-12-29,78.0,78.0,76.0,76.0,76.0,6467300
2021-12-30,76.0,78.0,75.0,75.0,75.0,6489900
2022-01-03,76.0,79.0,75.0,77.0,77.0,12815700
2022-01-04,78.0,83.0,77.0,79.0,79.0,41354100
2022-01-05,79.0,80.0,77.0,78.0,78.0,6911400
2022-01-06,78.0,79.0,77.0,78.0,78.0,5519600
2022-01-07,78.0,79.0,77.0,77.0,77.0,3913000
