Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,50.0,50.0,50.0,50.0,50.0,0
2021-01-26,50.0,50.0,50.0,50.0,50.0,2215800
2021-01-27,50.0,50.0,50.0,50.0,50.0,168000
2021-01-28,50.0,50.0,50.0,50.0,50.0,34700
2021-01-29,50.0,50.0,50.0,50.0,50.0,1600
2021-02-01,50.0,50.0,50.0,50.0,50.0,5000
2021-02-02,50.0,50.0,50.0,50.0,50.0,17900
2021-02-03,50.0,50.0,50.0,50.0,50.0,24600
2021-02-04,50.0,50.0,50.0,50.0,50.0,426400
2021-02-05,50.0,50.0,50.0,50.0,50.0,255800
2021-02-08,50.0,50.0,50.0,50.0,50.0,13500
2021-02-09,50.0,50.0,50.0,50.0,50.0,600
2021-02-10,50.0,50.0,50.0,50.0,50.0,4500
2021-02-11,50.0,50.0,50.0,50.0,50.0,400
2021-02-15,50.0,50.0,50.0,50.0,50.0,16600
2021-02-16,50.0,50.0,50.0,50.0,50.0,10700
2021-02-17,50.0,50.0,50.0,50.0,50.0,5200
2021-02-18,50.0,50.0,50.0,50.0,50.0,98000
2021-02-19,50.0,50.0,50.0,50.0,50.0,60200
2021-02-22,50.0,50.0,50.0,50.0,50.0,720500
2021-02-24,50.0,50.0,50.0,50.0,50.0,700
2021-02-25,50.0,50.0,50.0,50.0,50.0,39100
2021-03-01,50.0,50.0,50.0,50.0,50.0,15100
2021-03-02,50.0,50.0,50.0,50.0,50.0,70000
2021-03-03,50.0,50.0,50.0,50.0,50.0,10200
2021-03-04,50.0,50.0,50.0,50.0,50.0,38000
2021-03-05,50.0,50.0,50.0,50.0,50.0,7200
2021-03-08,50.0,50.0,50.0,50.0,50.0,706300
2021-03-09,50.0,50.0,50.0,50.0,50.0,1500
2021-03-10,50.0,50.0,50.0,50.0,50.0,40300
2021-03-12,50.0,50.0,50.0,50.0,50.0,600500
2021-03-16,50.0,50.0,50.0,50.0,50.0,123400
2021-03-17,50.0,50.0,50.0,50.0,50.0,300
2021-03-18,50.0,50.0,50.0,50.0,50.0,1100
2021-03-19,50.0,50.0,50.0,50.0,50.0,200000
2021-03-22,50.0,50.0,50.0,50.0,50.0,48200
2021-03-23,50.0,50.0,50.0,50.0,50.0,4600
2021-03-24,50.0,50.0,50.0,50.0,50.0,5400
2021-03-25,50.0,50.0,50.0,50.0,50.0,884600
2021-03-26,50.0,50.0,50.0,50.0,50.0,200
2021-03-29,50.0,50.0,50.0,50.0,50.0,100
2021-03-30,50.0,50.0,50.0,50.0,50.0,1900
2021-03-31,50.0,50.0,50.0,50.0,50.0,500
2021-04-01,50.0,50.0,50.0,50.0,50.0,800
2021-04-05,50.0,50.0,50.0,50.0,50.0,6000
2021-04-06,50.0,50.0,50.0,50.0,50.0,1008000
2021-04-07,50.0,50.0,50.0,50.0,50.0,70100
2021-04-08,50.0,50.0,50.0,50.0,50.0,4300
2021-04-09,50.0,50.0,50.0,50.0,50.0,8300
2021-04-16,50.0,50.0,50.0,50.0,50.0,1200
2021-04-19,50.0,50.0,50.0,50.0,50.0,16500
2021-04-20,50.0,50.0,50.0,50.0,50.0,1000
2021-04-26,50.0,50.0,50.0,50.0,50.0,545300
2021-04-29,50.0,50.0,50.0,50.0,50.0,900
2021-04-30,50.0,50.0,50.0,50.0,50.0,600000
2021-05-03,50.0,50.0,50.0,50.0,50.0,2500
