Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,51.0,51.0,50.0,50.0,50.0,5234600
2021-12-02,50.0,50.0,50.0,50.0,50.0,2237600
2021-12-03,50.0,50.0,50.0,50.0,50.0,766700
2021-12-06,50.0,51.0,50.0,51.0,51.0,1491300
2021-12-07,51.0,51.0,50.0,50.0,50.0,2841800
2021-12-08,50.0,51.0,50.0,50.0,50.0,1259100
2021-12-09,50.0,51.0,50.0,50.0,50.0,902800
2021-12-10,50.0,64.0,50.0,53.0,53.0,346992000
2021-12-13,54.0,58.0,52.0,53.0,53.0,68175500
2021-12-14,53.0,57.0,52.0,54.0,54.0,86381900
2021-12-15,55.0,56.0,51.0,51.0,51.0,35479500
2021-12-16,51.0,53.0,51.0,52.0,52.0,18543900
2021-12-17,52.0,57.0,51.0,53.0,53.0,43291100
2021-12-20,54.0,66.0,53.0,58.0,58.0,402881900
2021-12-21,59.0,61.0,55.0,56.0,56.0,120569100
2021-12-22,58.0,58.0,54.0,54.0,54.0,50935800
2021-12-23,55.0,56.0,53.0,54.0,54.0,20945300
2021-12-24,54.0,59.0,53.0,57.0,57.0,54665900
2021-12-27,59.0,60.0,55.0,56.0,56.0,39046200
2021-12-28,56.0,59.0,53.0,53.0,53.0,80712600
2021-12-29,53.0,55.0,52.0,52.0,52.0,28160000
2021-12-30,52.0,54.0,50.0,51.0,51.0,36971400
2022-01-03,51.0,52.0,50.0,51.0,51.0,15855900
2022-01-04,51.0,52.0,50.0,50.0,50.0,9347200
2022-01-05,51.0,67.0,50.0,67.0,67.0,1089211500
2022-01-06,76.0,81.0,63.0,63.0,63.0,656527800
2022-01-07,59.0,63.0,59.0,59.0,59.0,122672500
