Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,450.0,484.0,424.0,484.0,472.9599914550781,248147500
2021-01-05,480.0,490.0,466.0,478.0,467.09686279296875,115131000
2021-01-06,472.0,476.0,446.0,460.0,449.5074462890625,201053500
2021-01-07,470.0,476.0,462.0,464.0,453.41619873046875,75127000
2021-01-08,470.0,474.0,464.0,474.0,463.1881103515625,91719500
2021-01-11,476.0,482.0,458.0,464.0,453.41619873046875,107274500
2021-01-12,466.0,520.0,460.0,518.0,506.1844482421875,285177500
2021-01-13,524.0,530.0,506.0,520.0,508.13885498046875,125067500
2021-01-14,520.0,534.0,510.0,526.0,514.001953125,85413000
2021-01-15,530.0,532.0,504.0,518.0,506.1844482421875,97603000
2021-01-18,508.0,524.0,484.0,500.0,488.59503173828125,127117000
2021-01-19,500.0,504.0,480.0,490.0,478.8231506347656,122131000
2021-01-20,492.0,520.0,492.0,520.0,508.13885498046875,90449000
2021-01-21,524.0,530.0,506.0,510.0,498.366943359375,74928500
2021-01-22,510.0,512.0,488.0,492.0,480.77752685546875,76410500
2021-01-25,492.0,566.0,472.0,564.0,551.1351928710938,340296500
2021-01-26,560.0,562.0,534.0,536.0,523.7738647460938,234226500
2021-01-27,526.0,544.0,500.0,534.0,521.8195190429688,155038000
2021-01-28,524.0,572.0,512.0,544.0,531.5914306640625,265447500
2021-01-29,550.0,570.0,530.0,554.0,541.36328125,131923000
2021-02-01,554.0,564.0,540.0,552.0,539.408935546875,93126000
2021-02-02,560.0,582.0,532.0,538.0,525.728271484375,143006000
2021-02-03,542.0,586.0,538.0,552.0,539.408935546875,156818000
2021-02-04,550.0,562.0,532.0,536.0,523.7738647460938,140916500
2021-02-05,540.0,550.0,532.0,536.0,523.7738647460938,49258500
2021-02-08,542.0,544.0,532.0,540.0,527.6826171875,52420000
2021-02-09,548.0,570.0,546.0,566.0,553.089599609375,163264000
2021-02-10,572.0,606.0,560.0,560.0,547.2264404296875,279537000
2021-02-11,562.0,566.0,550.0,554.0,541.36328125,49298000
2021-02-15,558.0,566.0,550.0,566.0,553.089599609375,42634500
2021-02-16,566.0,576.0,558.0,574.0,560.9071044921875,61017000
2021-02-17,574.0,574.0,552.0,556.0,543.3176879882812,69557500
2021-02-18,560.0,564.0,538.0,540.0,527.6826171875,78125500
2021-02-19,538.0,546.0,522.0,534.0,521.8195190429688,66833000
2021-02-22,538.0,552.0,528.0,546.0,533.5457763671875,87678500
