Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,210.0,220.0,196.0,216.0,216.0,26285200
2021-01-05,216.0,222.0,208.0,212.0,212.0,18597200
2021-01-06,212.0,220.0,204.0,210.0,210.0,20361500
2021-01-07,214.0,228.0,210.0,228.0,228.0,39419600
2021-01-08,230.0,230.0,220.0,222.0,222.0,26695400
2021-01-11,222.0,226.0,214.0,218.0,218.0,17764900
2021-01-12,220.0,224.0,214.0,214.0,214.0,12449900
2021-01-13,214.0,218.0,212.0,214.0,214.0,13314800
2021-01-14,218.0,218.0,210.0,210.0,210.0,15243100
2021-01-15,210.0,216.0,202.0,206.0,206.0,21092100
2021-01-18,208.0,256.0,206.0,256.0,256.0,226382700
2021-01-19,268.0,270.0,240.0,240.0,240.0,113318100
2021-01-20,228.0,246.0,226.0,238.0,238.0,36535100
2021-01-21,238.0,268.0,232.0,268.0,268.0,168699200
2021-01-22,270.0,272.0,250.0,250.0,250.0,127958100
2021-01-25,248.0,250.0,234.0,234.0,234.0,42840600
2021-01-26,226.0,234.0,218.0,218.0,218.0,27735800
2021-01-27,214.0,216.0,204.0,204.0,204.0,61861600
2021-01-28,190.0,206.0,190.0,190.0,190.0,26981400
2021-01-29,190.0,196.0,177.0,191.0,191.0,27189400
2021-02-01,191.0,230.0,190.0,230.0,230.0,89805100
2021-02-02,230.0,248.0,222.0,230.0,230.0,65716400
2021-02-03,234.0,236.0,222.0,230.0,230.0,17617500
2021-02-04,228.0,240.0,222.0,238.0,238.0,46818600
2021-02-05,242.0,250.0,234.0,236.0,236.0,35175700
2021-02-08,238.0,240.0,234.0,238.0,238.0,28341000
2021-02-09,238.0,242.0,222.0,226.0,226.0,36188400
2021-02-10,230.0,232.0,212.0,218.0,218.0,32918000
2021-02-11,218.0,232.0,212.0,220.0,220.0,30940300
2021-02-15,222.0,224.0,218.0,220.0,220.0,10833400
2021-02-16,220.0,224.0,218.0,222.0,222.0,9412800
2021-02-17,224.0,228.0,218.0,218.0,218.0,16490400
2021-02-18,218.0,222.0,216.0,216.0,216.0,10209100
2021-02-19,214.0,236.0,212.0,230.0,230.0,72435100
2021-02-22,232.0,234.0,222.0,226.0,226.0,21021100
2021-02-23,226.0,230.0,222.0,222.0,222.0,8427300
2021-02-24,222.0,226.0,218.0,224.0,224.0,20778600
2021-02-25,226.0,228.0,218.0,220.0,220.0,12104800
2021-02-26,220.0,222.0,212.0,212.0,212.0,17073100
2021-03-01,212.0,220.0,212.0,214.0,214.0,9107100
2021-03-02,214.0,218.0,210.0,212.0,212.0,11703900
2021-03-03,212.0,214.0,206.0,208.0,208.0,11735000
2021-03-04,208.0,210.0,202.0,204.0,204.0,7628000
2021-03-05,200.0,220.0,200.0,220.0,220.0,32179600
2021-03-08,220.0,224.0,210.0,214.0,214.0,14139000
2021-03-09,212.0,216.0,208.0,212.0,212.0,7185600
2021-03-10,212.0,214.0,208.0,208.0,208.0,5297500
2021-03-12,208.0,220.0,208.0,220.0,220.0,20759600
2021-03-15,222.0,274.0,222.0,274.0,274.0,269813600
2021-03-16,290.0,298.0,258.0,266.0,266.0,160820300
2021-03-17,264.0,270.0,260.0,262.0,262.0,14056200
2021-03-18,264.0,304.0,262.0,298.0,298.0,269114800
2021-03-19,298.0,364.0,286.0,354.0,354.0,531035000
2021-03-22,354.0,366.0,330.0,330.0,330.0,180039400
2021-03-23,350.0,354.0,320.0,320.0,320.0,157712900
2021-03-24,322.0,342.0,304.0,326.0,326.0,116132100
2021-03-25,332.0,354.0,312.0,330.0,330.0,175984600
2021-03-26,332.0,374.0,326.0,368.0,368.0,229069000
2021-03-29,368.0,396.0,360.0,380.0,380.0,260716700
2021-03-30,382.0,384.0,358.0,360.0,360.0,105625900
2021-03-31,360.0,374.0,342.0,350.0,350.0,116457700
