Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,52.0,56.0,52.0,53.0,53.0,9400
2021-01-05,52.0,71.0,52.0,71.0,71.0,13817000
2021-01-06,73.0,86.0,67.0,68.0,68.0,37033100
2021-01-07,69.0,69.0,64.0,64.0,64.0,1983200
2021-01-08,64.0,67.0,60.0,60.0,60.0,1890400
2021-01-11,60.0,64.0,57.0,62.0,62.0,1417100
2021-01-12,64.0,67.0,62.0,65.0,65.0,1941700
2021-01-13,65.0,69.0,61.0,62.0,62.0,7948200
2021-01-14,62.0,62.0,60.0,61.0,61.0,215800
2021-01-15,62.0,63.0,61.0,62.0,62.0,311100
2021-01-18,63.0,65.0,61.0,65.0,65.0,1388500
2021-01-19,65.0,69.0,65.0,65.0,65.0,2587400
2021-01-20,66.0,70.0,65.0,70.0,70.0,733700
2021-01-21,72.0,80.0,68.0,80.0,80.0,4836400
2021-01-22,81.0,84.0,80.0,82.0,82.0,2267600
2021-01-25,82.0,86.0,79.0,86.0,86.0,1948300
2021-01-26,86.0,101.0,80.0,80.0,80.0,97050500
2021-01-27,75.0,75.0,75.0,75.0,75.0,53200
2021-01-28,70.0,70.0,70.0,70.0,70.0,22400
2021-01-29,66.0,66.0,66.0,66.0,66.0,25600
2021-02-01,62.0,77.0,62.0,77.0,77.0,10759000
2021-02-02,77.0,99.0,72.0,72.0,72.0,121485500
2021-02-03,67.0,70.0,67.0,67.0,67.0,4140200
2021-02-04,68.0,68.0,63.0,64.0,64.0,2189600
2021-02-05,64.0,66.0,61.0,63.0,63.0,747900
2021-02-08,60.0,65.0,60.0,64.0,64.0,511700
2021-02-09,65.0,73.0,61.0,70.0,70.0,5422900
2021-02-10,72.0,73.0,66.0,67.0,67.0,10591000
2021-02-11,68.0,71.0,67.0,71.0,71.0,1037200
2021-02-15,74.0,76.0,70.0,76.0,76.0,4401300
2021-02-16,78.0,96.0,71.0,72.0,72.0,63403400
2021-02-17,73.0,90.0,69.0,71.0,71.0,58080400
2021-02-18,72.0,76.0,69.0,73.0,73.0,8154600
2021-02-19,73.0,76.0,73.0,75.0,75.0,2631100
2021-02-22,74.0,95.0,74.0,78.0,78.0,78642000
2021-02-23,80.0,92.0,79.0,92.0,92.0,27034800
2021-02-24,92.0,104.0,86.0,88.0,88.0,100329800
2021-02-25,88.0,90.0,86.0,86.0,86.0,5723500
2021-02-26,87.0,88.0,86.0,86.0,86.0,5369500
2021-03-01,87.0,94.0,80.0,84.0,84.0,22337400
2021-03-02,85.0,86.0,84.0,85.0,85.0,3514600
2021-03-03,87.0,87.0,83.0,84.0,84.0,2745500
2021-03-04,85.0,85.0,81.0,83.0,83.0,1775600
2021-03-05,84.0,91.0,80.0,82.0,82.0,29559500
2021-03-08,82.0,85.0,81.0,82.0,82.0,4489100
2021-03-09,82.0,82.0,79.0,80.0,80.0,2200000
2021-03-10,81.0,81.0,79.0,80.0,80.0,1203800
2021-03-12,79.0,80.0,79.0,80.0,80.0,663200
2021-03-15,80.0,83.0,77.0,78.0,78.0,3645600
2021-03-16,79.0,80.0,77.0,79.0,79.0,510500
2021-03-17,80.0,81.0,79.0,81.0,81.0,933800
2021-03-18,81.0,82.0,79.0,80.0,80.0,1396800
2021-03-19,80.0,81.0,78.0,78.0,78.0,433500
2021-03-22,78.0,81.0,76.0,79.0,79.0,605800
2021-03-23,78.0,80.0,78.0,79.0,79.0,236400
2021-03-24,80.0,80.0,74.0,76.0,76.0,338300
2021-03-25,80.0,80.0,76.0,77.0,77.0,233400
2021-03-26,80.0,80.0,75.0,77.0,77.0,157500
2021-03-29,77.0,79.0,77.0,79.0,79.0,728700
2021-03-30,79.0,104.0,77.0,103.0,103.0,25179900
2021-03-31,103.0,124.0,96.0,96.0,96.0,98356600
2021-04-01,97.0,104.0,90.0,96.0,96.0,30354800
2021-04-05,96.0,116.0,94.0,96.0,96.0,74442700
2021-04-06,96.0,104.0,94.0,97.0,97.0,10799000
2021-04-07,97.0,100.0,93.0,96.0,96.0,5965200
2021-04-08,96.0,97.0,93.0,95.0,95.0,2142000
2021-04-09,95.0,97.0,94.0,97.0,97.0,1956100
2021-04-12,100.0,113.0,97.0,113.0,113.0,20233700
2021-04-13,116.0,148.0,106.0,106.0,106.0,132808900
2021-04-14,107.0,111.0,100.0,102.0,102.0,6304000
2021-04-15,103.0,108.0,98.0,106.0,106.0,7263600
2021-04-16,109.0,109.0,102.0,105.0,105.0,2740100
2021-04-19,106.0,109.0,99.0,104.0,104.0,4794400
2021-04-20,104.0,104.0,99.0,104.0,104.0,1920700
2021-04-21,105.0,138.0,105.0,115.0,115.0,124351800
2021-04-22,116.0,117.0,107.0,107.0,107.0,6990000
2021-04-23,100.0,107.0,100.0,104.0,104.0,3474500
2021-04-26,104.0,107.0,102.0,106.0,106.0,4121600
2021-04-27,106.0,114.0,103.0,111.0,111.0,11557700
2021-04-28,111.0,112.0,106.0,106.0,106.0,2849500
2021-04-29,106.0,109.0,104.0,108.0,108.0,2084200
2021-04-30,109.0,109.0,106.0,107.0,107.0,973900
2021-05-03,107.0,107.0,105.0,105.0,105.0,851300
2021-05-04,105.0,107.0,101.0,104.0,104.0,1323900
2021-05-05,104.0,108.0,104.0,106.0,106.0,1361600
2021-05-06,106.0,107.0,103.0,106.0,106.0,2080600
2021-05-07,106.0,108.0,105.0,105.0,105.0,975900
2021-05-10,106.0,107.0,105.0,107.0,107.0,1592300
2021-05-11,107.0,108.0,105.0,107.0,107.0,2475700
2021-05-17,107.0,114.0,106.0,108.0,108.0,5840600
2021-05-18,108.0,111.0,107.0,109.0,109.0,2856200
2021-05-19,109.0,110.0,107.0,110.0,110.0,3437700
2021-05-20,110.0,113.0,103.0,105.0,105.0,7673100
2021-05-21,105.0,120.0,98.0,100.0,100.0,82430200
2021-05-24,101.0,103.0,97.0,99.0,99.0,2485300
2021-05-25,93.0,99.0,93.0,98.0,98.0,1906800
2021-05-27,92.0,100.0,92.0,98.0,98.0,464900
2021-05-28,98.0,99.0,96.0,98.0,98.0,532600
2021-05-31,93.0,99.0,93.0,96.0,96.0,428600
2021-06-02,96.0,103.0,96.0,99.0,99.0,861500
2021-06-03,95.0,106.0,95.0,106.0,106.0,4761900
2021-06-04,105.0,136.0,105.0,108.0,108.0,127978700
2021-06-07,110.0,115.0,105.0,109.0,109.0,8297700
2021-06-08,109.0,110.0,105.0,105.0,105.0,2056600
2021-06-09,106.0,107.0,102.0,103.0,103.0,2186300
2021-06-10,103.0,106.0,101.0,103.0,103.0,1003000
2021-06-11,103.0,108.0,103.0,106.0,106.0,2867200
2021-06-14,106.0,111.0,102.0,111.0,111.0,4682500
2021-06-15,112.0,118.0,106.0,113.0,113.0,7065500
2021-06-16,113.0,123.0,110.0,111.0,111.0,19814900
2021-06-17,111.0,148.0,107.0,109.0,109.0,185595600
2021-06-18,109.0,109.0,102.0,107.0,107.0,10287600
2021-06-21,108.0,113.0,100.0,102.0,102.0,14792700
2021-06-22,101.0,104.0,101.0,101.0,101.0,1851600
2021-06-23,101.0,106.0,101.0,102.0,102.0,2135300
2021-06-24,105.0,106.0,102.0,103.0,103.0,1897800
2021-06-25,103.0,105.0,101.0,101.0,101.0,1035900
2021-06-28,102.0,103.0,100.0,100.0,100.0,620600
2021-06-29,100.0,102.0,98.0,100.0,100.0,671100
2021-06-30,100.0,100.0,98.0,99.0,99.0,766800
2021-07-01,99.0,100.0,97.0,99.0,99.0,466600
2021-07-02,99.0,102.0,99.0,100.0,100.0,566900
2021-07-05,100.0,101.0,98.0,100.0,100.0,369500
2021-07-06,99.0,100.0,97.0,100.0,100.0,289200
2021-07-07,100.0,101.0,98.0,100.0,100.0,282200
2021-07-08,99.0,100.0,98.0,99.0,99.0,341600
2021-07-09,99.0,100.0,98.0,99.0,99.0,382200
2021-07-12,99.0,103.0,97.0,99.0,99.0,1911900
2021-07-13,100.0,102.0,98.0,99.0,99.0,1450600
2021-07-14,99.0,100.0,97.0,100.0,100.0,338000
2021-07-15,100.0,100.0,98.0,99.0,99.0,386500
2021-07-16,99.0,100.0,98.0,98.0,98.0,246800
2021-07-19,98.0,99.0,98.0,98.0,98.0,260100
2021-07-21,99.0,99.0,98.0,99.0,99.0,187700
2021-07-22,99.0,103.0,99.0,102.0,102.0,2569800
2021-07-23,105.0,105.0,99.0,100.0,100.0,607300
2021-07-26,102.0,102.0,98.0,99.0,99.0,424900
2021-07-27,99.0,101.0,99.0,100.0,100.0,499700
2021-07-28,100.0,101.0,99.0,101.0,101.0,464200
2021-07-29,101.0,102.0,100.0,101.0,101.0,736900
2021-07-30,100.0,101.0,100.0,101.0,101.0,649900
2021-08-02,101.0,102.0,101.0,102.0,102.0,605900
2021-08-03,102.0,106.0,99.0,100.0,100.0,3253400
2021-08-04,100.0,107.0,99.0,105.0,105.0,3407300
2021-08-05,106.0,137.0,106.0,110.0,110.0,156442100
2021-08-06,110.0,115.0,105.0,109.0,109.0,4983200
2021-08-09,108.0,115.0,104.0,104.0,104.0,2883500
2021-08-10,105.0,109.0,103.0,104.0,104.0,627700
2021-08-12,104.0,109.0,103.0,105.0,105.0,1092000
2021-08-13,105.0,109.0,105.0,106.0,106.0,750300
2021-08-16,107.0,107.0,104.0,105.0,105.0,286700
2021-08-18,105.0,109.0,104.0,104.0,104.0,436900
2021-08-19,104.0,110.0,103.0,109.0,109.0,3071000
2021-08-20,109.0,112.0,104.0,106.0,106.0,4234900
2021-08-23,104.0,108.0,104.0,106.0,106.0,461200
2021-08-24,106.0,107.0,103.0,105.0,105.0,725400
2021-08-25,105.0,109.0,104.0,108.0,108.0,3679800
2021-08-26,108.0,108.0,105.0,105.0,105.0,769400
2021-08-27,106.0,117.0,105.0,114.0,114.0,11775000
2021-08-30,118.0,124.0,110.0,113.0,113.0,9890200
2021-08-31,113.0,113.0,106.0,110.0,110.0,1651400
2021-09-01,110.0,114.0,108.0,111.0,111.0,8767700
2021-09-02,112.0,114.0,108.0,112.0,112.0,2195900
2021-09-03,112.0,149.0,111.0,124.0,124.0,118159300
2021-09-06,124.0,129.0,116.0,125.0,125.0,19139300
2021-09-07,126.0,159.0,123.0,133.0,133.0,132237100
2021-09-08,138.0,138.0,126.0,130.0,130.0,9170900
2021-09-09,131.0,131.0,124.0,128.0,128.0,4658200
2021-09-10,128.0,130.0,123.0,126.0,126.0,2695200
2021-09-13,123.0,132.0,121.0,132.0,132.0,6431600
2021-09-14,132.0,176.0,130.0,153.0,153.0,187467900
2021-09-15,155.0,155.0,143.0,143.0,143.0,8941500
2021-09-16,143.0,145.0,135.0,140.0,140.0,6229600
2021-09-17,140.0,152.0,137.0,151.0,151.0,6995600
2021-09-20,154.0,164.0,141.0,145.0,145.0,36588100
2021-09-21,143.0,194.0,139.0,167.0,167.0,184506400
2021-09-22,168.0,174.0,158.0,163.0,163.0,18312600
2021-09-23,154.0,163.0,154.0,161.0,161.0,4269900
2021-09-24,161.0,170.0,160.0,160.0,160.0,5594400
2021-09-27,160.0,160.0,153.0,158.0,158.0,2563500
2021-09-28,160.0,167.0,154.0,155.0,155.0,6112300
2021-09-29,156.0,157.0,145.0,145.0,145.0,3783200
2021-09-30,145.0,151.0,139.0,140.0,140.0,2430900
2021-10-01,140.0,147.0,139.0,140.0,140.0,1630300
2021-10-04,140.0,145.0,133.0,141.0,141.0,3874700
2021-10-05,143.0,143.0,137.0,139.0,139.0,779000
2021-10-06,140.0,140.0,132.0,137.0,137.0,943300
2021-10-07,137.0,138.0,134.0,136.0,136.0,1419500
2021-10-08,137.0,141.0,134.0,135.0,135.0,1381200
2021-10-11,138.0,138.0,132.0,135.0,135.0,261100
2021-10-12,135.0,135.0,130.0,130.0,130.0,791300
2021-10-13,130.0,133.0,122.0,128.0,128.0,1503100
2021-10-14,129.0,136.0,128.0,129.0,129.0,1821900
2021-10-15,130.0,131.0,126.0,126.0,126.0,1208500
2021-10-18,128.0,131.0,128.0,129.0,129.0,707800
2021-10-19,129.0,134.0,127.0,128.0,128.0,956800
2021-10-21,129.0,131.0,127.0,127.0,127.0,183000
2021-10-22,128.0,131.0,126.0,127.0,127.0,451600
2021-10-25,128.0,129.0,125.0,126.0,126.0,209400
2021-10-26,126.0,135.0,126.0,128.0,128.0,704200
2021-10-27,128.0,129.0,124.0,128.0,128.0,628300
2021-10-28,128.0,131.0,125.0,127.0,127.0,534700
2021-10-29,129.0,157.0,128.0,135.0,135.0,49957300
2021-11-01,136.0,145.0,132.0,137.0,137.0,13434200
2021-11-02,137.0,142.0,135.0,135.0,135.0,2649800
2021-11-03,138.0,140.0,132.0,136.0,136.0,2657800
2021-11-04,136.0,140.0,135.0,140.0,140.0,1101500
2021-11-05,140.0,141.0,138.0,139.0,139.0,1451800
2021-11-08,139.0,139.0,133.0,137.0,137.0,1524500
2021-11-09,138.0,150.0,138.0,140.0,140.0,14651400
2021-11-10,143.0,148.0,139.0,142.0,142.0,6292200
2021-11-11,142.0,145.0,139.0,145.0,145.0,2063600
2021-11-12,145.0,148.0,143.0,146.0,146.0,3761300
2021-11-15,145.0,147.0,145.0,147.0,147.0,1674500
2021-11-16,148.0,196.0,148.0,162.0,162.0,165233900
2021-11-17,163.0,168.0,154.0,156.0,156.0,20874800
2021-11-18,156.0,159.0,152.0,155.0,155.0,3186700
2021-11-19,155.0,160.0,153.0,159.0,159.0,1664100
2021-11-22,161.0,161.0,150.0,153.0,153.0,1983200
2021-11-23,156.0,156.0,150.0,152.0,152.0,1189900
2021-11-24,151.0,152.0,147.0,148.0,148.0,1134300
2021-11-25,148.0,154.0,146.0,149.0,149.0,1484600
2021-11-26,149.0,150.0,145.0,146.0,146.0,832300
2021-11-29,148.0,150.0,146.0,147.0,147.0,1282300
2021-11-30,140.0,147.0,139.0,139.0,139.0,1546700
2021-12-01,140.0,141.0,133.0,137.0,137.0,839800
2021-12-02,138.0,145.0,136.0,136.0,136.0,3071600
2021-12-03,136.0,140.0,136.0,136.0,136.0,872600
2021-12-06,136.0,139.0,133.0,139.0,139.0,632200
2021-12-07,130.0,139.0,130.0,138.0,138.0,483400
2021-12-08,130.0,138.0,130.0,136.0,136.0,350900
2021-12-09,130.0,137.0,130.0,135.0,135.0,171700
2021-12-10,133.0,138.0,132.0,136.0,136.0,528800
2021-12-13,130.0,140.0,130.0,136.0,136.0,1084300
2021-12-14,130.0,137.0,130.0,134.0,134.0,990400
2021-12-15,131.0,150.0,131.0,141.0,141.0,30306200
2021-12-16,132.0,143.0,132.0,132.0,132.0,13015900
2021-12-17,123.0,123.0,123.0,123.0,123.0,2094800
2021-12-20,125.0,125.0,115.0,116.0,116.0,4970400
2021-12-21,117.0,119.0,113.0,114.0,114.0,1214500
2021-12-22,118.0,127.0,115.0,119.0,119.0,9788700
2021-12-23,120.0,122.0,115.0,117.0,117.0,2444100
2021-12-24,117.0,126.0,115.0,118.0,118.0,5419500
2021-12-27,118.0,122.0,117.0,117.0,117.0,1140500
2021-12-28,117.0,120.0,115.0,117.0,117.0,1547600
2021-12-29,117.0,118.0,115.0,118.0,118.0,693000
2021-12-30,118.0,118.0,114.0,116.0,116.0,747300
2022-01-03,109.0,119.0,109.0,113.0,113.0,1115900
2022-01-04,107.0,119.0,107.0,116.0,116.0,578800
2022-01-05,114.0,116.0,112.0,115.0,115.0,747600
