Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,1320.0,1320.0,1320.0,1320.0,1320.0,0
2021-01-18,1310.0,1340.0,1230.0,1230.0,1230.0,337400
2021-01-19,1145.0,1145.0,1145.0,1145.0,1145.0,71100
2021-01-20,1065.0,1065.0,1065.0,1065.0,1065.0,254200
2021-01-21,995.0,1015.0,995.0,995.0,995.0,1202800
2021-01-22,930.0,1195.0,930.0,950.0,950.0,86668000
2021-01-25,940.0,950.0,885.0,885.0,885.0,2265100
2021-01-26,870.0,870.0,825.0,825.0,825.0,572800
2021-01-27,770.0,770.0,770.0,770.0,770.0,196100
2021-01-28,720.0,720.0,720.0,720.0,720.0,308100
2021-01-29,670.0,670.0,670.0,670.0,670.0,286000
2021-02-01,625.0,625.0,625.0,625.0,625.0,974400
2021-02-02,625.0,755.0,585.0,585.0,585.0,46577000
2021-02-03,580.0,650.0,545.0,545.0,545.0,26038800
2021-02-04,525.0,550.0,510.0,510.0,510.0,14808100
2021-02-05,510.0,530.0,476.0,480.0,480.0,33434600
2021-02-08,480.0,600.0,478.0,600.0,600.0,44085200
2021-02-09,700.0,750.0,580.0,675.0,675.0,91259600
2021-02-10,670.0,765.0,670.0,710.0,710.0,29669700
2021-02-11,710.0,760.0,670.0,695.0,695.0,12336300
2021-02-15,680.0,720.0,660.0,675.0,675.0,8813400
2021-02-16,680.0,805.0,645.0,725.0,725.0,58660900
2021-02-17,725.0,765.0,680.0,710.0,710.0,13645300
2021-02-18,720.0,720.0,685.0,690.0,690.0,4673100
2021-02-19,700.0,720.0,665.0,680.0,680.0,6015500
2021-02-22,680.0,695.0,665.0,685.0,685.0,4808900
2021-02-23,655.0,800.0,655.0,790.0,790.0,35470900
2021-02-24,805.0,875.0,795.0,850.0,850.0,55026600
2021-02-25,825.0,850.0,795.0,795.0,795.0,20513800
2021-02-26,790.0,795.0,740.0,740.0,740.0,15656500
2021-03-01,725.0,775.0,710.0,755.0,755.0,8224300
2021-03-02,740.0,770.0,710.0,710.0,710.0,6967900
2021-03-03,670.0,755.0,670.0,705.0,705.0,11707200
2021-03-04,705.0,720.0,675.0,685.0,685.0,5503800
2021-03-05,700.0,720.0,650.0,650.0,650.0,11494600
2021-03-08,650.0,680.0,630.0,665.0,665.0,3783900
2021-03-09,685.0,695.0,625.0,625.0,625.0,7643300
2021-03-10,625.0,640.0,595.0,600.0,600.0,4460400
2021-03-12,620.0,670.0,600.0,645.0,645.0,11583100
2021-03-15,605.0,670.0,605.0,635.0,635.0,4338900
2021-03-16,635.0,645.0,620.0,630.0,630.0,2071400
2021-03-17,595.0,630.0,590.0,605.0,605.0,2937500
2021-03-18,575.0,650.0,575.0,625.0,625.0,5343600
2021-03-19,660.0,670.0,620.0,620.0,620.0,7925500
2021-03-22,640.0,655.0,625.0,640.0,640.0,4270900
2021-03-23,645.0,685.0,625.0,635.0,635.0,11000300
2021-03-24,600.0,635.0,600.0,610.0,610.0,2630800
2021-03-25,610.0,610.0,570.0,585.0,585.0,4197900
2021-03-26,580.0,610.0,580.0,605.0,605.0,2092500
2021-03-29,595.0,610.0,580.0,590.0,590.0,1849700
2021-03-30,590.0,590.0,550.0,550.0,550.0,3951100
2021-03-31,550.0,560.0,515.0,525.0,525.0,2926200
2021-04-01,540.0,540.0,496.0,515.0,515.0,2592300
2021-04-05,550.0,550.0,480.0,480.0,480.0,4305400
2021-04-06,482.0,492.0,472.0,478.0,478.0,2262300
2021-04-07,458.0,496.0,458.0,496.0,496.0,2418600
2021-04-08,478.0,525.0,478.0,505.0,505.0,3517100
2021-04-09,505.0,520.0,505.0,515.0,515.0,1540900
2021-04-12,515.0,520.0,488.0,492.0,492.0,1835000
2021-04-13,490.0,492.0,472.0,476.0,476.0,1893800
2021-04-14,476.0,486.0,472.0,476.0,476.0,871300
2021-04-15,476.0,595.0,476.0,595.0,595.0,26893000
2021-04-16,645.0,710.0,555.0,555.0,555.0,41326800
2021-04-19,585.0,645.0,565.0,565.0,565.0,17194000
2021-04-20,565.0,575.0,530.0,535.0,535.0,5946400
2021-04-21,535.0,565.0,510.0,525.0,525.0,2577400
2021-04-22,520.0,540.0,515.0,520.0,520.0,1347800
2021-04-23,490.0,530.0,490.0,505.0,505.0,2076900
2021-04-26,486.0,515.0,486.0,505.0,505.0,1972900
2021-04-27,500.0,545.0,496.0,520.0,520.0,4727800
2021-04-28,540.0,555.0,520.0,535.0,535.0,7947300
