Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,50.0,50.0,50.0,50.0,50.0,10300
2021-01-05,50.0,50.0,50.0,50.0,50.0,1200
2021-01-06,50.0,50.0,50.0,50.0,50.0,0
2021-01-07,50.0,50.0,50.0,50.0,50.0,5100
2021-01-11,50.0,50.0,50.0,50.0,50.0,144500
2021-01-12,50.0,50.0,50.0,50.0,50.0,3200
2021-01-13,50.0,50.0,50.0,50.0,50.0,200
2021-01-14,50.0,50.0,50.0,50.0,50.0,32500
2021-01-15,50.0,50.0,50.0,50.0,50.0,132600
2021-01-18,50.0,50.0,50.0,50.0,50.0,21200
2021-01-19,50.0,50.0,50.0,50.0,50.0,2100
2021-01-20,50.0,50.0,50.0,50.0,50.0,55200
2021-01-22,50.0,50.0,50.0,50.0,50.0,400
2021-01-25,50.0,50.0,50.0,50.0,50.0,9800
2021-01-26,50.0,50.0,50.0,50.0,50.0,7000
2021-01-27,50.0,50.0,50.0,50.0,50.0,9000
2021-01-29,50.0,50.0,50.0,50.0,50.0,2000
2021-02-03,50.0,50.0,50.0,50.0,50.0,300
2021-02-04,50.0,50.0,50.0,50.0,50.0,6000
2021-02-08,50.0,50.0,50.0,50.0,50.0,1500
2021-02-09,50.0,50.0,50.0,50.0,50.0,600
2021-02-10,50.0,50.0,50.0,50.0,50.0,1000
2021-02-11,50.0,50.0,50.0,50.0,50.0,10400
2021-02-17,50.0,50.0,50.0,50.0,50.0,700
2021-02-18,50.0,50.0,50.0,50.0,50.0,50200
2021-02-22,50.0,50.0,50.0,50.0,50.0,1300
2021-02-23,50.0,50.0,50.0,50.0,50.0,161200
2021-02-24,50.0,50.0,50.0,50.0,50.0,31000
2021-03-01,50.0,50.0,50.0,50.0,50.0,51000
2021-03-02,50.0,50.0,50.0,50.0,50.0,5000
2021-03-03,50.0,50.0,50.0,50.0,50.0,131500
2021-03-05,50.0,50.0,50.0,50.0,50.0,221300
2021-03-08,50.0,50.0,50.0,50.0,50.0,115500
2021-03-09,50.0,50.0,50.0,50.0,50.0,1600
2021-03-12,50.0,50.0,50.0,50.0,50.0,18200
2021-03-15,50.0,50.0,50.0,50.0,50.0,19200
2021-03-16,50.0,50.0,50.0,50.0,50.0,71500
2021-03-17,50.0,50.0,50.0,50.0,50.0,201400
2021-03-18,50.0,50.0,50.0,50.0,50.0,4500
2021-03-19,50.0,50.0,50.0,50.0,50.0,140600
2021-03-22,50.0,50.0,50.0,50.0,50.0,47200
2021-03-24,50.0,50.0,50.0,50.0,50.0,52300
2021-03-26,50.0,50.0,50.0,50.0,50.0,13100
2021-03-29,50.0,50.0,50.0,50.0,50.0,20200
2021-03-30,50.0,50.0,50.0,50.0,50.0,2558400
2021-03-31,50.0,50.0,50.0,50.0,50.0,34400
2021-04-01,50.0,50.0,50.0,50.0,50.0,3700
2021-04-06,50.0,50.0,50.0,50.0,50.0,100
2021-04-08,50.0,50.0,50.0,50.0,50.0,9900
2021-04-12,50.0,50.0,50.0,50.0,50.0,1100
2021-04-13,50.0,50.0,50.0,50.0,50.0,800
2021-04-14,50.0,50.0,50.0,50.0,50.0,10600
2021-04-16,50.0,50.0,50.0,50.0,50.0,151800
2021-04-19,50.0,50.0,50.0,50.0,50.0,101700
2021-04-20,50.0,50.0,50.0,50.0,50.0,13400
2021-04-21,50.0,50.0,50.0,50.0,50.0,2700
2021-04-22,50.0,50.0,50.0,50.0,50.0,20600
2021-04-26,50.0,50.0,50.0,50.0,50.0,4000
2021-04-29,50.0,50.0,50.0,50.0,50.0,8800
2021-05-03,50.0,50.0,50.0,50.0,50.0,21000
2021-05-07,50.0,50.0,50.0,50.0,50.0,10500
2021-05-10,50.0,50.0,50.0,50.0,50.0,1800
2021-05-19,50.0,50.0,50.0,50.0,50.0,50700
2021-05-20,50.0,50.0,50.0,50.0,50.0,500
2021-05-21,50.0,50.0,50.0,50.0,50.0,6200
2021-05-27,50.0,50.0,50.0,50.0,50.0,5800
2021-06-02,50.0,50.0,50.0,50.0,50.0,12000
2021-06-04,50.0,50.0,50.0,50.0,50.0,7200
2021-06-07,50.0,50.0,50.0,50.0,50.0,10200
2021-06-10,50.0,50.0,50.0,50.0,50.0,52000
2021-06-11,50.0,50.0,50.0,50.0,50.0,20000
2021-06-14,50.0,50.0,50.0,50.0,50.0,100100
2021-06-16,50.0,50.0,50.0,50.0,50.0,549300
2021-08-02,50.0,50.0,50.0,50.0,50.0,3100
2021-08-05,50.0,50.0,50.0,50.0,50.0,5500
2021-08-13,50.0,50.0,50.0,50.0,50.0,900
2021-08-18,50.0,50.0,50.0,50.0,50.0,8000
2021-08-25,50.0,50.0,50.0,50.0,50.0,45100
2021-08-26,50.0,50.0,50.0,50.0,50.0,116100
2021-08-27,50.0,50.0,50.0,50.0,50.0,2300
