Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,840.0,945.0,825.0,910.0,910.0,1194200
2021-12-02,910.0,945.0,850.0,890.0,890.0,963400
2021-12-03,910.0,930.0,865.0,890.0,890.0,217300
2021-12-06,895.0,895.0,830.0,830.0,830.0,425100
2021-12-07,805.0,805.0,775.0,775.0,775.0,215600
2021-12-08,775.0,835.0,725.0,770.0,770.0,456300
2021-12-09,770.0,800.0,720.0,775.0,775.0,415400
2021-12-10,785.0,785.0,735.0,765.0,765.0,232100
2021-12-13,775.0,865.0,745.0,805.0,805.0,663400
2021-12-14,825.0,850.0,805.0,830.0,830.0,357600
2021-12-15,830.0,835.0,815.0,835.0,835.0,388000
2021-12-16,835.0,890.0,800.0,835.0,835.0,1052800
2021-12-17,835.0,840.0,780.0,780.0,780.0,422500
2021-12-20,780.0,780.0,735.0,760.0,760.0,582800
2021-12-21,760.0,805.0,750.0,775.0,775.0,221200
2021-12-22,775.0,785.0,750.0,785.0,785.0,279300
2021-12-23,800.0,805.0,770.0,785.0,785.0,136200
2021-12-24,780.0,800.0,765.0,775.0,775.0,112500
2021-12-27,775.0,950.0,770.0,785.0,785.0,318800
2021-12-28,785.0,835.0,765.0,780.0,780.0,200800
2021-12-29,800.0,800.0,765.0,785.0,785.0,24200
2021-12-30,785.0,795.0,760.0,780.0,780.0,65400
2022-01-03,785.0,790.0,770.0,785.0,785.0,68800
2022-01-04,780.0,785.0,750.0,780.0,780.0,175500
2022-01-05,785.0,785.0,750.0,780.0,780.0,233000
2022-01-06,780.0,900.0,755.0,825.0,825.0,478100
2022-01-07,830.0,835.0,795.0,815.0,815.0,669100
