Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,2380.0,2600.0,2380.0,2470.0,2470.0,10000
2021-12-02,2470.0,2500.0,2360.0,2360.0,2360.0,124000
2021-12-03,2360.0,2400.0,2350.0,2350.0,2350.0,10000
2021-12-06,2390.0,2390.0,2330.0,2350.0,2350.0,12600
2021-12-07,2350.0,2350.0,2260.0,2300.0,2300.0,41400
2021-12-08,2320.0,2380.0,2310.0,2330.0,2330.0,4400
2021-12-09,2330.0,2380.0,2270.0,2280.0,2280.0,25400
2021-12-10,2300.0,2380.0,2270.0,2360.0,2360.0,53900
2021-12-13,2360.0,2360.0,2300.0,2300.0,2300.0,21100
2021-12-14,2320.0,2330.0,2280.0,2330.0,2330.0,19300
2021-12-15,2330.0,2330.0,2280.0,2290.0,2290.0,22100
2021-12-16,2300.0,2300.0,2130.0,2230.0,2230.0,6300
2021-12-17,2230.0,2320.0,2230.0,2310.0,2310.0,1500
2021-12-20,2310.0,2500.0,2270.0,2310.0,2310.0,96900
2021-12-21,2310.0,2350.0,2200.0,2340.0,2340.0,10400
2021-12-22,2360.0,2360.0,2290.0,2350.0,2350.0,1200
2021-12-23,2350.0,2370.0,2270.0,2350.0,2350.0,6800
2021-12-24,2350.0,2350.0,2280.0,2320.0,2320.0,8700
2021-12-27,2320.0,2330.0,2320.0,2320.0,2320.0,6300
2021-12-28,2320.0,2320.0,2230.0,2240.0,2240.0,28900
2021-12-29,2270.0,2320.0,2260.0,2300.0,2300.0,4800
2021-12-30,2310.0,2490.0,2260.0,2390.0,2390.0,24100
2022-01-03,2390.0,2390.0,2250.0,2300.0,2300.0,19100
2022-01-04,2300.0,2300.0,2200.0,2250.0,2250.0,51000
2022-01-05,2350.0,2350.0,2260.0,2260.0,2260.0,9700
2022-01-06,2260.0,2340.0,2260.0,2340.0,2340.0,1000
2022-01-07,2320.0,2320.0,2320.0,2320.0,2320.0,500
