Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,274.0,274.0,268.0,274.0,274.0,245600
2021-12-02,278.0,278.0,268.0,274.0,274.0,106100
2021-12-03,264.0,276.0,256.0,276.0,276.0,114600
2021-12-06,276.0,278.0,272.0,278.0,278.0,125300
2021-12-07,276.0,278.0,268.0,274.0,274.0,113700
2021-12-08,274.0,280.0,272.0,280.0,280.0,172900
2021-12-09,280.0,280.0,272.0,280.0,280.0,172400
2021-12-10,278.0,290.0,278.0,282.0,282.0,133900
2021-12-13,282.0,298.0,270.0,280.0,280.0,542700
2021-12-14,280.0,286.0,272.0,274.0,274.0,895500
2021-12-15,274.0,274.0,256.0,272.0,272.0,927500
2021-12-16,272.0,290.0,266.0,286.0,286.0,299100
2021-12-17,284.0,288.0,274.0,284.0,284.0,251100
2021-12-20,286.0,286.0,268.0,282.0,282.0,354200
2021-12-21,278.0,280.0,274.0,280.0,280.0,206500
2021-12-22,280.0,284.0,276.0,284.0,284.0,162800
2021-12-23,284.0,288.0,278.0,284.0,284.0,296800
2021-12-24,286.0,286.0,280.0,284.0,284.0,82500
2021-12-27,286.0,286.0,278.0,286.0,286.0,172200
2021-12-28,286.0,290.0,280.0,290.0,290.0,174800
2021-12-29,290.0,292.0,280.0,286.0,286.0,399700
2021-12-30,286.0,290.0,280.0,290.0,290.0,167800
2022-01-03,290.0,292.0,282.0,282.0,282.0,139800
2022-01-04,284.0,288.0,280.0,288.0,288.0,237500
2022-01-05,288.0,288.0,274.0,274.0,274.0,169200
2022-01-06,274.0,278.0,274.0,278.0,278.0,266200
2022-01-07,278.0,278.0,274.0,276.0,276.0,163200
