Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,486.0,486.0,478.0,480.0,480.0,5805700
2021-12-02,480.0,496.0,474.0,496.0,496.0,8330500
2021-12-03,496.0,505.0,488.0,492.0,492.0,6652200
2021-12-06,492.0,494.0,488.0,494.0,494.0,4599800
2021-12-07,494.0,510.0,490.0,500.0,500.0,10144200
2021-12-08,500.0,505.0,496.0,505.0,505.0,5535800
2021-12-09,505.0,510.0,496.0,510.0,510.0,8039600
2021-12-10,510.0,510.0,498.0,500.0,500.0,6519000
2021-12-13,500.0,505.0,496.0,500.0,500.0,6876400
2021-12-14,500.0,500.0,494.0,498.0,498.0,6806300
2021-12-15,498.0,500.0,494.0,500.0,500.0,6912000
2021-12-16,500.0,510.0,498.0,510.0,510.0,8199300
2021-12-17,510.0,510.0,496.0,498.0,498.0,6423100
2021-12-20,498.0,500.0,492.0,492.0,492.0,3830000
2021-12-21,492.0,500.0,484.0,500.0,500.0,8707500
2021-12-22,500.0,505.0,498.0,500.0,500.0,6090700
2021-12-23,500.0,505.0,498.0,505.0,505.0,6362600
2021-12-24,505.0,525.0,500.0,520.0,520.0,9247600
2021-12-27,520.0,545.0,510.0,525.0,525.0,13021300
2021-12-28,525.0,535.0,510.0,510.0,510.0,9827700
2021-12-29,510.0,530.0,505.0,530.0,530.0,10981600
2021-12-30,530.0,535.0,505.0,525.0,525.0,8925300
2022-01-03,525.0,525.0,510.0,520.0,520.0,6004800
2022-01-04,520.0,520.0,500.0,510.0,510.0,6777900
2022-01-05,510.0,515.0,500.0,510.0,510.0,7558900
2022-01-06,510.0,510.0,490.0,492.0,492.0,9992200
2022-01-07,494.0,505.0,492.0,505.0,505.0,8277700
