Date,Open,High,Low,Close,Adj Close,Volume
2021-09-06,242.0,242.0,242.0,242.0,242.0,1496300
2021-09-07,302.0,302.0,226.0,232.0,232.0,168403900
2021-09-08,230.0,250.0,216.0,216.0,216.0,59392100
2021-09-09,202.0,214.0,202.0,202.0,202.0,12248300
2021-09-10,190.0,190.0,188.0,188.0,188.0,2532900
2021-09-13,175.0,222.0,175.0,192.0,192.0,45902300
2021-09-14,196.0,206.0,193.0,194.0,194.0,9817300
2021-09-15,193.0,195.0,182.0,186.0,186.0,9408200
2021-09-16,186.0,195.0,180.0,185.0,185.0,7779800
2021-09-17,185.0,195.0,182.0,185.0,185.0,9425400
2021-09-20,184.0,186.0,173.0,173.0,173.0,14736900
2021-09-21,173.0,176.0,164.0,166.0,166.0,4385100
2021-09-22,169.0,170.0,155.0,155.0,155.0,9255300
2021-09-23,155.0,208.0,145.0,208.0,208.0,35817100
2021-09-24,220.0,240.0,194.0,194.0,194.0,38422200
2021-09-27,196.0,200.0,181.0,181.0,181.0,5086200
2021-09-28,180.0,180.0,169.0,170.0,170.0,4466200
2021-09-29,170.0,180.0,165.0,172.0,172.0,2717700
2021-09-30,172.0,174.0,165.0,165.0,165.0,1440800
2021-10-01,165.0,171.0,165.0,168.0,168.0,1666900
2021-10-04,168.0,174.0,168.0,170.0,170.0,1691700
2021-10-05,170.0,184.0,166.0,174.0,174.0,2701300
2021-10-06,177.0,179.0,172.0,172.0,172.0,1860300
2021-10-07,173.0,173.0,167.0,169.0,169.0,773300
2021-10-08,168.0,169.0,162.0,165.0,165.0,1816000
2021-10-11,165.0,169.0,163.0,165.0,165.0,984500
2021-10-12,166.0,166.0,160.0,160.0,160.0,942000
2021-10-13,160.0,166.0,155.0,157.0,157.0,906600
2021-10-14,160.0,160.0,151.0,155.0,155.0,1299700
2021-10-15,165.0,166.0,152.0,157.0,157.0,1740600
2021-10-18,158.0,160.0,155.0,158.0,158.0,1144600
2021-10-19,159.0,160.0,156.0,157.0,157.0,1126800
2021-10-21,157.0,182.0,155.0,171.0,171.0,9695200
2021-10-22,172.0,187.0,172.0,186.0,186.0,14310300
2021-10-25,186.0,198.0,173.0,173.0,173.0,20300200
2021-10-26,173.0,174.0,161.0,161.0,161.0,9009600
2021-10-27,161.0,164.0,155.0,161.0,161.0,2361700
2021-10-28,161.0,165.0,158.0,160.0,160.0,1286900
2021-10-29,161.0,164.0,156.0,159.0,159.0,1206000
2021-11-01,159.0,162.0,155.0,158.0,158.0,1138800
2021-11-02,158.0,160.0,158.0,158.0,158.0,494000
2021-11-03,158.0,159.0,156.0,156.0,156.0,682700
2021-11-04,156.0,160.0,155.0,156.0,156.0,618900
2021-11-05,157.0,160.0,155.0,157.0,157.0,704800
2021-11-08,159.0,161.0,156.0,158.0,158.0,249400
2021-11-09,158.0,158.0,156.0,158.0,158.0,1292400
2021-11-10,158.0,158.0,156.0,157.0,157.0,485600
2021-11-11,157.0,158.0,155.0,155.0,155.0,1422800
2021-11-12,154.0,154.0,152.0,153.0,153.0,1866700
2021-11-15,153.0,154.0,152.0,154.0,154.0,279900
2021-11-16,154.0,158.0,150.0,154.0,154.0,2210100
2021-11-17,154.0,164.0,152.0,154.0,154.0,3544900
2021-11-18,157.0,159.0,154.0,156.0,156.0,967500
2021-11-19,156.0,160.0,155.0,157.0,157.0,1960500
2021-11-22,159.0,161.0,156.0,158.0,158.0,1262800
2021-11-23,158.0,164.0,156.0,158.0,158.0,1437700
2021-11-24,157.0,157.0,154.0,155.0,155.0,762600
2021-11-25,154.0,158.0,153.0,155.0,155.0,573700
2021-11-26,155.0,155.0,150.0,150.0,150.0,545100
2021-11-29,150.0,154.0,145.0,152.0,152.0,974100
2021-11-30,152.0,152.0,142.0,142.0,142.0,1764200
2021-12-01,142.0,146.0,141.0,142.0,142.0,428900
2021-12-02,141.0,141.0,133.0,135.0,135.0,1315700
2021-12-03,133.0,135.0,128.0,129.0,129.0,502600
2021-12-06,129.0,134.0,129.0,131.0,131.0,232200
2021-12-07,131.0,134.0,125.0,125.0,125.0,292200
2021-12-08,125.0,145.0,122.0,138.0,138.0,3884900
2021-12-09,145.0,145.0,130.0,131.0,131.0,675400
2021-12-10,134.0,138.0,131.0,135.0,135.0,236600
2021-12-13,135.0,140.0,131.0,133.0,133.0,410000
2021-12-14,133.0,134.0,127.0,127.0,127.0,414900
2021-12-15,127.0,133.0,125.0,130.0,130.0,134300
2021-12-16,130.0,133.0,127.0,128.0,128.0,131100
2021-12-17,130.0,130.0,127.0,130.0,130.0,62800
2021-12-20,133.0,133.0,128.0,129.0,129.0,215600
2021-12-21,129.0,137.0,126.0,134.0,134.0,1033500
