Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,209.00006103515625,222.7500762939453,207.62506103515625,207.62506103515625,207.62506103515625,7197815
2021-12-02,207.62506103515625,226.8750762939453,193.87506103515625,220.00006103515625,220.00006103515625,7208725
2021-12-03,220.00006103515625,270.8750915527344,215.87506103515625,264.0000915527344,264.0000915527344,24982392
2021-12-06,270.8750915527344,288.7500915527344,261.2500915527344,280.5000915527344,280.5000915527344,54012201
2021-12-07,280.5000915527344,283.2500915527344,261.2500915527344,261.2500915527344,261.2500915527344,11697741
2021-12-08,261.2500915527344,309.3750915527344,244.7500762939453,302.5000915527344,302.5000915527344,29442899
2021-12-09,308.0,374.0,308.0,314.0,314.0,9411200
2021-12-10,314.0,324.0,294.0,298.0,298.0,3112900
2021-12-13,300.0,334.0,298.0,304.0,304.0,7345700
2021-12-14,310.0,310.0,284.0,284.0,284.0,5049400
2021-12-15,284.0,332.0,274.0,316.0,316.0,14835800
2021-12-16,318.0,322.0,302.0,304.0,304.0,4682400
2021-12-17,306.0,312.0,294.0,296.0,296.0,1988900
2021-12-20,296.0,302.0,276.0,278.0,278.0,5390700
2021-12-21,278.0,278.0,260.0,260.0,260.0,3273000
2021-12-22,242.0,260.0,242.0,242.0,242.0,2716800
2021-12-23,226.0,226.0,226.0,226.0,226.0,993900
2021-12-24,212.0,212.0,212.0,212.0,212.0,1167000
2021-12-27,198.0,198.0,198.0,198.0,198.0,1454700
2021-12-28,185.0,185.0,185.0,185.0,185.0,361300
2021-12-29,173.0,173.0,173.0,173.0,173.0,24922900
2021-12-30,161.0,172.0,161.0,161.0,161.0,42773900
2022-01-03,163.0,170.0,152.0,162.0,162.0,44812800
2022-01-04,161.0,164.0,151.0,151.0,151.0,13393700
2022-01-05,146.0,149.0,141.0,143.0,143.0,21984600
2022-01-06,145.0,184.0,143.0,170.0,170.0,308429900
2022-01-07,172.0,173.0,159.0,159.0,159.0,32517200
